cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
95830,1889.433932,0,1,4472,132
95850,1889.453936,0,-1,4472,127
95870,1889.473928,0,0,4472,136
95890,1889.493929,0,0,4472,127
95910,1889.514937,0,0,4472,135
95930,1889.533938,1,-1,4472,131
95950,1889.553938,0,0,4472,137
95970,1889.573937,0,0,4472,136
95990,1889.593934,0,0,4472,133
96010,1889.614936,0,0,4472,129
96030,1889.633929,0,0,4472,132
96050,1889.652928,0,0,4472,138
96070,1889.672928,0,0,4472,130
96090,1889.692928,0,0,4472,131
96110,1889.713939,0,-1,4472,130
96130,1889.732963,0,0,4472,131
96150,1889.752879,0,0,4472,132
96170,1889.772879,0,1,4472,133
96190,1889.792876,0,0,4472,135
96210,1889.813879,0,0,4472,134
96230,1889.832877,0,1,4472,129
96250,1889.852872,0,0,4472,128
96270,1889.872876,0,-1,4472,135
96290,1889.892890,0,0,4472,130
96310,1889.913872,0,0,4472,133
96330,1889.932939,0,1,4472,135
96350,1889.952920,0,0,4472,134
96370,1889.972922,0,0,4472,135
96390,1889.992920,0,0,4472,133
96410,1890.013929,0,0,4472,130
96430,1890.032920,1,-1,4472,128
96450,1890.052915,0,0,4472,132
96470,1890.072921,0,0,4472,131
96490,1890.092920,0,0,4472,138
96510,1890.113924,0,0,4472,135
96530,1890.132919,0,-1,4472,133
96550,1890.152941,0,1,4472,133
96570,1890.172915,1,0,4472,138
96590,1890.192920,0,1,4472,139
96610,1890.212917,0,0,4472,133
96630,1890.232914,-1,1,4472,132
96650,1890.252912,0,0,4472,134
96670,1890.272913,0,0,4472,133
96690,1890.292921,0,0,4472,133
96710,1890.312912,0,0,4472,128
96730,1890.332911,0,-1,4472,133
96750,1890.352909,1,0,4472,130
96770,1890.372916,0,-1,4472,135
96790,1890.392916,-1,0,4472,134
96810,1890.412914,0,0,4472,137
96830,1890.432910,0,0,4472,137
96850,1890.452910,0,0,4472,135
96870,1890.472908,1,0,4472,131
96890,1890.492914,0,0,4472,136
96910,1890.512907,0,0,4472,135
96930,1890.532908,0,0,4472,133
96950,1890.552907,0,0,4472,138
96970,1890.572908,0,0,4472,141
96990,1890.592918,0,0,4472,137
97010,1890.612904,0,1,4472,135
97030,1890.632855,0,0,4472,136
