cf_timestamp_ms,host_monotonic_s,sensorFilter.surfN,sensorFilter.surfBaroD,sensorFilter.surfCandInn,sensorFilter.surfState,sensorFilter.surfReason
92814,1886.420062,0,0.0,2.268625497817993,0,0
92834,1886.440010,0,0.0,0.33925721049308777,0,0
92854,1886.460010,0,0.0,0.33925721049308777,0,0
92874,1886.480006,0,0.0,0.001770789735019207,0,0
92894,1886.500012,0,0.0,0.001770789735019207,0,0
92914,1886.520009,0,0.0,1.3823074102401733,0,0
92934,1886.539999,0,0.0,1.3823074102401733,0,0
92954,1886.560008,0,0.0,0.0032853747252374887,0,0
92974,1886.580006,0,0.0,0.0032853747252374887,0,0
92994,1886.600006,0,0.0,0.9952925443649292,0,0
93014,1886.619999,0,0.0,0.9952925443649292,0,0
93034,1886.639993,0,0.0,0.9952925443649292,0,0
93054,1886.659996,0,0.0,0.0001804865023586899,0,0
93074,1886.679998,0,0.0,0.0001804865023586899,0,0
93094,1886.700005,0,0.0,0.0020295954309403896,0,0
93114,1886.719997,0,0.0,0.0020295954309403896,0,0
93134,1886.739997,0,0.0,0.40931281447410583,0,0
93154,1886.760009,0,0.0,0.40931281447410583,0,0
93174,1886.779999,0,0.0,0.06855081021785736,0,0
93194,1886.799995,0,0.0,0.06855081021785736,0,0
93214,1886.820009,0,0.0,2.8305418491363525,0,0
93234,1886.839991,0,0.0,2.8305418491363525,0,0
93254,1886.859990,0,0.0,1.0816115140914917,0,0
93274,1886.879992,0,0.0,1.0816115140914917,0,0
93294,1886.899992,0,0.0,0.626929521560669,0,0
93314,1886.919996,0,0.0,0.626929521560669,0,0
93334,1886.939990,0,0.0,0.626929521560669,0,0
93354,1886.959989,0,0.0,0.029923085123300552,0,0
93374,1886.980043,0,0.0,0.029923085123300552,0,0
93394,1886.999990,0,0.0,0.02748076617717743,0,0
93414,1887.019990,0,0.0,0.02748076617717743,0,0
93434,1887.039987,0,0.0,3.2303647994995117,0,0
93454,1887.059990,0,0.0,3.2303647994995117,0,0
93474,1887.079985,0,0.0,0.006098147481679916,0,0
93494,1887.099988,0,0.0,0.006098147481679916,0,0
93514,1887.119989,0,0.0,1.9926103353500366,0,0
93534,1887.139985,0,0.0,1.9926103353500366,0,0
93554,1887.159984,0,0.0,0.09304282069206238,0,0
93574,1887.179986,0,0.0,0.09304282069206238,0,0
93594,1887.200027,0,0.0,0.09304282069206238,0,0
93614,1887.219990,0,0.0,3.506436824798584,0,0
93634,1887.238986,0,0.0,3.506436824798584,0,0
93654,1887.259980,0,0.0,1.7829076051712036,0,0
93674,1887.279979,0,0.0,1.7829076051712036,0,0
93694,1887.299983,0,0.0,0.1624906063079834,0,0
93714,1887.319981,0,0.0,0.1624906063079834,0,0
93734,1887.339988,0,0.0,0.5756816864013672,0,0
93754,1887.359982,0,0.0,0.5756816864013672,0,0
93774,1887.379976,0,0.0,0.14869186282157898,0,0
93794,1887.399979,0,0.0,0.14869186282157898,0,0
93814,1887.419984,0,0.0,0.015495509840548038,0,0
93834,1887.439984,0,0.0,0.015495509840548038,0,0
93854,1887.459985,0,0.0,0.02798641100525856,0,0
93874,1887.479981,0,0.0,0.02798641100525856,0,0
93894,1887.499977,0,0.0,0.02798641100525856,0,0
93914,1887.519976,0,0.0,0.009123807772994041,0,0
93934,1887.539977,0,0.0,0.009123807772994041,0,0
93954,1887.559978,0,0.0,0.002413530368357897,0,0
93974,1887.579992,0,0.0,0.002413530368357897,0,0
93994,1887.599977,0,0.0,0.20338793098926544,0,0
94014,1887.619976,0,0.0,0.20338793098926544,0,0
94034,1887.639977,0,0.0,0.6440074443817139,0,0
94054,1887.659975,0,0.0,0.6440074443817139,0,0
94074,1887.679976,0,0.0,0.10802323371171951,0,0
94094,1887.699973,0,0.0,0.10802323371171951,0,0
94114,1887.719974,0,0.0,0.03286090865731239,0,0
94134,1887.739974,0,0.0,0.03286090865731239,0,0
94154,1887.759970,0,0.0,4.46623420715332,0,0
94174,1887.779969,0,0.0,4.46623420715332,0,0
94194,1887.799968,0,0.0,4.46623420715332,0,0
94214,1887.819987,0,0.0,1.0017503499984741,0,0
94234,1887.839967,0,0.0,1.0017503499984741,0,0
94254,1887.859969,0,0.0,0.019203312695026398,0,0
94274,1887.879972,0,0.0,0.019203312695026398,0,0
94294,1887.899967,0,0.0,3.2144274711608887,0,0
