cf_timestamp_ms,host_monotonic_s,sensorFilter.flowRange,sensorFilter.flowLocal,sensorFilter.surfOffset,sensorFilter.surfCand,sensorFilter.surfClear
92812,1886.418015,0.703000009059906,1,0.0,0.0,0.7038413882255554
92832,1886.438022,0.7050000429153442,1,0.0,0.0,0.6986637711524963
92852,1886.458016,0.7000000476837158,1,0.0,0.0,0.6986637711524963
92872,1886.478014,0.7000000476837158,1,0.0,0.0,0.6996629238128662
92892,1886.498009,0.7000000476837158,1,0.0,0.0,0.6996629238128662
92912,1886.518011,0.7000000476837158,1,0.0,0.0,0.7027127742767334
92932,1886.538012,0.7000000476837158,1,0.0,0.0,0.7027127742767334
92952,1886.558015,0.7000000476837158,1,0.0,0.0,0.6997217535972595
92972,1886.578013,0.7010000348091125,1,0.0,0.0,0.6997217535972595
92992,1886.598006,0.7010000348091125,1,0.0,0.0,0.6997217535972595
93012,1886.618009,0.7010000348091125,1,0.0,0.0,0.6969180703163147
93032,1886.638010,0.6980000138282776,1,0.0,0.0,0.6969180703163147
93052,1886.658010,0.7000000476837158,1,0.0,0.0,0.6989132761955261
93072,1886.678008,0.7000000476837158,1,0.0,0.0,0.6989132761955261
93092,1886.697998,0.7000000476837158,1,0.0,0.0,0.6988862156867981
93112,1886.718006,0.7000000476837158,1,0.0,0.0,0.6988862156867981
93132,1886.738009,0.7000000476837158,1,0.0,0.0,0.6967413425445557
93152,1886.758034,0.7000000476837158,1,0.0,0.0,0.6967413425445557
93172,1886.778010,0.7000000476837158,1,0.0,0.0,0.6987307667732239
93192,1886.798007,0.7000000476837158,1,0.0,0.0,0.6987307667732239
93212,1886.818000,0.7000000476837158,1,0.0,0.0,0.7027376890182495
93232,1886.838009,0.7000000476837158,1,0.0,0.0,0.7027376890182495
93252,1886.858000,0.7040000557899475,1,0.0,0.0,0.6959309577941895
93272,1886.877994,0.6970000267028809,1,0.0,0.0,0.6959309577941895
93292,1886.897993,0.6970000267028809,1,0.0,0.0,0.6959309577941895
93312,1886.917997,0.6970000267028809,1,0.0,0.0,0.6959263682365417
93332,1886.938000,0.6970000267028809,1,0.0,0.0,0.6959263682365417
93352,1886.958011,0.6970000267028809,1,0.0,0.0,0.6979367136955261
93372,1886.978016,0.6990000605583191,1,0.0,0.0,0.6979367136955261
93392,1886.997997,0.6990000605583191,1,0.0,0.0,0.696847140789032
93412,1887.017998,0.6990000605583191,1,0.0,0.0,0.696847140789032
93432,1887.038000,0.6990000605583191,1,0.0,0.0,0.7016928791999817
93452,1887.057996,0.703000009059906,1,0.0,0.0,0.7016928791999817
93472,1887.077995,0.703000009059906,1,0.0,0.0,0.6976940035820007
93492,1887.097987,0.6990000605583191,1,0.0,0.0,0.6976940035820007
93512,1887.117991,0.6990000605583191,1,0.0,0.0,0.7016116380691528
93532,1887.137994,0.703000009059906,1,0.0,0.0,0.7016116380691528
93553,1887.157992,0.6990000605583191,1,0.0,0.0,0.6977514624595642
93572,1887.177978,0.6990000605583191,1,0.0,0.0,0.6977514624595642
93593,1887.198009,0.6990000605583191,1,0.0,0.0,0.6977514624595642
93612,1887.217995,0.7050000429153442,1,0.0,0.0,0.7036830186843872
93632,1887.236999,0.7050000429153442,1,0.0,0.0,0.7036830186843872
93653,1887.257993,0.6970000267028809,1,0.0,0.0,0.6956878304481506
93672,1887.277987,0.6970000267028809,1,0.0,0.0,0.6956878304481506
93693,1887.297980,0.7010000348091125,1,0.0,0.0,0.6995571255683899
93713,1887.317984,0.7010000348091125,1,0.0,0.0,0.6995571255683899
93733,1887.337988,0.7020000219345093,1,0.0,0.0,0.7005710005760193
93753,1887.357985,0.7020000219345093,1,0.0,0.0,0.7005710005760193
93773,1887.377981,0.6990000605583191,1,0.0,0.0,0.6975347399711609
93793,1887.397983,0.6990000605583191,1,0.0,0.0,0.6975347399711609
93812,1887.418008,0.6990000605583191,1,0.0,0.0,0.6975777745246887
93833,1887.437991,0.6990000605583191,1,0.0,0.0,0.6975777745246887
93852,1887.457986,0.6990000605583191,1,0.0,0.0,0.6977647542953491
93872,1887.477982,0.6990000605583191,1,0.0,0.0,0.6977647542953491
93892,1887.497982,0.6990000605583191,1,0.0,0.0,0.6977647542953491
93912,1887.517981,0.6990000605583191,1,0.0,0.0,0.696775496006012
93932,1887.537989,0.6990000605583191,1,0.0,0.0,0.696775496006012
93952,1887.557988,0.6990000605583191,1,0.0,0.0,0.6967851519584656
93972,1887.577988,0.6980000138282776,1,0.0,0.0,0.6967851519584656
93992,1887.597980,0.6980000138282776,1,0.0,0.0,0.6976195573806763
94012,1887.617984,0.6990000605583191,1,0.0,0.0,0.6976195573806763
94032,1887.637993,0.6990000605583191,1,0.0,0.0,0.6985867023468018
94053,1887.657982,0.7000000476837158,1,0.0,0.0,0.6985867023468018
94072,1887.677977,0.7000000476837158,1,0.0,0.0,0.6955772638320923
94093,1887.697979,0.6970000267028809,1,0.0,0.0,0.6955772638320923
94112,1887.717983,0.6970000267028809,1,0.0,0.0,0.696556568145752
94133,1887.737984,0.6980000138282776,1,0.0,0.0,0.696556568145752
94153,1887.757983,0.6980000138282776,1,0.0,0.0,0.696556568145752
94173,1887.777977,0.6980000138282776,1,0.0,0.0,0.7016685009002686
94193,1887.797977,0.6980000138282776,1,0.0,0.0,0.7016685009002686
94213,1887.817974,0.6980000138282776,1,0.0,0.0,0.6937041282653809
94233,1887.837979,0.6980000138282776,1,0.0,0.0,0.6937041282653809
94253,1887.857983,0.6980000138282776,1,0.0,0.0,0.6957520246505737
94273,1887.877976,0.6970000267028809,1,0.0,0.0,0.6957520246505737
94293,1887.897977,0.6970000267028809,1,0.0,0.0,0.6996073722839355
94313,1887.917979,0.7010000348091125,1,0.0,0.0,0.6996073722839355
94333,1887.937984,0.7010000348091125,1,0.0,0.0,0.6976698040962219
94353,1887.957983,0.7010000348091125,1,0.0,0.0,0.6976698040962219
94373,1887.977972,0.6960000395774841,1,0.0,0.0,0.6946740746498108
94393,1887.997969,0.6960000395774841,1,0.0,0.0,0.6946740746498108
94413,1888.017968,0.6970000267028809,1,0.0,0.0,0.6959114670753479
94433,1888.037972,0.6970000267028809,1,0.0,0.0,0.6959114670753479
94453,1888.057982,0.6970000267028809,1,0.0,0.0,0.6959114670753479
94473,1888.077972,0.6970000267028809,1,0.0,0.0,0.6959772109985352
94492,1888.096969,0.6970000267028809,1,0.0,0.0,0.6959772109985352
94513,1888.117968,0.6950000524520874,1,0.0,0.0,0.6939799785614014
94533,1888.137972,0.6950000524520874,1,0.0,0.0,0.6939799785614014
94553,1888.157973,0.6950000524520874,1,0.0,0.0,0.6939947009086609
94572,1888.176964,0.6950000524520874,1,0.0,0.0,0.6939947009086609
94593,1888.197963,0.6980000138282776,1,0.0,0.0,0.6968004703521729
94613,1888.216969,0.6980000138282776,1,0.0,0.0,0.6968004703521729
94632,1888.236968,0.6980000138282776,1,0.0,0.0,0.6927826404571533
94652,1888.256964,0.6980000138282776,1,0.0,0.0,0.6927826404571533
94673,1888.277939,0.6950000524520874,1,0.0,0.0,0.6937719583511353
94692,1888.296937,0.6950000524520874,1,0.0,0.0,0.6937719583511353
94712,1888.316939,0.6950000524520874,1,0.0,0.0,0.6937719583511353
94732,1888.336935,0.6950000524520874,1,0.0,0.0,0.6919333338737488
94752,1888.356936,0.6930000185966492,1,0.0,0.0,0.6919333338737488
94772,1888.376934,0.6930000185966492,1,0.0,0.0,0.6949312090873718
94792,1888.396932,0.6960000395774841,1,0.0,0.0,0.6949312090873718
94812,1888.416911,0.6960000395774841,1,0.0,0.0,0.6959779858589172
94832,1888.436932,0.6960000395774841,1,0.0,0.0,0.6959779858589172
94852,1888.456931,0.6960000395774841,1,0.0,0.0,0.6918036937713623
94872,1888.476933,0.6930000185966492,1,0.0,0.0,0.6918036937713623
94892,1888.496931,0.6930000185966492,1,0.0,0.0,0.6938083171844482
94912,1888.516932,0.6930000185966492,1,0.0,0.0,0.6938083171844482
94932,1888.536929,0.6930000185966492,1,0.0,0.0,0.6988503336906433
94952,1888.556930,0.6930000185966492,1,0.0,0.0,0.6988503336906433
94972,1888.576930,0.6930000185966492,1,0.0,0.0,0.6918579339981079
94992,1888.596928,0.6930000185966492,1,0.0,0.0,0.6918579339981079
95012,1888.616930,0.6930000185966492,1,0.0,0.0,0.6918579339981079
95032,1888.635959,0.690000057220459,1,0.0,0.0,0.6890963315963745
95052,1888.655958,0.690000057220459,1,0.0,0.0,0.6890963315963745
95072,1888.675972,0.7000000476837158,1,0.0,0.0,0.6990669369697571
95092,1888.695963,0.7000000476837158,1,0.0,0.0,0.6990669369697571
95112,1888.715960,0.7000000476837158,1,0.0,0.0,0.6960903406143188
95132,1888.735955,0.7000000476837158,1,0.0,0.0,0.6960903406143188
95152,1888.755956,0.7000000476837158,1,0.0,0.0,0.6948926448822021
95172,1888.775956,0.6960000395774841,1,0.0,0.0,0.6948926448822021
95192,1888.795951,0.6960000395774841,1,0.0,0.0,0.6928842663764954
95212,1888.815960,0.6960000395774841,1,0.0,0.0,0.6928842663764954
95232,1888.835951,0.6940000057220459,1,0.0,0.0,0.6968715786933899
95252,1888.855948,0.6940000057220459,1,0.0,0.0,0.6968715786933899
95272,1888.876954,0.6940000057220459,1,0.0,0.0,0.6918909549713135
95292,1888.895985,0.6930000185966492,1,0.0,0.0,0.6918909549713135
