Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
5991169,20,39,1,0,0
5991189,20,39,1,0,0
5991209,2,5,1,0,0
5991229,2,5,1,0,0
5991249,5,11,1,0,0
5991269,5,11,1,0,0
5991289,8,17,1,0,0
5991309,8,17,1,0,0
5991329,12,23,1,0,1
5991349,12,23,1,0,1
5991369,14,29,1,0,0
5991389,14,29,1,0,0
5991409,18,35,1,0,1
5991429,18,35,1,0,1
5991449,1,1,1,0,1
5991469,1,1,1,0,1
5991489,1,1,1,0,1
5991509,4,7,1,0,1
5991529,4,7,1,0,1
5991549,7,13,1,0,1
5991569,7,13,1,0,1
5991589,10,19,1,0,1
5991609,10,19,1,0,1
5991629,12,25,1,0,0
5991649,12,25,1,0,0
5991669,16,31,1,0,1
5991689,16,31,1,0,1
5991709,20,39,1,0,1
5991729,20,39,1,0,1
5991749,20,39,1,0,1
5991769,2,5,1,0,0
5991789,2,5,1,0,0
5991809,6,11,1,0,1
5991829,6,11,1,0,1
5991849,8,17,1,0,0
5991869,8,17,1,0,0
5991889,12,23,1,0,1
5991909,12,23,1,0,1
5991929,14,27,1,0,0
5991949,14,27,1,0,0
5991969,17,33,1,0,0
5991989,17,33,1,0,0
5992009,20,41,1,0,0
5992029,20,41,1,0,0
5992049,20,41,1,0,0
5992069,3,5,1,0,0
5992089,3,5,1,0,0
5992109,5,11,1,0,0
5992129,5,11,1,0,0
5992149,8,17,1,0,0
5992169,8,17,1,0,0
5992189,11,23,1,0,0
5992209,11,23,1,0,0
5992229,14,29,1,0,0
5992249,14,29,1,0,0
5992269,18,35,1,0,1
5992289,18,35,1,0,1
5992309,18,35,1,0,1
5992329,1,1,1,0,1
5992349,1,1,1,0,1
5992369,4,7,1,0,1
5992389,4,7,1,0,1
5992409,7,13,1,0,1
5992429,7,13,1,0,1
5992449,11,21,1,0,1
5992469,11,21,1,0,1
5992489,14,27,1,0,1
5992509,14,27,1,0,1
5992529,17,33,1,0,1
5992549,17,33,1,0,1
5992569,17,33,1,0,1
5992589,20,39,1,0,1
5992609,20,39,1,0,1
5992629,3,5,1,0,1
