Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
5989539,0,0,0,0,0.0
5989559,0,0,0,0,0.0
5989579,0,0,0,0,0.0
5989599,0,0,0,0,0.0
5989619,0,0,0,0,0.0
5989639,0,0,0,0,0.0
5989659,0,0,0,0,0.0
5989679,0,0,0,0,0.0
5989699,0,0,0,0,0.0
5989719,0,0,0,0,0.0
5989739,0,0,0,0,0.0
5989759,0,0,0,0,0.0
5989779,0,0,0,0,0.0
5989799,0,0,0,0,0.0
5989819,0,0,0,0,0.0
5989839,0,0,0,0,0.0
5989859,0,0,0,0,0.0
5989879,0,0,0,0,0.0
5989899,0,0,0,0,0.0
5989919,0,0,0,0,0.0
5989939,0,0,0,0,0.0
5989959,0,0,0,0,0.0
5989979,0,0,0,0,0.0
5989999,0,0,0,0,0.0
5990019,0,0,0,0,0.0
5990039,0,0,0,0,0.0
5990059,0,0,0,0,0.0
5990079,0,0,0,0,0.0
5990099,0,0,0,0,0.0
5990119,0,0,0,0,0.0
5990139,0,0,0,0,0.0
5990159,0,0,0,0,0.0
5990179,0,0,0,0,0.0
5990199,0,0,0,0,0.0
5990219,0,0,0,0,0.0
5990239,0,0,0,0,0.0
5990259,0,0,0,0,0.0
5990279,0,0,0,0,0.0
5990299,0,0,0,0,0.0
5990319,0,0,0,0,0.0
5990339,0,0,0,0,0.0
5990359,0,0,0,0,0.0
5990379,0,0,0,0,0.0
5990399,0,0,0,0,0.0
5990419,0,0,0,0,0.0
5990439,0,0,0,0,0.0
5990459,0,0,0,0,0.0
5990479,0,0,0,0,0.0
5990499,0,0,0,0,0.0
5990519,0,0,0,0,0.0
5990539,0,0,0,0,0.0
5990559,0,0,0,0,0.0
5990579,0,0,0,0,0.0
5990599,0,0,0,0,0.0
5990619,0,0,0,0,0.0
5990639,0,0,0,0,0.0
5990659,0,0,0,0,0.0
5990679,0,0,0,0,0.0
5990699,0,0,0,0,0.0
5990719,0,0,0,0,0.0
5990739,0,0,0,0,0.0
5990759,0,0,0,0,0.0
5990779,0,0,0,0,0.0
5990799,0,0,0,0,0.0
5990819,0,0,0,0,0.0
5990839,0,0,0,0,0.0
5990859,0,0,0,0,0.0
5990879,0,0,0,0,0.0
5990899,0,0,0,0,0.0
5990919,0,0,0,0,0.0
5990939,0,0,0,0,0.0
5990959,0,0,0,0,0.0
5990979,0,0,0,0,0.0
5990999,0,0,0,0,0.0
5991019,0,0,0,0,0.0
5991039,0,0,0,0,0.0
5991059,0,0,0,0,0.0
5991079,0,0,0,0,0.0
5991099,0,0,0,0,0.0
5991119,0,0,0,0,0.0
5991139,0,0,0,0,0.0
5991159,0,0,0,0,0.0
5991179,0,0,0,0,0.0
5991199,0,0,0,0,0.0
5991219,0,0,0,0,0.0
5991239,0,0,0,0,0.0
5991259,0,0,0,0,0.0
5991279,0,0,0,0,0.0
5991299,0,0,0,0,0.0
5991319,0,0,0,0,0.0
5991339,0,0,0,0,0.0
5991359,0,0,0,0,0.0
5991379,0,0,0,0,0.0
5991399,0,0,0,0,0.0
5991419,0,0,0,0,0.0
5991439,0,0,0,0,0.0
5991459,0,0,0,0,0.0
5991479,0,0,0,0,0.0
5991499,0,0,0,0,0.0
5991519,0,0,0,0,0.0
5991539,0,0,0,0,0.0
5991559,0,0,0,0,0.0
5991579,0,0,0,0,0.0
5991599,0,0,0,0,0.0
5991619,0,0,0,0,0.0
5991639,0,0,0,0,0.0
5991659,0,0,0,0,0.0
5991679,0,0,0,0,0.0
5991699,0,0,0,0,0.0
5991719,0,0,0,0,0.0
5991739,0,0,0,0,0.0
5991759,0,0,0,0,0.0
5991779,0,0,0,0,0.0
5991799,0,0,0,0,0.0
5991819,0,0,0,0,0.0
5991839,0,0,0,0,0.0
5991859,0,0,0,0,0.0
5991879,0,0,0,0,0.0
5991899,0,0,0,0,0.0
5991919,0,0,0,0,0.0
5991939,0,0,0,0,0.0
5991959,0,0,0,0,0.0
5991979,0,0,0,0,0.0
5991999,0,0,0,0,0.0
5992019,0,0,0,0,0.0
5992039,0,0,0,0,0.0
5992059,0,0,0,0,0.0
5992079,0,0,0,0,0.0
5992099,0,0,0,0,0.0
5992119,0,0,0,0,0.0
5992139,0,0,0,0,0.0
5992159,0,0,0,0,0.0
5992179,0,0,0,0,0.0
5992199,0,0,0,0,0.0
5992219,0,0,0,0,0.0
5992239,0,0,0,0,0.0
5992259,0,0,0,0,0.0
5992279,0,0,0,0,0.0
5992299,0,0,0,0,0.0
5992319,0,0,0,0,0.0
5992339,0,0,0,0,0.0
5992359,0,0,0,0,0.0
5992379,0,0,0,0,0.0
5992399,0,0,0,0,0.0
5992419,0,0,0,0,0.0
5992439,0,0,0,0,0.0
5992459,0,0,0,0,0.0
5992479,0,0,0,0,0.0
5992499,0,0,0,0,0.0
5992519,0,0,0,0,0.0
5992539,0,0,0,0,0.0
5992559,0,0,0,0,0.0
5992579,0,0,0,0,0.0
5992599,0,0,0,0,0.0
5992619,0,0,0,0,0.0
5992639,0,0,0,0,0.0
5992659,0,0,0,0,0.0
5992679,0,0,0,0,0.0
5992699,0,0,0,0,0.0
5992719,0,0,0,0,0.0
5992739,0,0,0,0,0.0
5992759,0,0,0,0,0.0
5992779,0,0,0,0,0.0
5992799,0,0,0,0,0.0
5992819,0,0,0,0,0.0
5992839,0,0,0,0,0.0
5992859,0,0,0,0,0.0
5992879,0,0,0,0,0.0
5992899,0,0,0,0,0.0
5992919,0,0,0,0,0.0
5992939,0,0,0,0,0.0
5992959,0,0,0,0,0.0
5992979,0,0,0,0,0.0
5992999,0,0,0,0,0.0
5993019,0,0,0,0,0.0
5993039,0,0,0,0,0.0
5993059,0,0,0,0,0.0
5993079,0,0,0,0,0.0
5993099,0,0,0,0,0.0
5993119,0,0,0,0,0.0
5993139,0,0,0,0,0.0
5993159,0,0,0,0,0.0
5993179,0,0,0,0,0.0
5993199,0,0,0,0,0.0
5993219,0,0,0,0,0.0
5993239,0,0,0,0,0.0
5993259,0,0,0,0,0.0
5993279,0,0,0,0,0.0
5993299,0,0,0,0,0.0
5993319,0,0,0,0,0.0
5993339,0,0,0,0,0.0
5993359,0,0,0,0,0.0
5993379,0,0,0,0,0.0
5993399,0,0,0,0,0.0
5993419,0,0,0,0,0.0
5993439,0,0,0,0,0.0
5993459,0,0,0,0,0.0
5993479,0,0,0,0,0.0
5993499,0,0,0,0,0.0
5993519,0,0,0,0,0.0
5993539,0,0,0,0,0.0
5993559,0,0,0,0,0.0
5993579,0,0,0,0,0.0
5993599,0,0,0,0,0.0
5993619,0,0,0,0,0.0
5993639,0,0,0,0,0.0
5993659,0,0,0,0,0.0
5993679,0,0,0,0,0.0
5993699,0,0,0,0,0.0
5993719,0,0,0,0,0.0
5993739,0,0,0,0,0.0
5993759,0,0,0,0,0.0
5993779,0,0,0,0,0.0
5993799,0,0,0,0,0.0
5993819,0,0,0,0,0.0
5993839,0,0,0,0,0.0
5993859,0,0,0,0,0.0
5993879,0,0,0,0,0.0
5993899,0,0,0,0,0.0
5993919,0,0,0,0,0.0
5993939,0,0,0,0,0.0
5993959,0,0,0,0,0.0
5993979,0,0,0,0,0.0
5993999,0,0,0,0,0.0
5994019,0,0,0,0,0.0
5994039,0,0,0,0,0.0
5994059,0,0,0,0,0.0
5994079,0,0,0,0,0.0
5994099,0,0,0,0,0.0
5994119,0,0,0,0,0.0
5994139,0,0,0,0,0.0
5994159,0,0,0,0,0.0
5994179,0,0,0,0,0.0
5994199,0,0,0,0,0.0
5994219,0,0,0,0,0.0
5994239,0,0,0,0,0.0
5994259,0,0,0,0,0.0
5994279,0,0,0,0,0.0
5994299,0,0,0,0,0.0
5994319,0,0,0,0,0.0
5994339,0,0,0,0,0.0
5994359,0,0,0,0,0.0
5994379,0,0,0,0,0.0
5994399,0,0,0,0,0.0
5994419,0,0,0,0,0.0
5994439,0,0,0,0,0.0
5994459,0,0,0,0,0.0
5994479,0,0,0,0,0.0
5994499,0,0,0,0,0.0
5994519,0,0,0,0,0.0
5994539,0,0,0,0,0.0
5994559,0,0,0,0,0.0
5994579,0,0,0,0,0.0
5994599,0,0,0,0,0.0
5994619,0,0,0,0,0.0
5994639,0,0,0,0,0.0
5994659,0,0,0,0,0.0
5994679,0,0,0,0,0.0
5994699,0,0,0,0,0.0
5994719,0,0,0,0,0.0
5994739,0,0,0,0,0.0
5994759,0,0,0,0,0.0
5994779,0,0,0,0,0.0
5994799,0,0,0,0,0.0
5994819,0,0,0,0,0.0
5994839,0,0,0,0,0.0
5994859,0,0,0,0,0.0
5994879,0,0,0,0,0.0
5994899,0,0,0,0,0.0
5994919,0,0,0,0,0.0
5994939,0,0,0,0,0.0
5994959,0,0,0,0,0.0
5994979,0,0,0,0,0.0
5994999,0,0,0,0,0.0
5995019,0,0,0,0,0.0
5995039,0,0,0,0,0.0
5995059,0,0,0,0,0.0
5995079,0,0,0,0,0.0
5995099,0,0,0,0,0.0
5995119,0,0,0,0,0.0
5995139,0,0,0,0,0.0
5995159,0,0,0,0,0.0
5995179,0,0,0,0,0.0
5995199,0,0,0,0,0.0
5995219,0,0,0,0,0.0
5995239,0,0,0,0,0.0
5995259,0,0,0,0,0.0
5995279,0,0,0,0,0.0
5995299,0,0,0,0,0.0
5995319,0,0,0,0,0.0
5995339,0,0,0,0,0.0
5995359,0,0,0,0,0.0
5995379,0,0,0,0,0.0
5995399,0,0,0,0,0.0
5995419,0,0,0,0,0.0
5995439,0,0,0,0,0.0
5995459,0,0,0,0,0.0
5995479,0,0,0,0,0.0
5995499,0,0,0,0,0.0
5995519,0,0,0,0,0.0
5995539,0,0,0,0,0.0
5995559,0,0,0,0,0.0
5995579,0,0,0,0,0.0
