Timestamp,range.zrange,sensorFilter.innoChTof,stateEstimate.vz,stateEstimate.z
5986893,633,0.27322015166282654,-0.010622505098581314,0.6316121220588684
5986913,633,0.27322015166282654,-0.01146707683801651,0.6313928365707397
5986933,630,0.21361084282398224,-0.013447762466967106,0.6309000849723816
5986953,630,0.21361084282398224,-0.011310731992125511,0.6306488513946533
5986973,629,0.3230094015598297,-0.010515166446566582,0.6301422119140625
5986993,629,0.3230094015598297,-0.010136205703020096,0.6299338936805725
5987013,632,0.3230094015598297,-0.009557128883898258,0.62973552942276
5987033,632,0.5817659497261047,-0.007611787412315607,0.6299691796302795
5987053,632,0.5817659497261047,-0.00742128724232316,0.6298179626464844
5987073,633,1.2896872758865356,-0.004235181491822004,0.6303084492683411
5987093,633,1.2896872758865356,-0.0009282947867177427,0.630255937576294
5987113,633,0.9168334603309631,0.0016517911572009325,0.6307709217071533
5987133,633,0.9168334603309631,0.0012139430036768317,0.6307992935180664
5987153,632,0.15898801386356354,0.0008325305534526706,0.6310270428657532
5987173,632,0.15898801386356354,-0.0007362058968283236,0.6310265064239502
5987193,633,0.4448537826538086,-0.001178464270196855,0.6313562989234924
5987213,633,0.4448537826538086,-0.0017608382040634751,0.6313236951828003
5987233,630,0.26066169142723083,-0.0025600148364901543,0.6310195326805115
5987253,630,0.26066169142723083,-0.0029845116659998894,0.630964457988739
5987273,631,8.052506018429995e-05,-0.005228429101407528,0.6308850049972534
5987293,631,8.052506018429995e-05,-0.006592247169464827,0.6307581663131714
5987313,631,8.052506018429995e-05,-0.00573655916377902,0.6306339502334595
5987333,632,0.23078785836696625,-0.003971082158386707,0.6307919025421143
5987353,632,0.23078785836696625,-0.001960112014785409,0.6307316422462463
5987373,631,0.005538731347769499,-0.0003908213693648577,0.630748450756073
5987393,631,0.005538731347769499,-0.00010390395618742332,0.6307452917098999
5987413,630,0.08720874041318893,-0.0021848930045962334,0.6305714845657349
5987433,630,0.08720874041318893,-0.004717267584055662,0.6305011510848999
5987453,629,0.3020493984222412,-0.006357819307595491,0.6301072239875793
5987473,629,0.3020493984222412,-0.005720420740544796,0.6299818754196167
5987493,632,0.49797073006629944,-0.0025326709728688,0.6302648186683655
5987513,632,0.49797073006629944,-0.0018324200063943863,0.630225419998169
5987533,631,0.06269697099924088,-0.004357010126113892,0.6302933692932129
5987553,631,0.06269697099924088,-0.006224576383829117,0.6301831007003784
5987573,631,0.06269697099924088,-0.00743074668571353,0.6300496459007263
5987593,633,1.0243687629699707,-0.008545494638383389,0.6304236650466919
5987613,633,1.0243687629699707,-0.008413784205913544,0.6302515268325806
5987633,634,1.8111131191253662,-0.0056656403467059135,0.6308261752128601
5987653,634,1.8111131191253662,-0.004301117267459631,0.6307239532470703
5987673,629,0.39619308710098267,-0.004101435653865337,0.6303065419197083
5987693,629,0.39619308710098267,-0.0019136742921546102,0.6302478313446045
5987713,632,0.3704962730407715,-0.0004984901170246303,0.6305440068244934
5987733,632,0.3704962730407715,-0.0012999813770875335,0.6305238604545593
5987753,629,0.3421991765499115,-0.0011636296985670924,0.6301931142807007
5987773,629,0.3421991765499115,-0.0004345929773990065,0.6301753520965576
5987793,630,0.012380283325910568,0.00030958373099565506,0.6301162242889404
5987813,630,0.012380283325910568,0.0016793151153251529,0.630137026309967
5987833,631,0.06166914105415344,0.0013519233325496316,0.630293607711792
5987853,631,0.06166914105415344,-0.00042477052193135023,0.630305826663971
5987873,631,0.06166914105415344,-0.0021751041058450937,0.6302770972251892
5987893,629,0.2630489468574524,-0.004851665813475847,0.6299382448196411
