cf_timestamp_ms,host_monotonic_s,sensorFilter.surfN,sensorFilter.surfBaroD,sensorFilter.surfCandInn,sensorFilter.surfState,sensorFilter.surfReason
183754,1977.294912,5,-0.20778656005859375,188.7190399169922,1,3
183774,1977.314909,5,-0.20778656005859375,188.7190399169922,1,3
183794,1977.334909,5,-0.20778656005859375,188.7190399169922,1,3
183814,1977.354908,5,-0.19684982299804688,188.0203857421875,1,3
183834,1977.374925,5,-0.19684982299804688,188.0203857421875,1,3
183854,1977.394908,5,-0.18591690063476562,185.92552185058594,1,3
183874,1977.414903,5,-0.18591690063476562,185.92552185058594,1,3
183894,1977.434907,5,-0.23512649536132812,186.0359649658203,1,3
183914,1977.454900,5,-0.23512649536132812,186.0359649658203,1,3
183934,1977.474940,5,-0.26793670654296875,185.39015197753906,1,3
183954,1977.494906,5,-0.26793670654296875,185.39015197753906,1,3
183974,1977.514901,5,-0.153106689453125,184.47442626953125,1,3
183994,1977.534899,5,-0.153106689453125,184.47442626953125,1,3
184014,1977.554900,5,-0.22965621948242188,183.763671875,1,3
184034,1977.574905,5,-0.22965621948242188,183.763671875,1,3
184054,1977.594902,5,-0.25699615478515625,183.58851623535156,1,3
184074,1977.614899,5,-0.25699615478515625,183.58851623535156,1,3
184094,1977.634897,5,-0.25699615478515625,183.58851623535156,1,3
184114,1977.654900,5,-0.23512649536132812,183.6480255126953,1,3
184134,1977.674974,5,-0.23512649536132812,183.6480255126953,1,3
184154,1977.694902,5,-0.3390159606933594,182.34494018554688,1,3
184174,1977.714895,5,-0.3390159606933594,182.34494018554688,1,3
184194,1977.734896,5,-0.24605941772460938,180.0140838623047,1,3
184214,1977.754896,5,-0.24605941772460938,180.0140838623047,1,3
184234,1977.774915,5,-0.3499565124511719,180.53427124023438,1,3
184254,1977.793898,5,-0.3499565124511719,180.53427124023438,1,3
184274,1977.813895,5,-0.3335533142089844,179.82781982421875,1,3
184294,1977.833893,5,-0.3335533142089844,179.82781982421875,1,3
184314,1977.854896,5,-0.2734031677246094,179.7786102294922,1,3
184334,1977.873893,5,-0.2734031677246094,179.7786102294922,1,3
184354,1977.893894,5,-0.36089324951171875,178.64891052246094,1,3
184374,1977.913897,5,-0.36089324951171875,178.64891052246094,1,3
184394,1977.933894,5,-0.31714630126953125,178.2568359375,1,3
184414,1977.954897,5,-0.31714630126953125,178.2568359375,1,3
184434,1977.973892,5,-0.2898063659667969,178.1649627685547,1,3
184454,1977.993891,5,-0.2898063659667969,178.1649627685547,1,3
184474,1978.013891,5,-0.25699615478515625,177.2714385986328,1,3
184494,1978.033888,5,-0.25699615478515625,177.2714385986328,1,3
184514,1978.054891,5,-0.25699615478515625,177.2714385986328,1,3
184534,1978.073912,5,-0.24059677124023438,176.21090698242188,1,3
184554,1978.093924,5,-0.24059677124023438,176.21090698242188,1,3
184574,1978.113888,5,-0.26793670654296875,175.99986267089844,1,3
184594,1978.133887,5,-0.26793670654296875,175.99986267089844,1,3
184614,1978.154888,5,-0.3226165771484375,175.6375274658203,1,3
184634,1978.173901,5,-0.3226165771484375,175.6375274658203,1,3
184654,1978.193888,5,-0.15857696533203125,173.60426330566406,1,3
184674,1978.213884,5,-0.15857696533203125,173.60426330566406,1,3
184694,1978.233886,5,-0.18044662475585938,173.49688720703125,1,3
