cf_timestamp_ms,host_monotonic_s,sensorFilter.surfBefore,sensorFilter.surfAfter,sensorFilter.surfDelta,sensorFilter.surfSign
183753,1977.293913,0.46205681562423706,0.8929885029792786,-0.4309316873550415,-1
183773,1977.313908,0.46205681562423706,0.8930131196975708,-0.43095630407333374,-1
183793,1977.333910,0.46205681562423706,0.8930131196975708,-0.43095630407333374,-1
183813,1977.353907,0.46205681562423706,0.893001139163971,-0.4309443235397339,-1
183833,1977.373917,0.46205681562423706,0.893001139163971,-0.4309443235397339,-1
183853,1977.393906,0.46205681562423706,0.8929885029792786,-0.4309316873550415,-1
183873,1977.413906,0.46205681562423706,0.8929885029792786,-0.4309316873550415,-1
183893,1977.433904,0.46205681562423706,0.893001139163971,-0.4309443235397339,-1
183913,1977.453905,0.46205681562423706,0.893001139163971,-0.4309443235397339,-1
183933,1977.473932,0.46205681562423706,0.8930131196975708,-0.43095630407333374,-1
183953,1977.493909,0.46205681562423706,0.8930131196975708,-0.43095630407333374,-1
183973,1977.513903,0.46205681562423706,0.893001139163971,-0.4309443235397339,-1
183993,1977.533898,0.46205681562423706,0.893001139163971,-0.4309443235397339,-1
184013,1977.553904,0.46205681562423706,0.8921842575073242,-0.43012744188308716,-1
184033,1977.573925,0.46205681562423706,0.8921842575073242,-0.43012744188308716,-1
184053,1977.593903,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184073,1977.613902,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184093,1977.633899,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184113,1977.653902,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184133,1977.673919,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184153,1977.693903,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184173,1977.713898,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184193,1977.733896,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184213,1977.753901,0.46205681562423706,0.8928167819976807,-0.4307599663734436,-1
184233,1977.773895,0.46205681562423706,0.8929318189620972,-0.4308750033378601,-1
184253,1977.792900,0.46205681562423706,0.8929318189620972,-0.4308750033378601,-1
184273,1977.812899,0.46205681562423706,0.8929318189620972,-0.4308750033378601,-1
184293,1977.832893,0.46205681562423706,0.8929318189620972,-0.4308750033378601,-1
184313,1977.853896,0.46205681562423706,0.8929318189620972,-0.4308750033378601,-1
184333,1977.872898,0.46205681562423706,0.8929318189620972,-0.4308750033378601,-1
184353,1977.892901,0.46205681562423706,0.8922786712646484,-0.4302218556404114,-1
184373,1977.912890,0.46205681562423706,0.8922786712646484,-0.4302218556404114,-1
184393,1977.932907,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184413,1977.953906,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184433,1977.972894,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184453,1977.992894,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184473,1978.012891,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184493,1978.032892,0.46205681562423706,0.8939494490623474,-0.43189263343811035,-1
184513,1978.053890,0.46205681562423706,0.8939494490623474,-0.43189263343811035,-1
184533,1978.072888,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184553,1978.092920,0.46205681562423706,0.8932271003723145,-0.4311702847480774,-1
184573,1978.112891,0.46205681562423706,0.8939494490623474,-0.43189263343811035,-1
184593,1978.132889,0.46205681562423706,0.8939494490623474,-0.43189263343811035,-1
184613,1978.153890,0.46205681562423706,0.8939738869667053,-0.43191707134246826,-1
184633,1978.172888,0.46205681562423706,0.8939738869667053,-0.43191707134246826,-1
184653,1978.192890,0.46205681562423706,0.8939494490623474,-0.43189263343811035,-1
184673,1978.212888,0.46205681562423706,0.8939494490623474,-0.43189263343811035,-1
184693,1978.232892,0.46205681562423706,0.8913454413414001,-0.4292886257171631,-1
184713,1978.253892,0.46205681562423706,0.8913454413414001,-0.4292886257171631,-1
184733,1978.272886,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184753,1978.292892,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184773,1978.312903,0.46205681562423706,0.8914321660995483,-0.4293753504753113,-1
184793,1978.332888,0.46205681562423706,0.8914321660995483,-0.4293753504753113,-1
184813,1978.353890,0.46205681562423706,0.8914321660995483,-0.4293753504753113,-1
184833,1978.372885,0.46205681562423706,0.8914321660995483,-0.4293753504753113,-1
184853,1978.393884,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184873,1978.412884,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184893,1978.432880,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184913,1978.453889,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184933,1978.472881,0.46205681562423706,0.8923725485801697,-0.4303157329559326,-1
184953,1978.492937,0.46205681562423706,0.8931465744972229,-0.43108975887298584,-1
184973,1978.512880,0.46205681562423706,0.8931465744972229,-0.43108975887298584,-1
184993,1978.532916,0.46205681562423706,0.8931465744972229,-0.43108975887298584,-1
185013,1978.553893,0.46205681562423706,0.8931465744972229,-0.43108975887298584,-1
185033,1978.572876,0.46205681562423706,0.8931465744972229,-0.43108975887298584,-1
185053,1978.593882,0.46205681562423706,0.8931465744972229,-0.43108975887298584,-1
185073,1978.612877,0.46205681562423706,0.8922744989395142,-0.4302176833152771,-1
185093,1978.632875,0.46205681562423706,0.8922744989395142,-0.4302176833152771,-1
185113,1978.653884,0.46205681562423706,0.8922744989395142,-0.4302176833152771,-1
185133,1978.672873,0.46205681562423706,0.8922744989395142,-0.4302176833152771,-1
185153,1978.692876,0.46205681562423706,0.8913920521736145,-0.42933523654937744,-1
185173,1978.712874,0.46205681562423706,0.8913920521736145,-0.42933523654937744,-1
185193,1978.732474,0.46205681562423706,0.8913920521736145,-0.42933523654937744,-1
185213,1978.753469,0.46205681562423706,0.890687882900238,-0.428631067276001,-1
185233,1978.772454,0.46205681562423706,0.890687882900238,-0.428631067276001,-1
185253,1978.793453,0.46205681562423706,0.8896637558937073,-0.4276069402694702,-1
185273,1978.813451,0.46205681562423706,0.8896637558937073,-0.4276069402694702,-1
185293,1978.833447,0.46205681562423706,0.8903673887252808,-0.4283105731010437,-1
185313,1978.853467,0.46205681562423706,0.8903673887252808,-0.4283105731010437,-1
185333,1978.872449,0.46205681562423706,0.8903673887252808,-0.4283105731010437,-1
185353,1978.892448,0.46205681562423706,0.8903673887252808,-0.4283105731010437,-1
185373,1978.913449,0.46205681562423706,0.8893879652023315,-0.4273311495780945,-1
185393,1978.933447,0.46205681562423706,0.8893879652023315,-0.4273311495780945,-1
185413,1978.952459,0.46205681562423706,0.8893879652023315,-0.4273311495780945,-1
185433,1978.972453,0.46205681562423706,0.8893879652023315,-0.4273311495780945,-1
185453,1978.993450,0.46205681562423706,0.8903673887252808,-0.4283105731010437,-1
185473,1979.013444,0.46205681562423706,0.8903673887252808,-0.4283105731010437,-1
185493,1979.033446,0.46205681562423706,0.8886679410934448,-0.42661112546920776,-1
185513,1979.053453,0.46205681562423706,0.8886679410934448,-0.42661112546920776,-1
185533,1979.073446,0.46205681562423706,0.8886679410934448,-0.42661112546920776,-1
185553,1979.092450,0.46205681562423706,0.8886679410934448,-0.42661112546920776,-1
185573,1979.113456,0.46205681562423706,0.8886679410934448,-0.42661112546920776,-1
185593,1979.133443,0.46205681562423706,0.8906903266906738,-0.42863351106643677,-1
185613,1979.153453,0.46205681562423706,0.8906903266906738,-0.42863351106643677,-1
185633,1979.172456,0.46205681562423706,0.8933731913566589,-0.4313163757324219,-1
185653,1979.193453,0.46205681562423706,0.8933731913566589,-0.4313163757324219,-1
185673,1979.213443,0.46205681562423706,0.8933731913566589,-0.4313163757324219,-1
185693,1979.233441,0.46205681562423706,0.8933731913566589,-0.4313163757324219,-1
185713,1979.253448,0.46205681562423706,0.8933731913566589,-0.4313163757324219,-1
185733,1979.273441,0.46205681562423706,0.8933731913566589,-0.4313163757324219,-1
185753,1979.293441,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185773,1979.313439,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185793,1979.333437,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185813,1979.353445,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185833,1979.373442,0.46205681562423706,0.8923253417015076,-0.4302685260772705,-1
185853,1979.393439,0.46205681562423706,0.8923253417015076,-0.4302685260772705,-1
185873,1979.413441,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185893,1979.433436,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185913,1979.453441,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185933,1979.473450,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185953,1979.493440,0.46205681562423706,0.8926717042922974,-0.4306148886680603,-1
185973,1979.513433,0.46205681562423706,0.8917754292488098,-0.42971861362457275,-1
185993,1979.532435,0.46205681562423706,0.8917754292488098,-0.42971861362457275,-1
186013,1979.552435,0.46205681562423706,0.891474723815918,-0.4294179081916809,-1
186033,1979.572436,0.46205681562423706,0.891474723815918,-0.4294179081916809,-1
186053,1979.592469,0.46205681562423706,0.8908059000968933,-0.42874908447265625,-1
186073,1979.612433,0.46205681562423706,0.8908059000968933,-0.42874908447265625,-1
186093,1979.632430,0.46205681562423706,0.8908059000968933,-0.42874908447265625,-1
186113,1979.652434,0.46205681562423706,0.8908059000968933,-0.42874908447265625,-1
186133,1979.673440,0.46205681562423706,0.8909358382225037,-0.4288790225982666,-1
186153,1979.693434,0.46205681562423706,0.8909358382225037,-0.4288790225982666,-1
186173,1979.712429,0.46205681562423706,0.8909440636634827,-0.4288872480392456,-1
186193,1979.732430,0.46205681562423706,0.8909440636634827,-0.4288872480392456,-1
186213,1979.752434,0.46205681562423706,0.8909440636634827,-0.4288872480392456,-1
186233,1979.772428,0.46205681562423706,0.8909440636634827,-0.4288872480392456,-1
