cf_timestamp_ms,host_monotonic_s,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz
183766,1977.306924,1.0533086061477661,5.678558349609375,-1.598667025566101,0.02442730776965618,0.00690776901319623,-0.30851754546165466
183786,1977.326929,1.0545945167541504,5.6785502433776855,-1.5968403816223145,0.0277127493172884,0.006516751833260059,-0.30702295899391174
183806,1977.346917,1.055952787399292,5.678542613983154,-1.59464693069458,0.02970084547996521,0.006618752609938383,-0.3044522702693939
183826,1977.366964,1.0573453903198242,5.678520679473877,-1.5926743745803833,0.03391910716891289,0.004949439782649279,-0.3028285801410675
183846,1977.386926,1.0588009357452393,5.678471565246582,-1.5907220840454102,0.036487869918346405,0.0036999813746660948,-0.3021188974380493
183866,1977.406917,1.0602686405181885,5.678417205810547,-1.5887165069580078,0.03594242408871651,0.004372894298285246,-0.30207136273384094
183886,1977.426916,1.0617202520370483,5.678389072418213,-1.5869252681732178,0.03782898187637329,0.0052803982980549335,-0.2991478145122528
183906,1977.447917,1.0632084608078003,5.678360939025879,-1.5852851867675781,0.04163943976163864,0.0037129151169210672,-0.2955993115901947
183926,1977.466919,1.064745545387268,5.678281784057617,-1.5835204124450684,0.042196281254291534,0.000303122797049582,-0.29607632756233215
183946,1977.486931,1.0636378526687622,5.6790571212768555,-1.5815578699111938,0.04195377603173256,-0.004007830750197172,-0.29874324798583984
183966,1977.505917,1.0781022310256958,5.673226356506348,-1.579593539237976,0.046747755259275436,-0.009785987436771393,-0.3027348518371582
183986,1977.525917,1.0710691213607788,5.67449951171875,-1.5775656700134277,0.04128940403461456,-0.00907229259610176,-0.30474528670310974
184006,1977.545911,1.0878636837005615,5.672641277313232,-1.5759668350219727,0.04612079635262489,-0.008691981434822083,-0.3047562539577484
184026,1977.565913,1.0742229223251343,5.664152145385742,-1.574512004852295,0.039288945496082306,-0.013225741684436798,-0.3009791672229767
184046,1977.585913,1.0880303382873535,5.659355163574219,-1.5729070901870728,0.045270297676324844,-0.016981977969408035,-0.29799598455429077
184066,1977.605911,1.0877039432525635,5.669301509857178,-1.5709456205368042,0.04121328890323639,-0.014108582399785519,-0.2986108958721161
184086,1977.625912,1.090914249420166,5.65472936630249,-1.5692384243011475,0.040146756917238235,-0.01863175630569458,-0.2983414828777313
184106,1977.645910,1.085288405418396,5.653957366943359,-1.567501187324524,0.0372931994497776,-0.01578042469918728,-0.29570937156677246
184126,1977.665909,1.0796221494674683,5.660678386688232,-1.565955400466919,0.03462139144539833,-0.010067638009786606,-0.29246464371681213
184146,1977.685925,1.080244779586792,5.6592841148376465,-1.5641324520111084,0.03397785499691963,-0.008676595985889435,-0.29057034850120544
184166,1977.705911,1.08112633228302,5.666022300720215,-1.5620750188827515,0.03135436028242111,-0.005464944988489151,-0.290856271982193
184186,1977.725913,1.0760977268218994,5.665866374969482,-1.5601853132247925,0.028722653165459633,-0.006456452887505293,-0.2913574278354645
184206,1977.745918,1.0773134231567383,5.665626049041748,-1.5583410263061523,0.029882239177823067,-0.007371144834905863,-0.2907736599445343
184226,1977.765917,1.0785247087478638,5.665369510650635,-1.5568528175354004,0.031926944851875305,-0.008519822731614113,-0.2889711558818817
184246,1977.785906,1.0797555446624756,5.665095329284668,-1.555553913116455,0.03363543003797531,-0.009770020842552185,-0.28791946172714233
184266,1977.805912,1.0810096263885498,5.664801597595215,-1.5539790391921997,0.032875627279281616,-0.009601963683962822,-0.288320392370224
184286,1977.825908,1.0822423696517944,5.664530277252197,-1.552498459815979,0.032798927277326584,-0.008760868571698666,-0.2887248396873474
184306,1977.845907,1.089943289756775,5.6650800704956055,-1.5507649183273315,0.036889757961034775,-0.00879835244268179,-0.28912249207496643
184326,1977.865903,1.0823715925216675,5.665234088897705,-1.549209475517273,0.032558076083660126,-0.00834070798009634,-0.2903992831707001
184346,1977.885920,1.0835875272750854,5.664957046508789,-1.5478061437606812,0.03294220566749573,-0.010821355506777763,-0.29064658284187317
184366,1977.905910,1.0848236083984375,5.664628505706787,-1.5462566614151,0.03423275798559189,-0.01327699888497591,-0.2892536520957947
184386,1977.925909,1.086084246635437,5.664283752441406,-1.5446670055389404,0.0352342464029789,-0.01221016701310873,-0.2884055972099304
