cf_timestamp_ms,host_monotonic_s,range.zrange,stabilizer.roll,stabilizer.pitch
183755,1977.295911,897,-1.9003040790557861,4.946319103240967
183775,1977.315907,897,-1.922287106513977,4.937710285186768
183795,1977.335907,897,-1.9185020923614502,4.948098182678223
183815,1977.355904,897,-1.8827893733978271,4.918529987335205
183835,1977.375907,897,-1.8971810340881348,4.940491199493408
183855,1977.395901,894,-1.9425843954086304,4.960900783538818
183875,1977.415900,894,-1.924444556236267,4.932121276855469
183895,1977.435902,897,-1.8693594932556152,4.922854423522949
183915,1977.455901,897,-1.8655160665512085,4.969542980194092
183935,1977.475933,897,-1.8765984773635864,4.994142055511475
183955,1977.495902,897,-1.9047149419784546,5.035622596740723
183975,1977.515898,896,-1.9504808187484741,5.040854454040527
183995,1977.535899,896,-1.9547008275985718,5.0243330001831055
184015,1977.555900,894,-1.921730875968933,5.0154032707214355
184035,1977.575899,894,-1.944351315498352,5.003085613250732
184055,1977.595903,897,-2.0110394954681396,5.047229290008545
184075,1977.615896,897,-2.0443217754364014,5.028120040893555
184095,1977.635897,901,-2.024522066116333,4.99724817276001
184115,1977.655896,901,-1.9992856979370117,4.987362384796143
184135,1977.675955,901,-1.977658748626709,4.976556301116943
184155,1977.695897,897,-1.9720793962478638,4.989078044891357
184175,1977.715894,897,-1.970726728439331,4.970945358276367
184195,1977.735897,892,-1.9741261005401611,4.953713417053223
184215,1977.755892,892,-1.9485278129577637,4.9415435791015625
184235,1977.775899,897,-1.9208388328552246,4.954739570617676
184255,1977.794893,897,-1.911773681640625,4.9778666496276855
184275,1977.814894,896,-1.8901424407958984,4.972856521606445
184295,1977.834889,896,-1.8740150928497314,4.97133207321167
184315,1977.855891,899,-1.8989070653915405,4.998793601989746
184335,1977.874940,899,-1.8775038719177246,4.994662284851074
184355,1977.894893,895,-1.8699140548706055,4.986050605773926
184375,1977.914894,895,-1.9156233072280884,4.995181560516357
184395,1977.934893,897,-1.9031249284744263,5.014266490936279
184415,1977.955891,897,-1.849204421043396,4.998532772064209
184435,1977.974910,899,-1.8455365896224976,5.005422115325928
184455,1977.994889,899,-1.8811742067337036,5.002786636352539
184475,1978.014891,898,-1.88556706905365,4.995808124542236
184495,1978.034886,898,-1.853994369506836,4.998388767242432
184515,1978.055885,898,-1.8738003969192505,4.994588375091553
184535,1978.074892,895,-1.904091238975525,4.9992547035217285
184555,1978.094919,895,-1.9041454792022705,4.971107482910156
184575,1978.114888,898,-1.9011167287826538,4.991354465484619
184595,1978.134887,898,-1.8708606958389282,4.996299743652344
184615,1978.155883,903,-1.8501904010772705,4.971724987030029
184635,1978.174899,903,-1.869300365447998,4.9768290519714355
184655,1978.194884,894,-1.8584785461425781,4.9886040687561035
184675,1978.214884,894,-1.839302659034729,4.964132785797119
184695,1978.234882,895,-1.8399688005447388,4.938131332397461
184715,1978.255884,895,-1.8511196374893188,4.923216342926025
184735,1978.274904,896,-1.869808316230774,4.929073810577393
184755,1978.294881,896,-1.8651518821716309,4.9120707511901855
184775,1978.314906,895,-1.8131392002105713,4.868471145629883
184795,1978.334882,895,-1.7931817770004272,4.87636137008667
184815,1978.355880,897,-1.825396180152893,4.853142261505127
184835,1978.374885,897,-1.8811280727386475,4.861419200897217
184855,1978.395882,897,-1.8812224864959717,4.855729579925537
184875,1978.414876,897,-1.841102957725525,4.821499347686768
184895,1978.434882,895,-1.8376197814941406,4.809036731719971
184915,1978.455877,895,-1.8622827529907227,4.829778671264648
184935,1978.474900,895,-1.8202743530273438,4.820643424987793
184955,1978.494886,899,-1.7623800039291382,4.788626194000244
184975,1978.514874,899,-1.7791050672531128,4.798600196838379
184995,1978.534890,896,-1.7958239316940308,4.799009799957275
185015,1978.555878,896,-1.7784503698349,4.768263339996338
185035,1978.574882,897,-1.7597291469573975,4.7674407958984375
185055,1978.595872,897,-1.743847131729126,4.75757360458374
