cf_timestamp_ms,host_monotonic_s,sensorFilter.distPred,sensorFilter.distMeas,sensorFilter.baroHeight,sensorFilter.innoChFlow_x,sensorFilter.innoChFlow_y,sensorFilter.innoChTof
183768,1977.308943,0.8970000147819519,-1.6108330488204956,0.0,0.0,0.0,275.6744079589844
183788,1977.328920,0.8970000147819519,-1.6108330488204956,0.0,0.0,0.0,275.6744079589844
183808,1977.348925,0.8970000147819519,-1.6070705652236938,0.0,0.0,0.0,274.8244934082031
183828,1977.368964,0.8970000147819519,-1.6070705652236938,0.0,0.0,0.0,274.8244934082031
183848,1977.388918,0.8940000534057617,-1.5947751998901367,0.0,0.0,0.0,272.4559326171875
183868,1977.408919,0.8940000534057617,-1.5947751998901367,0.0,0.0,0.0,272.4559326171875
183888,1977.428913,0.8970000147819519,-1.5933982133865356,0.0,0.0,0.0,272.50341796875
183908,1977.449922,0.8970000147819519,-1.5933982133865356,0.0,0.0,0.0,272.50341796875
183928,1977.468922,0.8970000147819519,-1.5901271104812622,0.0,0.0,0.0,271.7215576171875
183948,1977.488921,0.8970000147819519,-1.5901271104812622,0.0,0.0,0.0,271.7215576171875
183968,1977.507933,0.8960000276565552,-1.5863497257232666,0.0,0.0,0.0,270.60748291015625
183988,1977.527912,0.8960000276565552,-1.5863497257232666,0.0,0.0,0.0,270.60748291015625
184008,1977.548921,0.8960000276565552,-1.5863497257232666,0.0,0.0,0.0,270.60748291015625
184028,1977.567910,0.8940000534057617,-1.5862340927124023,0.0,0.0,0.0,269.4798583984375
184048,1977.587911,0.8940000534057617,-1.5862340927124023,0.0,0.0,0.0,269.4798583984375
184068,1977.607934,0.8970000147819519,-1.5832186937332153,0.0,0.0,0.0,269.40325927734375
184088,1977.627910,0.8970000147819519,-1.5832186937332153,0.0,0.0,0.0,269.40325927734375
184108,1977.648917,0.9010000228881836,-1.5794366598129272,0.0,0.0,0.0,269.4728698730469
184128,1977.667905,0.9010000228881836,-1.5794366598129272,0.0,0.0,0.0,269.4728698730469
184148,1977.687915,0.8970000147819519,-1.5760667324066162,0.0,0.0,0.0,267.8912658691406
184168,1977.707928,0.8970000147819519,-1.5760667324066162,0.0,0.0,0.0,267.8912658691406
184188,1977.727912,0.8920000195503235,-1.5643502473831177,0.0,0.0,0.0,265.23052978515625
184208,1977.747911,0.8920000195503235,-1.5643502473831177,0.0,0.0,0.0,265.23052978515625
184228,1977.767907,0.8970000147819519,-1.563293218612671,0.0,0.0,0.0,265.799072265625
184248,1977.787905,0.8970000147819519,-1.563293218612671,0.0,0.0,0.0,265.799072265625
184268,1977.807910,0.8960000276565552,-1.5604605674743652,0.0,0.0,0.0,264.9391784667969
184288,1977.827904,0.8960000276565552,-1.5604605674743652,0.0,0.0,0.0,264.9391784667969
184308,1977.848905,0.8990000486373901,-1.5572222471237183,0.0,0.0,0.0,264.876953125
184328,1977.867902,0.8990000486373901,-1.5572222471237183,0.0,0.0,0.0,264.876953125
184348,1977.887907,0.8950000405311584,-1.554249882698059,0.0,0.0,0.0,263.36175537109375
184368,1977.908911,0.8950000405311584,-1.554249882698059,0.0,0.0,0.0,263.36175537109375
184388,1977.927901,0.8950000405311584,-1.554249882698059,0.0,0.0,0.0,263.36175537109375
184408,1977.947921,0.8970000147819519,-1.5511912107467651,0.0,0.0,0.0,263.0877685546875
184428,1977.967872,0.8970000147819519,-1.5511912107467651,0.0,0.0,0.0,263.0877685546875
184448,1977.987905,0.8990000486373901,-1.5512890815734863,0.0,0.0,0.0,262.88916015625
184468,1978.007920,0.8990000486373901,-1.5512890815734863,0.0,0.0,0.0,262.88916015625
184488,1978.027900,0.8980000615119934,-1.548022985458374,0.0,0.0,0.0,261.9564208984375
184508,1978.047901,0.8980000615119934,-1.548022985458374,0.0,0.0,0.0,261.9564208984375
184528,1978.067897,0.8950000405311584,-1.5443007946014404,0.0,0.0,0.0,260.5093688964844
184548,1978.087899,0.8950000405311584,-1.5443007946014404,0.0,0.0,0.0,260.5093688964844
184568,1978.107941,0.8980000615119934,-1.5408329963684082,0.0,0.0,0.0,260.4052429199219
184588,1978.127898,0.8980000615119934,-1.5408329963684082,0.0,0.0,0.0,260.4052429199219
184608,1978.147902,0.9030000567436218,-1.5302753448486328,0.0,0.0,0.0,260.1347961425781
184628,1978.167897,0.9030000567436218,-1.5302753448486328,0.0,0.0,0.0,260.1347961425781
184648,1978.187899,0.8940000534057617,-1.528627634048462,0.0,0.0,0.0,257.5674743652344
184668,1978.207914,0.8940000534057617,-1.528627634048462,0.0,0.0,0.0,257.5674743652344
184688,1978.227895,0.8950000405311584,-1.5243043899536133,0.0,0.0,0.0,256.8787536621094
184708,1978.247900,0.8950000405311584,-1.5243043899536133,0.0,0.0,0.0,256.8787536621094
184728,1978.267893,0.8960000276565552,-1.5210680961608887,0.0,0.0,0.0,256.3624572753906
184748,1978.287894,0.8960000276565552,-1.5210680961608887,0.0,0.0,0.0,256.3624572753906
184768,1978.307910,0.8950000405311584,-1.5175433158874512,0.0,0.0,0.0,255.42274475097656
184788,1978.327900,0.8950000405311584,-1.5175433158874512,0.0,0.0,0.0,255.42274475097656
184808,1978.347900,0.8950000405311584,-1.5175433158874512,0.0,0.0,0.0,255.42274475097656
184828,1978.367901,0.8970000147819519,-1.513936161994934,0.0,0.0,0.0,255.09596252441406
184848,1978.387897,0.8970000147819519,-1.513936161994934,0.0,0.0,0.0,255.09596252441406
184868,1978.407910,0.8970000147819519,-1.513985514640808,0.0,0.0,0.0,254.4454345703125
184888,1978.427891,0.8970000147819519,-1.513985514640808,0.0,0.0,0.0,254.4454345703125
184908,1978.447894,0.8950000405311584,-1.5105994939804077,0.0,0.0,0.0,253.34397888183594
184928,1978.467892,0.8950000405311584,-1.5105994939804077,0.0,0.0,0.0,253.34397888183594
184948,1978.487891,0.8990000486373901,-1.506778597831726,0.0,0.0,0.0,253.365234375
184968,1978.507916,0.8990000486373901,-1.506778597831726,0.0,0.0,0.0,253.365234375
184988,1978.527925,0.8960000276565552,-1.4952211380004883,0.0,0.0,0.0,251.23036193847656
185008,1978.547888,0.8960000276565552,-1.4952211380004883,0.0,0.0,0.0,251.23036193847656
185028,1978.567889,0.8970000147819519,-1.4936777353286743,0.0,0.0,0.0,250.84535217285156
185048,1978.587889,0.8970000147819519,-1.4936777353286743,0.0,0.0,0.0,250.84535217285156
