cf_timestamp_ms,host_monotonic_s,motion.outlierCount,motion.motion,motion.std
183751,1977.291917,0,176,2.0
183771,1977.311907,0,176,2.0
183791,1977.331903,0,48,2.0
183811,1977.351902,0,48,2.0
183831,1977.371902,0,48,2.0
183851,1977.391904,0,48,2.0
183871,1977.411899,0,48,2.0
183891,1977.431915,0,48,2.0
183911,1977.451898,0,48,2.0
183931,1977.471897,0,48,2.0
183951,1977.491914,0,176,2.0
183971,1977.510898,0,176,2.0
183991,1977.530898,0,48,2.0
184011,1977.550896,0,176,2.0
184031,1977.570901,0,176,2.0
184051,1977.590895,0,176,2.0
184071,1977.610895,0,48,2.0
184091,1977.630893,0,176,2.0
184111,1977.650895,0,48,2.0
184131,1977.670895,0,48,2.0
184151,1977.690917,0,176,2.0
184171,1977.710893,0,48,2.0
184191,1977.730891,0,48,2.0
184211,1977.750896,0,48,2.0
184231,1977.770894,0,48,2.0
184251,1977.790909,0,48,2.0
184271,1977.810889,0,48,2.0
184291,1977.830890,0,48,2.0
184311,1977.851889,0,176,2.0
184331,1977.870893,0,48,2.0
184351,1977.890966,0,48,2.0
184371,1977.910890,0,48,2.0
184391,1977.930892,0,48,2.0
184411,1977.951918,0,48,2.0
184431,1977.970891,0,48,2.0
184451,1977.990934,0,176,2.0
184471,1978.010892,0,48,2.0
184491,1978.030889,0,48,2.0
184511,1978.051890,0,48,2.0
184531,1978.070886,0,48,2.0
184551,1978.090881,0,48,2.0
184571,1978.110889,0,48,2.0
184591,1978.130885,0,176,2.0
184611,1978.151887,0,48,2.0
184631,1978.170893,0,48,2.0
184651,1978.190884,0,176,2.0
184671,1978.210880,0,176,2.0
184691,1978.230879,0,176,2.0
184711,1978.250882,0,48,2.0
184731,1978.270889,0,176,2.0
184751,1978.290905,0,176,2.0
184771,1978.310920,0,176,2.0
184791,1978.330879,0,48,2.0
184811,1978.350879,0,48,2.0
184831,1978.370885,0,48,2.0
184851,1978.391898,0,48,2.0
184871,1978.410878,0,48,2.0
184891,1978.430873,0,48,2.0
184911,1978.450875,0,48,2.0
184931,1978.470883,0,48,2.0
184951,1978.490918,0,48,2.0
184971,1978.510876,0,48,2.0
184991,1978.530891,0,48,2.0
185011,1978.550877,0,176,2.0
185031,1978.570880,0,48,2.0
185051,1978.590905,0,48,2.0
185071,1978.610870,0,176,2.0
185091,1978.630870,0,48,2.0
185111,1978.650867,0,176,2.0
185131,1978.670875,0,48,2.0
185151,1978.690887,0,176,2.0
185171,1978.710868,0,48,2.0
185191,1978.730464,0,176,2.0
185211,1978.750448,0,48,2.0
185231,1978.770447,0,48,2.0
185251,1978.790445,0,48,2.0
185271,1978.810446,0,48,2.0
185291,1978.830446,0,48,2.0
185311,1978.850448,0,48,2.0
185331,1978.870444,0,48,2.0
185351,1978.890441,0,48,2.0
185371,1978.910447,0,48,2.0
185391,1978.930440,0,48,2.0
185411,1978.950471,0,48,2.0
185431,1978.970446,0,48,2.0
185451,1978.990439,0,48,2.0
185471,1979.010443,0,48,2.0
185491,1979.030441,0,48,2.0
185511,1979.050443,0,48,2.0
185531,1979.070438,0,48,2.0
185551,1979.090438,0,48,2.0
185571,1979.110442,0,48,2.0
185591,1979.130437,0,48,2.0
185611,1979.150439,0,48,2.0
185631,1979.170445,0,48,2.0
185651,1979.190438,0,48,2.0
185671,1979.210440,0,48,2.0
185691,1979.230433,0,48,2.0
185711,1979.250440,0,176,2.0
185731,1979.270437,0,176,2.0
185751,1979.290434,0,48,2.0
185771,1979.310431,0,48,2.0
185791,1979.330430,0,176,2.0
185811,1979.350434,0,48,2.0
185831,1979.370434,0,48,2.0
185851,1979.390433,0,48,2.0
185871,1979.410432,0,48,2.0
185891,1979.430429,0,48,2.0
185911,1979.450429,0,48,2.0
185931,1979.470437,0,48,2.0
185951,1979.490435,0,48,2.0
185971,1979.510429,0,48,2.0
185991,1979.529428,0,48,2.0
186011,1979.549426,0,48,2.0
186031,1979.569441,0,48,2.0
186051,1979.589426,0,48,2.0
186071,1979.609428,0,48,2.0
186091,1979.629427,0,48,2.0
186111,1979.649425,0,48,2.0
186131,1979.669439,0,176,2.0
186151,1979.689424,0,48,2.0
