cf_timestamp_ms,host_monotonic_s,sensorFilter.surfN,sensorFilter.surfBaroD,sensorFilter.surfCandInn,sensorFilter.surfState,sensorFilter.surfReason
62114,1855.741718,0,0.0,0.0,0,0
62134,1855.761712,0,0.0,0.0,0,0
62154,1855.781708,0,0.0,0.0,0,0
62174,1855.801708,0,0.0,0.0,0,0
62194,1855.821711,0,0.0,0.0,0,0
62214,1855.841707,0,0.0,0.0,0,0
62234,1855.861717,0,0.0,0.0,0,0
62254,1855.881704,0,0.0,0.0,0,0
62274,1855.901706,0,0.0,0.0,0,0
62294,1855.921706,0,0.0,0.0,0,0
62314,1855.941721,0,0.0,0.0,0,0
62334,1855.961675,0,0.0,0.0,0,0
62354,1855.981704,0,0.0,0.0,0,0
62374,1856.001702,0,0.0,0.0,0,0
62394,1856.021704,0,0.0,0.0,0,0
62414,1856.041708,0,0.0,0.0,0,0
62434,1856.061719,0,0.0,0.0,0,0
62454,1856.081703,0,0.0,0.0,0,0
62474,1856.101701,0,0.0,0.0,0,0
62494,1856.121701,0,0.0,0.0,0,0
62514,1856.141716,0,0.0,0.0,0,0
62534,1856.161704,0,0.0,0.0,0,0
62554,1856.181702,0,0.0,0.0,0,0
62574,1856.201702,0,0.0,0.0,0,0
62594,1856.221705,0,0.0,0.0,0,0
62614,1856.241713,0,0.0,0.0,0,0
62634,1856.261704,0,0.0,0.0,0,0
62654,1856.281707,0,0.0,0.0,0,0
62674,1856.301697,0,0.0,0.0,0,0
62694,1856.321699,0,0.0,0.0,0,0
62714,1856.341700,0,0.0,0.0,0,0
62734,1856.361698,0,0.0,0.0,0,0
62754,1856.381698,0,0.0,0.0,0,0
62774,1856.401694,0,0.0,0.0,0,0
62794,1856.421694,0,0.0,0.0,0,0
62814,1856.441726,0,0.0,0.0,0,0
62834,1856.461706,0,0.0,0.0,0,0
62854,1856.481700,0,0.0,0.0,0,0
62874,1856.501705,0,0.0,0.0,0,0
62894,1856.521697,0,0.0,0.0,0,0
62914,1856.541696,0,0.0,0.0,0,0
62934,1856.561704,0,0.0,0.0,0,0
62954,1856.581698,0,0.0,0.0,0,0
62974,1856.601693,0,0.0,0.0,0,0
62994,1856.621690,0,0.0,0.0,0,0
63014,1856.641698,0,0.0,0.0,0,0
63034,1856.661703,0,0.0,0.0,0,0
63054,1856.681694,0,0.0,0.0,0,0
63074,1856.701691,0,0.0,0.0,0,0
63094,1856.721689,0,0.0,0.0,0,0
63114,1856.741695,0,0.0,0.0,0,0
63134,1856.761698,0,0.0,0.0,0,0
63154,1856.781694,0,0.0,0.0,0,0
63174,1856.801686,0,0.0,0.0,0,0
63194,1856.821691,0,0.0,0.0,0,0
63214,1856.841687,0,0.0,0.0,0,0
63234,1856.861695,0,0.0,0.0,0,0
63254,1856.881692,0,0.0,0.0,0,0
63274,1856.901683,0,0.0,0.0,0,0
63294,1856.921685,0,0.0,0.0,0,0
63314,1856.941689,0,0.0,0.0,0,0
63334,1856.961689,0,0.0,0.0,0,0
63354,1856.981684,0,0.0,0.0,0,0
63374,1857.001679,0,0.0,0.0,0,0
63394,1857.021645,0,0.0,0.0,0,0
63414,1857.041647,0,0.0,0.0,0,0
63434,1857.061645,0,0.0,0.0,0,0
63454,1857.081643,0,0.0,0.0,0,0
63474,1857.101691,0,0.0,0.0,0,0
63494,1857.121679,0,0.0,0.0,0,0
63514,1857.141692,0,0.0,0.0,0,0
63534,1857.161678,0,0.0,0.0,0,0
63554,1857.181676,0,0.0,0.0,0,0
63574,1857.201677,0,0.0,0.0,0,0
63594,1857.221676,0,0.0,0.0,0,0
63614,1857.241699,0,0.0,0.0,0,0
63634,1857.261674,0,0.0,0.0,0,0
63654,1857.281674,0,0.0,0.0,0,0
63674,1857.300684,0,0.0,0.0,0,0
63694,1857.321673,0,0.0,0.0,0,0
63714,1857.341673,0,0.0,0.0,0,0
63734,1857.361675,0,0.0,0.0,0,0
63754,1857.381672,0,0.0,0.0,0,0
63774,1857.401670,0,0.0,0.0,0,0
63794,1857.421674,0,0.0,0.0,0,0
63814,1857.440670,0,0.0,0.0,0,0
63834,1857.460673,0,0.0,0.0,0,0
63854,1857.480668,0,0.0,0.0,0,0
