cf_timestamp_ms,host_monotonic_s,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz
62106,1855.733733,0.0369919054210186,-0.037140775471925735,-0.00023725423670839518,0.017779173329472542,-0.01468430832028389,-0.0006116983131505549
62126,1855.753742,0.03734419494867325,-0.03743603080511093,-0.00020549849432427436,0.017942920327186584,-0.014922029338777065,-0.0007123270188458264
62146,1855.773724,0.037706781178712845,-0.03773544356226921,-0.00022001282195560634,0.01825481839478016,-0.014991456642746925,-0.0007615411304868758
62166,1855.793719,0.038073617964982986,-0.03803810477256775,-0.0002357331832172349,0.01853613741695881,-0.015288136899471283,-0.0008524105069227517
62186,1855.813720,0.03844333067536354,-0.03834257647395134,-0.00020661174494307488,0.018853219226002693,-0.015158344060182571,-0.0006461594603024423
62206,1855.833720,0.03881914168596268,-0.03864317014813423,-0.00021850560733582824,0.018686551600694656,-0.014917961321771145,-0.0005535116652026772
62226,1855.853716,0.03918743506073952,-0.03894242271780968,-0.00018896136316470802,0.018553754314780235,-0.015155792236328125,-0.0006483002798631787
62246,1855.873751,0.03957666456699371,-0.03926027938723564,-0.00020335917361080647,0.018547331914305687,-0.015144833363592625,-0.0007118766661733389
62266,1855.893716,0.03994453325867653,-0.03956403583288193,-0.00017749451217241585,0.018650062382221222,-0.015337027609348297,-0.0006332978373393416
62286,1855.913721,0.040321920067071915,-0.03986996412277222,-0.00019237358355894685,0.019093181937932968,-0.015303462743759155,-0.0007667062454856932
62306,1855.933715,0.04070282354950905,-0.04017920419573784,-0.0001737648999551311,0.01944037526845932,-0.01572033017873764,-0.0010670768097043037
62326,1855.953687,0.04109279066324234,-0.04049579054117203,-0.0001937091292347759,0.019464116543531418,-0.015890687704086304,-0.000948956236243248
62346,1855.973720,0.041476842015981674,-0.040812525898218155,-0.0001754646800691262,0.0193902850151062,-0.01589793525636196,-0.000986242201179266
62366,1855.993717,0.04186525195837021,-0.04112589359283447,-0.00019946767133660614,0.019464952871203423,-0.01541127823293209,-0.0014280943432822824
62386,1856.013722,0.04224919527769089,-0.04143122583627701,-0.00018750019080471247,0.019350416958332062,-0.015379897318780422,-0.0015555708669126034
62406,1856.033715,0.04263889044523239,-0.041737448424100876,-0.0002171865780837834,0.0195926520973444,-0.015359686687588692,-0.0014500917168334126
62426,1856.053713,0.04302544891834259,-0.0420432947576046,-0.0002006871218327433,0.019597457721829414,-0.015444261021912098,-0.001399607164785266
62446,1856.073747,0.04341921582818031,-0.04235360771417618,-0.0002331794094061479,0.019805461168289185,-0.01553636696189642,-0.0017008263384923339
62466,1856.093714,0.04381629079580307,-0.042667586356401443,-0.00026527486625127494,0.019807102158665657,-0.01582842878997326,-0.0015890677459537983
62486,1856.113717,0.04420818015933037,-0.04298336058855057,-0.0002481797419022769,0.019926220178604126,-0.015990661457180977,-0.0017320961924269795
62506,1856.133717,0.044604234397411346,-0.04330259561538696,-0.0002845657872967422,0.01967807300388813,-0.015899673104286194,-0.0018130907556042075
