cf_timestamp_ms,host_monotonic_s,sensorFilter.distPred,sensorFilter.distMeas,sensorFilter.baroHeight,sensorFilter.innoChFlow_x,sensorFilter.innoChFlow_y,sensorFilter.innoChTof
62108,1855.735728,0.014000000432133675,-0.00027821576804853976,0.0,0.0,0.0,0.010046093724668026
62128,1855.755737,0.018000001087784767,-0.00025212709442712367,0.0,0.0,0.0,0.00827811285853386
62148,1855.775721,0.018000001087784767,-0.00025212709442712367,0.0,0.0,0.0,0.00827811285853386
62168,1855.795716,0.017000000923871994,-0.0002357326593482867,0.0,0.0,0.0,0.0072562200948596
62188,1855.815746,0.017000000923871994,-0.0002357326593482867,0.0,0.0,0.0,0.0072562200948596
62208,1855.835717,0.017000000923871994,-0.0002357326593482867,0.0,0.0,0.0,0.0072562200948596
62228,1855.855719,0.018000001087784767,-0.00021850511257071048,0.0,0.0,0.0,0.006247796583920717
62248,1855.875720,0.018000001087784767,-0.00021850511257071048,0.0,0.0,0.0,0.006247796583920717
62268,1855.895715,0.01900000125169754,-0.00021058272977825254,0.0,0.0,0.0,0.005757240578532219
62288,1855.915728,0.01900000125169754,-0.00021058272977825254,0.0,0.0,0.0,0.005757240578532219
62308,1855.935719,0.01900000125169754,-0.00020111340563744307,0.0,0.0,0.0,0.0052683474496006966
62328,1855.955686,0.01900000125169754,-0.00020111340563744307,0.0,0.0,0.0,0.0052683474496006966
62348,1855.975721,0.021000001579523087,-0.00020326662342995405,0.0,0.0,0.0,0.0053959498181939125
62368,1855.995711,0.021000001579523087,-0.00020326662342995405,0.0,0.0,0.0,0.0053959498181939125
62388,1856.015715,0.01900000125169754,-0.00023091412731446326,0.0,0.0,0.0,0.006917562801390886
62408,1856.035714,0.01900000125169754,-0.00023091412731446326,0.0,0.0,0.0,0.006917562801390886
62428,1856.055716,0.015000000596046448,-0.00024629884865134954,0.0,0.0,0.0,0.007897507399320602
62448,1856.075718,0.015000000596046448,-0.00024629884865134954,0.0,0.0,0.0,0.007897507399320602
62468,1856.095717,0.015000000596046448,-0.00024629884865134954,0.0,0.0,0.0,0.007897507399320602
62488,1856.115713,0.018000001087784767,-0.00026527410955168307,0.0,0.0,0.0,0.0091867595911026
62508,1856.135714,0.018000001087784767,-0.00026527410955168307,0.0,0.0,0.0,0.0091867595911026
62528,1856.155713,0.01600000075995922,-0.0003024549805559218,0.0,0.0,0.0,0.011864743195474148
62548,1856.175717,0.01600000075995922,-0.0003024549805559218,0.0,0.0,0.0,0.011864743195474148
62568,1856.195711,0.018000001087784767,-0.00032497147913090885,0.0,0.0,0.0,0.013745853677392006
62588,1856.215712,0.018000001087784767,-0.00032497147913090885,0.0,0.0,0.0,0.013745853677392006
62608,1856.235716,0.013000000268220901,-0.0003508890513330698,0.0,0.0,0.0,0.016071956604719162
62628,1856.255714,0.013000000268220901,-0.0003508890513330698,0.0,0.0,0.0,0.016071956604719162
62648,1856.275708,0.017000000923871994,-0.0003933021507691592,0.0,0.0,0.0,0.02006140910089016
62668,1856.295709,0.017000000923871994,-0.0003933021507691592,0.0,0.0,0.0,0.02006140910089016
62688,1856.315708,0.018000001087784767,-0.0003952586848754436,0.0,0.0,0.0,0.020334377884864807
62708,1856.335711,0.018000001087784767,-0.0003952586848754436,0.0,0.0,0.0,0.020334377884864807
62728,1856.355706,0.018000001087784767,-0.0003952586848754436,0.0,0.0,0.0,0.020334377884864807
62748,1856.375713,0.018000001087784767,-0.00039048120379447937,0.0,0.0,0.0,0.019902944564819336
62768,1856.395707,0.018000001087784767,-0.00039048120379447937,0.0,0.0,0.0,0.019902944564819336
62788,1856.415716,0.018000001087784767,-0.0003813105577137321,0.0,0.0,0.0,0.018856603652238846
62808,1856.434708,0.018000001087784767,-0.0003813105577137321,0.0,0.0,0.0,0.018856603652238846
62828,1856.455714,0.01600000075995922,-0.00035916021442972124,0.0,0.0,0.0,0.01678992062807083
62848,1856.475714,0.01600000075995922,-0.00035916021442972124,0.0,0.0,0.0,0.01678992062807083
62868,1856.494708,0.015000000596046448,-0.00034198793582618237,0.0,0.0,0.0,0.015266711823642254
62888,1856.514704,0.015000000596046448,-0.00034198793582618237,0.0,0.0,0.0,0.015266711823642254
62908,1856.534705,0.01900000125169754,-0.00034764179144985974,0.0,0.0,0.0,0.015811359509825706
62928,1856.554706,0.01900000125169754,-0.00034764179144985974,0.0,0.0,0.0,0.015811359509825706
62948,1856.574708,0.017000000923871994,-0.000409467495046556,0.0,0.0,0.0,0.021784137934446335
62968,1856.594702,0.017000000923871994,-0.000409467495046556,0.0,0.0,0.0,0.021784137934446335
62988,1856.614706,0.018000001087784767,-0.0004242990689817816,0.0,0.0,0.0,0.023464426398277283
63008,1856.634702,0.018000001087784767,-0.0004242990689817816,0.0,0.0,0.0,0.023464426398277283
63028,1856.654701,0.018000001087784767,-0.0004242990689817816,0.0,0.0,0.0,0.023464426398277283
63048,1856.674715,0.014000000432133675,-0.00043022140744142234,0.0,0.0,0.0,0.024185210466384888
63068,1856.694703,0.014000000432133675,-0.00043022140744142234,0.0,0.0,0.0,0.024185210466384888
63088,1856.714701,0.021000001579523087,-0.0004874369187746197,0.0,0.0,0.0,0.030836336314678192
63108,1856.734702,0.021000001579523087,-0.0004874369187746197,0.0,0.0,0.0,0.030836336314678192
63128,1856.754699,0.018000001087784767,-0.000507319113239646,0.0,0.0,0.0,0.03351631760597229
63148,1856.774705,0.018000001087784767,-0.000507319113239646,0.0,0.0,0.0,0.03351631760597229
63168,1856.794703,0.017000000923871994,-0.0005175208789296448,0.0,0.0,0.0,0.03497255593538284
63188,1856.814701,0.017000000923871994,-0.0005175208789296448,0.0,0.0,0.0,0.03497255593538284
63208,1856.834698,0.017000000923871994,-0.0005317450268194079,0.0,0.0,0.0,0.0366787388920784
63228,1856.854697,0.017000000923871994,-0.0005317450268194079,0.0,0.0,0.0,0.0366787388920784
63248,1856.874717,0.01600000075995922,-0.0005343763041310012,0.0,0.0,0.0,0.03717293217778206
