cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
65470,1859.095632,0,0,8191,66
65490,1859.115629,3,3,8191,53
65510,1859.135631,0,3,8191,62
65530,1859.155634,-3,0,8191,62
65550,1859.175634,0,1,8191,57
65570,1859.195651,4,0,8191,62
65590,1859.215627,0,1,8191,61
65610,1859.235627,-1,-4,8191,64
65630,1859.255629,0,7,8191,61
65650,1859.275632,-3,0,8191,57
65670,1859.295627,7,-1,8191,59
65690,1859.315625,2,0,8191,55
65710,1859.335631,3,0,8191,52
65730,1859.355620,2,0,8191,56
65750,1859.375625,-1,0,8191,46
65770,1859.395243,0,-1,8191,62
65790,1859.415201,0,0,8191,51
65810,1859.435201,-4,-4,8191,62
65830,1859.455202,0,0,8191,63
65850,1859.475203,0,5,8191,61
65870,1859.495199,0,0,8191,60
65890,1859.515201,5,-4,8191,66
65910,1859.535199,0,0,8191,63
65930,1859.555200,0,-1,8191,66
65950,1859.575201,0,0,8191,56
65970,1859.595196,6,2,8191,55
65990,1859.615206,-1,0,8191,53
66010,1859.635200,0,0,8191,47
66030,1859.655197,2,0,8191,61
66050,1859.675203,-6,1,8191,49
66070,1859.695195,3,-1,8191,60
66090,1859.715197,0,1,8191,52
66110,1859.735195,-2,-1,8191,53
66130,1859.755194,-7,0,8191,64
66150,1859.775203,0,1,8191,57
66170,1859.794619,-1,0,8191,60
66190,1859.814613,-2,1,8191,56
66210,1859.834619,1,-3,8191,60
66230,1859.854617,-3,1,8191,67
66250,1859.874619,0,0,8191,52
66270,1859.894608,0,0,8191,50
66290,1859.914614,-3,2,8191,48
66310,1859.934622,2,3,8191,46
66330,1859.954613,-8,0,8191,59
66350,1859.974620,0,-3,8191,45
66370,1859.994613,-3,0,8191,60
66390,1860.014608,4,-2,8191,44
66410,1860.034610,0,2,8191,54
66430,1860.054614,-5,0,8191,62
66450,1860.074615,0,-7,8191,53
66470,1860.094608,-6,0,8191,62
66490,1860.114605,5,-4,8191,63
66510,1860.134604,0,0,8191,60
66530,1860.154611,4,2,8191,57
66550,1860.174617,-1,-3,8191,54
66570,1860.194602,0,1,8191,48
66590,1860.214603,0,0,8191,56
66610,1860.234601,0,0,8191,43
66630,1860.254614,-2,-1,8191,52
66650,1860.274613,-1,0,8191,39
66670,1860.294603,-3,-3,8191,58
66690,1860.314602,8,0,8191,45
66710,1860.334604,-3,1,8191,54
66730,1860.354604,4,0,8191,57
66750,1860.374610,-3,5,8191,52
66770,1860.394600,-5,3,8191,47
66790,1860.414610,0,-3,8191,38
66810,1860.434598,-1,8,8191,60
66830,1860.454600,-4,5,8191,36
66850,1860.474613,-2,2,8191,60
66870,1860.494684,-2,5,8191,42
66890,1860.514574,2,2,8191,50
66910,1860.534573,-4,0,8191,54
66930,1860.554575,-1,0,8191,47
66950,1860.574576,-1,-3,8191,61
66970,1860.594567,-2,2,8191,64
66990,1860.614564,-1,2,8191,60
67010,1860.634564,0,0,8191,53
67030,1860.654580,0,0,8191,49
67050,1860.674586,-8,0,8191,44
67070,1860.694596,-4,-1,8191,55
67090,1860.714592,-4,-2,8191,48
67110,1860.734605,-2,0,8191,58
67130,1860.754595,0,0,8191,43
67150,1860.774604,3,1,8191,58
67170,1860.794594,0,0,8191,39
67190,1860.814593,-8,0,8191,49
67210,1860.833592,1,0,8191,58
67230,1860.853588,7,1,8191,54
67250,1860.873588,0,2,8191,62
67270,1860.893585,0,3,8191,55
67290,1860.913586,0,1,8191,56
67310,1860.933588,0,-1,8191,51
67330,1860.953588,-2,1,8191,48
67350,1860.973593,3,7,8191,41
67370,1860.993590,3,0,8191,48
67390,1861.013585,1,0,8191,39
67410,1861.033584,1,0,8191,48
67430,1861.053584,-7,0,8191,40
67450,1861.073592,-2,0,8191,55
67470,1861.093579,-3,0,8191,45
67490,1861.113586,5,0,8191,54
67510,1861.133623,-1,0,8191,55
67530,1861.153585,0,0,8191,48
67550,1861.173589,-2,0,8191,57
67570,1861.193583,0,0,8191,53
67590,1861.213582,7,-1,8191,61
67610,1861.233580,0,0,8191,54
67630,1861.253581,-1,5,8191,51
67650,1861.273586,-3,-4,8191,47
67670,1861.293580,-2,3,8191,49
67690,1861.313667,-1,0,8191,40
67710,1861.333580,-1,0,8191,52
67730,1861.353579,2,3,8191,37
67750,1861.373582,-2,-3,8191,55
67770,1861.393579,0,-4,8191,45
67790,1861.413575,-3,3,8191,54
67810,1861.433576,5,3,8191,53
67830,1861.453574,0,4,8191,56
67850,1861.473582,1,-3,8191,58
67870,1861.493220,-3,1,8191,54
67890,1861.513155,0,0,8191,53
67910,1861.533168,0,0,8191,49
67930,1861.553146,-1,0,8191,47
67950,1861.573154,-1,-2,8191,44
67970,1861.593148,4,-2,8191,53
67990,1861.613149,-1,0,8191,39
68010,1861.633145,-8,-1,8191,52
68030,1861.653143,0,-8,8191,37
68050,1861.674163,1,4,8191,55
68070,1861.693146,-4,0,8191,42
68090,1861.713144,3,3,8191,47
68110,1861.733156,-1,1,8191,63
68130,1861.753150,1,-1,8191,51
68150,1861.774156,0,0,8191,55
68170,1861.793146,-2,-2,8191,46
68190,1861.813141,0,0,8191,59
68210,1861.833138,0,2,8191,53
68230,1861.853138,3,0,8191,49
68250,1861.874176,1,3,8191,46
68270,1861.893202,0,2,8191,52
68290,1861.913138,-3,0,8191,36
68310,1861.933138,0,-1,8191,53
68330,1861.953205,-8,0,8191,39
68350,1861.974155,0,-1,8191,55
68370,1861.993140,-4,3,8191,49
68390,1862.013136,0,2,8191,51
68410,1862.033137,3,-2,8191,57
68430,1862.053136,-2,-3,8191,50
68450,1862.074162,0,0,8191,60
68470,1862.093136,4,5,8191,57
68490,1862.113133,-4,5,8191,55
68510,1862.133132,-1,3,8191,53
68530,1862.153132,-4,6,8191,47
68550,1862.173148,2,3,8191,38
68570,1862.193135,-3,5,8191,51
68590,1862.213131,-1,0,8191,41
68610,1862.233132,2,-1,8191,48
68630,1862.253131,-2,-3,8191,60
68650,1862.274145,-8,0,8191,55
68670,1862.293129,-6,0,8191,59
68690,1862.313128,2,3,8191,56
68710,1862.333129,0,7,8191,58
68730,1862.353128,-1,-2,8191,50
68750,1862.374137,0,1,8191,41
68770,1862.393130,0,0,8191,39
68790,1862.413130,7,-2,8191,56
68810,1862.433131,-2,0,8191,39
68830,1862.453127,0,-4,8191,57
68850,1862.473127,-5,1,8191,42
