Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfOffset,sensorFilter.surfReason,sensorFilter.surfState
568355,1,0.0164031982421875,-0.030819177627563477,0.0,6,1
568375,1,0.0164031982421875,-0.030819177627563477,0.0,6,1
568395,1,0.08201980590820312,-0.0499153733253479,0.0,8,1
568415,1,0.13396644592285156,-0.010830223560333252,0.0,8,1
568435,1,0.13396644592285156,-0.010830223560333252,0.0,8,1
568455,1,-0.027339935302734375,-0.030927956104278564,0.0,6,1
568475,1,-0.04374504089355469,-0.03582000732421875,0.0,6,1
568495,1,-0.04374504089355469,-0.03582000732421875,0.0,6,1
568515,1,-0.057415008544921875,-0.10588592290878296,0.0,6,1
568535,1,-0.08201980590820312,-0.0008494853973388672,0.0,8,1
568555,1,-0.08201980590820312,-0.0008494853973388672,0.0,8,1
568575,1,-0.027339935302734375,-0.01882791519165039,0.0,6,1
568595,1,0.139434814453125,-0.031925082206726074,0.0,8,1
568615,1,0.139434814453125,-0.031925082206726074,0.0,8,1
568635,1,0.18864822387695312,-0.020826399326324463,0.0,8,1
568655,1,0.18864822387695312,-0.020826399326324463,0.0,8,1
568675,1,0.04100990295410156,-0.039909541606903076,0.0,6,1
568695,1,0.043743133544921875,-0.039807260036468506,0.0,6,1
568715,1,0.043743133544921875,-0.039807260036468506,0.0,6,1
568735,1,0.024606704711914062,-0.025913476943969727,0.0,6,1
568755,1,0.05741310119628906,-0.007815122604370117,0.0,6,1
568775,1,0.05741310119628906,-0.007815122604370117,0.0,6,1
568795,1,0.013669967651367188,-0.011912941932678223,0.0,6,1
568815,1,0.03280830383300781,-0.04777264595031738,0.0,6,1
568835,1,0.03280830383300781,-0.04777264595031738,0.0,6,1
568855,1,-0.0027332305908203125,-0.024881422519683838,0.0,6,1
568875,1,0.03827667236328125,-0.002890944480895996,0.0,6,1
568895,1,0.03827667236328125,-0.002890944480895996,0.0,6,1
568915,1,0.06288337707519531,-0.040757834911346436,0.0,6,1
568935,1,0.0027332305908203125,-0.05184990167617798,0.0,6,1
568955,1,0.0027332305908203125,-0.05184990167617798,0.0,6,1
568975,1,-0.00820159912109375,-0.024769306182861328,0.0,6,1
568995,1,-0.00820159912109375,-0.024769306182861328,0.0,6,1
569015,1,-0.1695079803466797,-0.03587549924850464,0.0,8,1
569035,1,-0.10115814208984375,-0.08173686265945435,0.0,8,1
569055,1,-0.10115814208984375,-0.08173686265945435,0.0,8,1
569075,1,-0.20505142211914062,-0.036876022815704346,0.0,8,1
569095,1,-0.2651996612548828,-0.02078700065612793,0.0,8,1
569115,1,-0.2651996612548828,-0.02078700065612793,0.0,8,1
569135,1,-0.11209487915039062,-0.08984404802322388,0.0,8,1
569155,1,-0.21051979064941406,-0.002795696258544922,0.0,8,1
569175,1,-0.21051979064941406,-0.002795696258544922,0.0,8,1
569195,1,-0.16677474975585938,-0.0447767972946167,0.0,8,1
569215,1,-0.10936164855957031,-0.034896790981292725,0.0,8,1
569235,1,-0.10936164855957031,-0.034896790981292725,0.0,8,1
569255,1,-0.08201980590820312,-0.014796793460845947,0.0,8,1
569275,1,-0.08201980590820312,-0.014796793460845947,0.0,8,1
569295,1,-0.09022140502929688,-0.04588586091995239,0.0,8,1
569315,1,-0.04100990295410156,-0.03978419303894043,0.0,6,1
569335,1,-0.04100990295410156,-0.03978419303894043,0.0,6,1
569355,1,-0.030073165893554688,-0.04289412498474121,0.0,6,1
569375,1,0.027339935302734375,-0.012809514999389648,0.0,6,1
569395,1,0.027339935302734375,-0.012809514999389648,0.0,6,1
569415,1,-0.07108497619628906,-0.05389600992202759,0.0,6,1
569435,1,-0.08475494384765625,-0.010807275772094727,0.0,8,1
569455,1,-0.08475494384765625,-0.010807275772094727,0.0,8,1
569475,1,-0.027339935302734375,-0.0009046196937561035,0.0,6,1
569495,1,-0.09569168090820312,-0.007799208164215088,0.0,8,1
569515,1,-0.09569168090820312,-0.007799208164215088,0.0,8,1
569535,1,-0.14763641357421875,-0.022783875465393066,0.0,8,1
569555,1,-0.16404151916503906,-0.04787945747375488,0.0,8,1
569575,1,-0.16404151916503906,-0.04787945747375488,0.0,8,1
569595,1,-0.21051979064941406,-0.02377939224243164,0.0,8,1
569615,1,-0.21051979064941406,-0.02377939224243164,0.0,8,1
569635,1,-0.11482810974121094,-0.0488777756690979,0.0,8,1
569655,1,-0.12849807739257812,-0.022787034511566162,0.0,8,1
569675,1,-0.12849807739257812,-0.022787034511566162,0.0,8,1
569695,1,-0.0628814697265625,-0.019892513751983643,0.0,6,1
569715,1,-0.10115814208984375,-0.03278708457946777,0.0,8,1
569735,1,-0.10115814208984375,-0.03278708457946777,0.0,8,1
569755,1,-0.2460613250732422,-0.06089448928833008,0.0,8,1
569775,1,-0.18044471740722656,-0.011814236640930176,0.0,8,1
569795,1,-0.18044471740722656,-0.011814236640930176,0.0,8,1
569815,1,-0.22692298889160156,0.02805495262145996,0.0,8,1
569835,1,-0.08201980590820312,-0.0009254217147827148,0.0,8,1
569855,1,-0.08201980590820312,-0.0009254217147827148,0.0,8,1
569875,1,-0.08201980590820312,-0.05378526449203491,0.0,8,1
569895,1,-0.08201980590820312,-0.05378526449203491,0.0,8,1
569915,1,-0.07655143737792969,-0.02391272783279419,0.0,6,1
569935,1,-0.021871566772460938,-0.0008125901222229004,0.0,6,1
569955,1,-0.021871566772460938,-0.0008125901222229004,0.0,6,1
569975,1,0.03827667236328125,-0.020891427993774414,0.0,6,1
569995,1,0.010936737060546875,-0.0077705979347229,0.0,6,1
570015,1,0.010936737060546875,-0.0077705979347229,0.0,6,1
570035,1,-0.04100990295410156,-0.043853819370269775,0.0,6,1
570055,1,-0.0164031982421875,-0.04771864414215088,0.0,6,1
570075,1,-0.0164031982421875,-0.04771864414215088,0.0,6,1
570095,1,0.03280830383300781,-0.003857433795928955,0.0,6,1
570115,1,0.03554344177246094,-0.03172355890274048,0.0,6,1
570135,1,0.03554344177246094,-0.03172355890274048,0.0,6,1
570155,1,-0.03827667236328125,-0.03672516345977783,0.0,6,1
570175,1,-0.139434814453125,0.00813448429107666,0.0,8,1
570195,1,-0.139434814453125,0.00813448429107666,0.0,8,1
570215,1,-0.09022140502929688,-0.05171096324920654,0.0,8,1
570235,1,-0.09022140502929688,-0.05171096324920654,0.0,8,1
570255,1,-0.06561660766601562,-0.057827532291412354,0.0,6,1
570275,1,-0.12029647827148438,-0.025743722915649414,0.0,8,1
570295,1,-0.12029647827148438,-0.025743722915649414,0.0,8,1
570315,1,-0.09569168090820312,-0.021856248378753662,0.0,8,1
570335,1,-0.09569168090820312,-0.014747381210327148,0.0,8,1
570355,1,-0.09569168090820312,-0.014747381210327148,0.0,8,1
570375,1,-0.06561660766601562,0.01712191104888916,0.0,6,1
570395,1,-0.07928657531738281,-0.0357169508934021,0.0,6,1
570415,1,-0.07928657531738281,-0.0357169508934021,0.0,6,1
570435,1,-0.09569168090820312,-0.010838627815246582,0.0,8,1
570455,1,-0.024606704711914062,-0.010722458362579346,0.0,6,1
570475,1,-0.024606704711914062,-0.010722458362579346,0.0,6,1
570495,1,0.030073165893554688,-0.057676494121551514,0.0,6,1
570515,1,0.030073165893554688,-0.057676494121551514,0.0,6,1
570535,1,0.0,-0.04079800844192505,0.0,6,1
570555,1,0.0164031982421875,-0.038680434226989746,0.0,6,1
570575,1,0.0164031982421875,-0.038680434226989746,0.0,6,1
570595,1,-0.06014823913574219,-0.09274256229400635,0.0,6,1
570615,1,-0.0164031982421875,-0.07364147901535034,0.0,6,1
