Timestamp,range.zrange,sensorFilter.innoChTof,stateEstimate.vz,stateEstimate.z
567652,742,198.334228515625,-0.07209796458482742,0.6097607612609863
567672,752,226.3841094970703,-0.07256124168634415,0.6083650588989258
567692,752,226.3841094970703,-0.07382015883922577,0.606958270072937
567712,749,214.68353271484375,-0.07463768124580383,0.6055019497871399
567732,707,106.73916625976562,-0.07592200487852097,0.6040198802947998
567752,707,106.73916625976562,-0.0768805518746376,0.6025323271751404
567772,720,135.3314666748047,-0.07559649646282196,0.6010430455207825
567792,747,202.06460571289062,-0.07496508955955505,0.5995389819145203
567812,747,202.06460571289062,-0.07421844452619553,0.5980924367904663
567832,704,101.49583435058594,-0.0732695609331131,0.5966426730155945
567852,718,129.1747283935547,-0.07325834035873413,0.5952233672142029
567872,718,129.1747283935547,-0.07284264266490936,0.593809962272644
567892,734,163.8988037109375,-0.0704667791724205,0.592402994632721
567912,699,92.45059967041016,-0.0687253475189209,0.591037929058075
567932,699,92.45059967041016,-0.07019542157649994,0.5896153450012207
567952,735,162.18202209472656,-0.07233075052499771,0.588225781917572
567972,735,162.18202209472656,-0.07361108064651489,0.5868085622787476
567992,739,169.7715301513672,-0.07303527742624283,0.5853375792503357
568012,728,144.9291534423828,-0.07299377024173737,0.5839166641235352
568032,728,144.9291534423828,-0.07317566871643066,0.5825318098068237
568052,745,179.45481872558594,-0.07314693182706833,0.581118643283844
568072,710,110.16996002197266,-0.07632221281528473,0.5796259045600891
568092,710,110.16996002197266,-0.07959159463644028,0.5780605673789978
568112,743,172.06375122070312,-0.08212561905384064,0.5765079855918884
568132,734,152.91407775878906,-0.0847855806350708,0.5748342275619507
568152,734,152.91407775878906,-0.08491955697536469,0.5731455087661743
568172,725,135.86964416503906,-0.08366844803094864,0.5715256929397583
568192,699,93.65155029296875,-0.08308299630880356,0.5698970556259155
568212,699,93.65155029296875,-0.08626280725002289,0.5682602524757385
568232,726,136.5641326904297,-0.08976136147975922,0.5666068196296692
568252,726,136.5641326904297,-0.08932285010814667,0.5648260712623596
568272,731,144.99801635742188,-0.08944816887378693,0.5630612373352051
568292,720,126.35523223876953,-0.08982045203447342,0.5612630248069763
568312,720,126.35523223876953,-0.08699889481067657,0.559529721736908
568332,712,114.1376953125,-0.08652838319540024,0.5577989220619202
568352,724,132.3309783935547,-0.0880323052406311,0.5560545921325684
568372,724,132.3309783935547,-0.08831305801868439,0.5542920827865601
568392,743,163.4394073486328,-0.08872976154088974,0.5525262951850891
568412,704,103.14728546142578,-0.08937044441699982,0.5507560968399048
568432,704,103.14728546142578,-0.08825485408306122,0.5490565896034241
568452,724,131.72256469726562,-0.0883786603808403,0.5473418831825256
568472,729,138.70973205566406,-0.08841322362422943,0.5455728769302368
568492,729,138.70973205566406,-0.08913762122392654,0.5437983870506287
568512,799,262.37286376953125,-0.09189045429229736,0.542031466960907
568532,694,91.54798889160156,-0.09274151921272278,0.5401801466941833
568552,694,91.54798889160156,-0.09327782690525055,0.5384384989738464
568572,712,114.32440185546875,-0.09484263509511948,0.5365614295005798
568592,712,114.32440185546875,-0.09604877978563309,0.5346564650535583
568612,725,132.0243682861328,-0.0967705100774765,0.5327374935150146
568632,714,117.32356262207031,-0.09780408442020416,0.5307904481887817
568652,714,117.32356262207031,-0.09818581491708755,0.5289667248725891
568672,733,142.76414489746094,-0.09881448745727539,0.527027428150177
568692,733,142.3731231689453,-0.0993519276380539,0.5251036882400513
568712,733,142.3731231689453,-0.09946130216121674,0.5232193470001221
568732,719,123.95042419433594,-0.09996218234300613,0.5212637186050415
568752,701,102.55603790283203,-0.101267009973526,0.5192549228668213
568772,701,102.55603790283203,-0.10232172161340714,0.5172867178916931
568792,705,107.44271850585938,-0.10116824507713318,0.5154119729995728
568812,741,151.75872802734375,-0.10026299208402634,0.5135334730148315
568832,741,151.75872802734375,-0.10104279965162277,0.5115965008735657
568852,718,122.7396469116211,-0.10309722274541855,0.5095571875572205
568872,718,122.7396469116211,-0.10440681129693985,0.5074832439422607
568892,696,98.72238159179688,-0.10516540706157684,0.5054826140403748
568912,734,142.0294189453125,-0.10628782957792282,0.5032936334609985
568932,734,142.0294189453125,-0.10613099485635757,0.5013561844825745
568952,745,155.5222625732422,-0.10531724989414215,0.49937039613723755
568972,718,123.0614013671875,-0.10428141057491302,0.4972683787345886
568992,718,123.0614013671875,-0.10234112292528152,0.4952610731124878
569012,729,135.61752319335938,-0.10152021795511246,0.4933687448501587
569032,775,192.57998657226562,-0.10156197845935822,0.4914441406726837
569052,775,192.57998657226562,-0.10170866549015045,0.48942404985427856
569072,730,136.2222900390625,-0.10404625535011292,0.48735353350639343
569092,714,118.83073425292969,-0.10685925930738449,0.4852250814437866
569112,714,118.83073425292969,-0.10761192440986633,0.4831688106060028
569132,783,200.48939514160156,-0.10738707333803177,0.4810923933982849
569152,696,200.48939514160156,-0.10642332583665848,0.47895151376724243
569172,696,101.56014251708984,-0.10357313603162766,0.47692224383354187
569192,738,144.3060302734375,-0.10107167810201645,0.4749594032764435
569212,738,144.3060302734375,-0.1019655093550682,0.4729255735874176
569232,728,133.39047241210938,-0.10387440025806427,0.4709964692592621
569252,708,113.12932586669922,-0.10485254228115082,0.4690345823764801
569272,708,113.12932586669922,-0.10623322427272797,0.46706289052963257
569292,739,144.13833618164062,-0.10703501850366592,0.465092271566391
569312,733,137.3560791015625,-0.10652238875627518,0.46311163902282715
569332,733,137.3560791015625,-0.1067638173699379,0.4609842896461487
569352,736,140.27955627441406,-0.10805878043174744,0.4590073823928833
569372,706,111.32706451416016,-0.1098136231303215,0.4569992423057556
569392,706,111.32706451416016,-0.11201027780771255,0.4548325538635254
569412,747,150.942138671875,-0.11283480376005173,0.4525814950466156
569432,704,110.05290985107422,-0.11205081641674042,0.450400710105896
569452,704,110.05290985107422,-0.11392835527658463,0.4483056962490082
569472,694,101.84764862060547,-0.11739720404148102,0.44604575634002686
569492,694,101.84764862060547,-0.11917168647050858,0.44379663467407227
569512,701,107.9759292602539,-0.12020545452833176,0.44149133563041687
569532,716,121.3316650390625,-0.1207655668258667,0.43907302618026733
569552,716,121.3316650390625,-0.1198052316904068,0.4367517828941345
569572,741,144.2405242919922,-0.11838357150554657,0.43458497524261475
569592,717,122.41357421875,-0.11680073291063309,0.43236106634140015
569612,717,122.41357421875,-0.11556842923164368,0.4301147162914276
569632,742,144.7879638671875,-0.11535883694887161,0.4278898239135742
569652,716,121.78394317626953,-0.11507587879896164,0.4255831837654114
569672,716,121.78394317626953,-0.11545325070619583,0.42347532510757446
569692,713,119.29843139648438,-0.11479123681783676,0.4212823510169983
569712,726,130.08868408203125,-0.1144266277551651,0.41908037662506104
569732,726,130.08868408203125,-0.11506994068622589,0.4167730510234833
569752,754,154.67955017089844,-0.11584565788507462,0.4146384596824646
569772,705,113.1412124633789,-0.1172529011964798,0.4123936891555786
569792,705,113.1412124633789,-0.11938703805208206,0.41022127866744995
569812,665,84.71568298339844,-0.12070717662572861,0.40801194310188293
569832,665,84.71568298339844,-0.12037145346403122,0.40583863854408264
569852,694,105.16212463378906,-0.1223745048046112,0.4036748707294464
569872,747,146.9146728515625,-0.12404414266347885,0.40140706300735474
569892,747,146.9146728515625,-0.1252181977033615,0.39904120564460754
569912,717,122.72286987304688,-0.1275205910205841,0.3964815139770508
569932,694,105.92897033691406,-0.12793943285942078,0.3941204249858856
569952,694,105.92897033691406,-0.1265217810869217,0.3917047679424286
569972,714,120.76097869873047,-0.12673982977867126,0.38939473032951355
569992,701,111.29944610595703,-0.12910552322864532,0.3871065676212311
570012,701,111.29944610595703,-0.1308375895023346,0.3845484256744385
570032,737,138.58982849121094,-0.13260067999362946,0.3820231556892395
