Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
571299,1,1,1,1,-0.040780555456876755
571319,1,1,1,1,-0.040780555456876755
571339,1,1,1,1,-0.040780555456876755
571359,1,1,1,1,-0.040780555456876755
571379,1,1,1,1,-0.040780555456876755
571399,1,1,1,1,-0.040780555456876755
571419,1,1,1,1,-0.040780555456876755
571439,1,1,1,1,-0.040780555456876755
571459,1,1,1,1,-0.040780555456876755
571479,1,1,1,1,-0.040780555456876755
571499,1,1,1,1,-0.040780555456876755
571519,1,1,1,1,-0.040780555456876755
571539,1,1,1,1,-0.040780555456876755
571559,1,1,1,1,-0.040780555456876755
571579,1,1,1,1,-0.040780555456876755
571599,1,1,1,1,-0.040780555456876755
571619,1,1,1,1,-0.040780555456876755
571639,1,1,1,1,-0.040780555456876755
571659,1,1,1,1,-0.040780555456876755
571679,1,1,1,1,-0.040780555456876755
571699,1,1,1,1,-0.040780555456876755
571719,1,1,1,1,-0.040780555456876755
571739,1,1,1,1,-0.040780555456876755
571759,1,1,1,1,-0.040780555456876755
571779,1,1,1,1,-0.040780555456876755
571799,1,1,1,1,-0.040780555456876755
571819,1,1,1,1,-0.040780555456876755
571839,1,1,1,1,-0.040780555456876755
571859,1,1,1,1,-0.040780555456876755
571879,1,1,1,1,-0.040780555456876755
571899,1,1,1,1,-0.040780555456876755
571919,1,1,1,1,-0.040780555456876755
571939,1,1,1,1,-0.040780555456876755
571959,1,1,1,1,-0.040780555456876755
571979,1,1,1,1,-0.040780555456876755
571999,1,1,1,1,-0.040780555456876755
572019,1,1,1,1,-0.040780555456876755
572039,1,1,1,1,-0.040780555456876755
572059,1,1,1,1,-0.040780555456876755
572079,1,1,1,1,-0.040780555456876755
572099,1,1,1,1,-0.040780555456876755
572119,1,1,1,1,-0.040780555456876755
572139,1,1,1,1,-0.040780555456876755
572159,1,1,1,1,-0.040780555456876755
572179,1,1,1,1,-0.040780555456876755
572199,1,1,1,1,-0.040780555456876755
572219,1,1,1,1,-0.040780555456876755
572239,1,1,1,1,-0.040780555456876755
572259,1,1,1,1,-0.040780555456876755
572279,1,1,1,1,-0.040780555456876755
572299,1,1,1,1,-0.040780555456876755
572319,1,1,1,1,-0.040780555456876755
572339,1,1,1,1,-0.040780555456876755
572359,1,1,1,1,-0.040780555456876755
572379,1,1,1,1,-0.040780555456876755
572399,1,1,1,1,-0.040780555456876755
572419,1,1,1,1,-0.040780555456876755
572439,1,1,1,1,-0.040780555456876755
572459,1,1,1,1,-0.040780555456876755
572479,1,1,1,1,-0.040780555456876755
572499,1,1,1,1,-0.040780555456876755
572519,1,1,1,1,-0.040780555456876755
572539,1,1,1,1,-0.040780555456876755
572559,1,1,1,1,-0.040780555456876755
572579,1,1,1,1,-0.040780555456876755
572599,1,1,1,1,-0.040780555456876755
572619,1,1,1,1,-0.040780555456876755
572639,1,1,1,1,-0.040780555456876755
572659,1,1,1,1,-0.040780555456876755
572679,1,1,1,1,-0.040780555456876755
572699,1,1,1,1,-0.040780555456876755
572719,1,1,1,1,-0.040780555456876755
572739,1,1,1,1,-0.040780555456876755
572759,1,1,1,1,-0.040780555456876755
572779,1,1,1,1,-0.040780555456876755
572799,1,1,1,1,-0.040780555456876755
572819,1,1,1,1,-0.040780555456876755
572839,1,1,1,1,-0.040780555456876755
572859,1,1,1,1,-0.040780555456876755
572879,1,1,1,1,-0.040780555456876755
572899,1,1,1,1,-0.040780555456876755
572919,1,1,1,1,-0.040780555456876755
572939,1,1,1,1,-0.040780555456876755
572959,1,1,1,1,-0.040780555456876755
572979,1,1,1,1,-0.040780555456876755
572999,1,1,1,1,-0.040780555456876755
573019,1,1,1,1,-0.040780555456876755
573039,1,1,1,1,-0.040780555456876755
573059,1,1,1,1,-0.040780555456876755
573079,1,1,1,1,-0.040780555456876755
573099,1,1,1,1,-0.040780555456876755
573119,1,1,1,1,-0.040780555456876755
573139,1,1,1,1,-0.040780555456876755
573159,1,1,1,1,-0.040780555456876755
573179,1,1,1,1,-0.040780555456876755
573199,1,1,1,1,-0.040780555456876755
573219,1,1,1,1,-0.040780555456876755
573239,1,1,1,1,-0.040780555456876755
573259,1,1,1,1,-0.040780555456876755
573279,1,1,1,1,-0.040780555456876755
573299,1,1,1,1,-0.040780555456876755
573319,1,1,1,1,-0.040780555456876755
573339,1,1,1,1,-0.040780555456876755
573359,1,1,1,1,-0.040780555456876755
573379,1,1,1,1,-0.040780555456876755
573399,1,1,1,1,-0.040780555456876755
573419,1,1,1,1,-0.040780555456876755
573439,1,1,1,1,-0.040780555456876755
573459,1,1,1,1,-0.040780555456876755
573479,1,1,1,1,-0.040780555456876755
573499,1,1,1,1,-0.040780555456876755
573519,1,1,1,1,-0.040780555456876755
573539,1,1,1,1,-0.040780555456876755
573559,1,1,1,1,-0.040780555456876755
573579,1,1,1,1,-0.040780555456876755
573599,1,1,1,1,-0.040780555456876755
573619,1,1,1,1,-0.040780555456876755
573639,1,1,1,1,-0.040780555456876755
573659,1,1,1,1,-0.040780555456876755
573679,1,1,1,1,-0.040780555456876755
573699,1,1,1,1,-0.040780555456876755
573719,1,1,1,1,-0.040780555456876755
573739,1,1,1,1,-0.040780555456876755
573759,1,1,1,1,-0.040780555456876755
573779,1,1,1,1,-0.040780555456876755
573799,1,1,1,1,-0.040780555456876755
573819,1,1,1,1,-0.040780555456876755
573839,1,1,1,1,-0.040780555456876755
573859,1,1,1,1,-0.040780555456876755
573879,1,1,1,1,-0.040780555456876755
573899,1,1,1,1,-0.040780555456876755
573919,1,1,1,1,-0.040780555456876755
573939,1,1,1,1,-0.040780555456876755
573959,1,1,1,1,-0.040780555456876755
573979,1,1,1,1,-0.040780555456876755
573999,1,1,1,1,-0.040780555456876755
574019,1,1,1,1,-0.040780555456876755
574039,1,1,1,1,-0.040780555456876755
574059,1,1,1,1,-0.040780555456876755
574079,1,1,1,1,-0.040780555456876755
574099,1,1,1,1,-0.040780555456876755
574119,1,1,1,1,-0.040780555456876755
574139,1,1,1,1,-0.040780555456876755
574159,1,1,1,1,-0.040780555456876755
574179,1,1,1,1,-0.040780555456876755
574199,1,1,1,1,-0.040780555456876755
574219,1,1,1,1,-0.040780555456876755
