Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
4985754,4,9,1,0,0
4985774,4,9,1,0,0
4985794,6,13,1,0,0
4985814,6,13,1,0,0
4985834,10,19,1,0,1
4985854,10,19,1,0,1
4985874,12,23,1,0,1
4985894,12,23,1,0,1
4985914,12,23,1,0,1
4985934,14,27,1,0,1
4985954,14,27,1,0,1
4985974,16,31,1,0,1
4985994,16,31,1,0,1
4986014,19,37,1,0,1
4986034,19,37,1,0,1
4986054,1,1,1,0,1
4986074,1,1,1,0,1
4986094,4,7,1,0,1
4986114,4,7,1,0,1
4986134,7,13,1,0,1
4986154,7,13,1,0,1
4986174,9,17,1,0,1
4986194,9,17,1,0,1
4986214,11,21,1,0,1
4986234,11,21,1,0,1
4986254,11,21,1,0,1
4986274,13,25,1,0,1
4986294,13,25,1,0,1
4986314,16,31,1,0,1
4986334,16,31,1,0,1
4986354,18,35,1,0,1
4986374,18,35,1,0,1
4986394,20,39,1,0,0
4986414,20,39,1,0,0
4986434,2,3,1,0,0
4986454,2,3,1,0,0
4986474,4,9,1,0,0
4986494,4,9,1,0,0
4986514,7,15,1,0,0
4986534,7,15,1,0,0
4986554,9,19,1,0,0
4986574,9,19,1,0,0
4986594,11,23,1,0,0
4986614,11,23,1,0,0
4986634,11,23,1,0,0
4986654,13,27,1,0,0
4986674,13,27,1,0,0
4986694,15,31,1,0,0
4986714,15,31,1,0,0
4986734,18,39,1,0,0
4986754,18,39,1,0,0
4986774,2,3,1,0,1
4986794,2,3,1,0,1
4986814,4,7,1,0,1
4986834,4,7,1,0,1
4986854,7,13,1,0,1
4986874,7,13,1,0,1
4986894,10,19,1,0,1
4986914,10,19,1,0,1
4986934,12,23,1,0,1
4986954,12,23,1,0,1
4986974,12,23,1,0,1
4986994,15,29,1,0,1
4987014,15,29,1,0,1
4987034,17,33,1,0,1
4987054,17,33,1,0,1
4987074,20,39,1,0,1
4987094,20,39,1,0,1
4987114,2,3,1,0,1
4987134,2,3,1,0,1
4987154,4,7,1,0,1
4987174,4,7,1,0,1
4987194,6,11,1,0,1
4987214,6,11,1,0,1
4987234,8,15,1,0,1
4987254,8,15,1,0,1
4987274,10,19,1,0,1
4987294,10,19,1,0,1
4987314,11,23,1,0,0
4987334,11,23,1,0,0
4987354,11,23,1,0,0
4987374,13,25,1,0,0
4987394,13,25,1,0,0
4987414,15,29,1,0,0
4987434,15,29,1,0,0
4987454,17,33,1,0,0
4987474,17,33,1,0,0
4987494,19,37,1,0,0
4987514,19,37,1,0,0
4987534,0,1,1,0,0
4987554,0,1,1,0,0
4987574,2,5,1,0,0
4987594,2,5,1,0,0
4987614,4,9,1,0,0
4987634,4,9,1,0,0
4987654,6,13,1,0,0
4987674,6,13,1,0,0
4987694,9,19,1,0,0
4987714,9,19,1,0,0
4987734,9,19,1,0,0
4987754,12,23,1,0,1
4987774,12,23,1,0,1
4987794,14,27,1,0,1
4987814,14,27,1,0,1
4987834,16,31,1,0,1
4987854,16,31,1,0,1
4987874,19,37,1,0,1
4987894,19,37,1,0,1
4987914,2,3,1,0,1
4987934,2,3,1,0,1
4987954,4,7,1,0,1
4987974,4,7,1,0,1
4987994,7,13,1,0,1
4988014,7,13,1,0,1
4988034,9,17,1,0,1
4988054,9,17,1,0,1
4988074,9,17,1,0,1
4988094,11,21,1,0,1
4988114,11,21,1,0,1
4988134,13,25,1,0,1
4988154,13,25,1,0,1
4988174,16,31,1,0,0
4988194,16,31,1,0,0
4988214,18,35,1,0,0
4988234,18,35,1,0,0
4988254,20,39,1,0,0
4988274,20,39,1,0,0
4988294,2,3,1,0,0
4988314,2,3,1,0,0
4988334,4,7,1,0,0
4988354,4,7,1,0,0
4988374,6,11,1,0,0
4988394,6,11,1,0,0
4988414,9,17,1,0,0
4988434,9,17,1,0,0
4988454,9,17,1,0,0
4988474,10,21,1,0,0
4988494,10,21,1,0,0
4988514,12,25,1,0,0
4988534,12,25,1,0,0
4988554,14,29,1,0,0
4988574,14,29,1,0,0
4988594,17,35,1,0,0
4988614,17,35,1,0,0
4988634,20,39,1,0,1
4988654,20,39,1,0,1
4988674,2,3,1,0,1
4988694,2,3,1,0,1
4988714,4,7,1,0,1
4988734,4,7,1,0,1
4988754,7,13,1,0,1
4988774,7,13,1,0,1
4988794,9,17,1,0,1
4988814,9,17,1,0,1
4988834,9,17,1,0,1
4988854,11,21,1,0,1
4988874,11,21,1,0,1
4988894,12,25,1,0,0
4988914,12,25,1,0,0
4988934,16,31,1,0,1
4988954,16,31,1,0,1
4988974,19,37,1,0,1
4988994,19,37,1,0,1
4989014,0,1,1,0,0
4989034,0,1,1,0,0
4989054,3,5,1,0,1
4989074,3,5,1,0,1
4989094,6,11,1,0,0
4989114,6,11,1,0,0
4989134,9,17,1,0,1
4989154,9,17,1,0,1
4989174,9,17,1,0,1
4989194,11,21,1,0,1
4989214,11,21,1,0,1
4989234,12,23,1,0,0
4989254,12,23,1,0,0
4989274,14,29,1,0,0
4989294,14,29,1,0,0
4989314,17,33,1,0,0
4989334,17,33,1,0,0
4989354,19,37,1,0,0
4989374,19,37,1,0,0
4989394,0,1,1,0,0
4989414,0,1,1,0,0
4989434,2,5,1,0,0
4989454,2,5,1,0,0
4989474,4,9,1,0,0
4989494,4,9,1,0,0
4989514,6,13,1,0,0
4989534,6,13,1,0,0
4989554,8,17,1,0,0
4989574,8,17,1,0,0
4989594,8,17,1,0,0
4989614,11,21,1,0,1
4989634,11,21,1,0,1
4989654,14,27,1,0,1
4989674,14,27,1,0,1
4989694,17,33,1,0,1
4989714,17,33,1,0,1
4989734,20,39,1,0,1
4989754,20,39,1,0,1
4989774,3,5,1,0,1
4989794,3,5,1,0,1
4989814,5,9,1,0,1
4989834,5,9,1,0,1
4989854,8,15,1,0,1
4989874,8,15,1,0,1
4989894,8,15,1,0,1
4989914,10,19,1,0,1
4989934,10,19,1,0,1
4989954,12,23,1,0,1
4989974,12,23,1,0,1
4989994,15,29,1,0,1
4990014,15,29,1,0,1
4990034,18,35,1,0,1
4990054,18,35,1,0,1
4990074,20,41,1,0,0
4990094,20,41,1,0,0
4990114,4,7,1,0,1
4990134,4,7,1,0,1
4990154,6,11,1,0,0
4990174,6,11,1,0,0
4990194,6,11,1,0,0
4990214,9,19,1,0,0
4990234,9,19,1,0,0
4990254,12,23,1,0,0
4990274,12,23,1,0,0
4990294,15,29,1,0,0
4990314,15,29,1,0,0
4990334,17,35,1,0,0
4990354,17,35,1,0,0
4990374,0,1,1,0,0
4990394,0,1,1,0,0
4990414,3,7,1,0,0
4990434,3,7,1,0,0
4990454,6,13,1,0,0
4990474,6,13,1,0,0
4990494,6,13,1,0,0
4990514,9,19,1,0,0
4990534,9,19,1,0,0
4990554,13,25,1,0,1
4990574,13,25,1,0,1
4990594,16,31,1,0,1
4990614,16,31,1,0,1
4990634,20,39,1,0,1
4990654,20,39,1,0,1
4990674,3,5,1,0,1
4990694,3,5,1,0,1
4990714,6,11,1,0,1
4990734,6,11,1,0,1
4990754,6,11,1,0,1
4990774,10,19,1,0,1
4990794,10,19,1,0,1
4990814,13,25,1,0,1
4990834,13,25,1,0,1
4990854,16,31,1,0,1
4990874,16,31,1,0,1
4990894,20,39,1,0,1
4990914,20,39,1,0,1
4990934,3,5,1,0,1
4990954,3,5,1,0,1
4990974,6,11,1,0,1
4990994,6,11,1,0,1
4991014,6,11,1,0,1
4991034,8,15,1,0,0
4991054,8,15,1,0,0
4991074,11,23,1,0,0
4991094,11,23,1,0,0
4991114,14,27,1,0,0
4991134,14,27,1,0,0
4991154,17,33,1,0,0
4991174,17,33,1,0,0
4991194,20,39,1,0,0
4991214,20,39,1,0,0
4991234,2,5,1,0,0
4991254,2,5,1,0,0
4991274,5,11,1,0,0
4991294,5,11,1,0,0
4991314,5,11,1,0,0
4991334,8,17,1,0,0
4991354,8,17,1,0,0
4991374,11,23,1,0,0
4991394,11,23,1,0,0
4991414,14,29,1,0,0
4991434,14,29,1,0,0
4991454,18,35,1,0,1
4991474,18,35,1,0,1
4991494,1,1,1,0,1
4991514,1,1,1,0,1
4991534,4,7,1,0,1
4991554,4,7,1,0,1
4991574,4,7,1,0,1
4991594,8,15,1,0,1
4991614,8,15,1,0,1
4991634,11,21,1,0,1
4991654,11,21,1,0,1
4991674,14,27,1,0,1
4991694,14,27,1,0,1
4991714,17,33,1,0,1
4991734,17,33,1,0,1
4991754,20,39,1,0,1
4991774,20,39,1,0,1
4991794,3,5,1,0,1
4991814,3,5,1,0,1
4991834,6,11,1,0,1
4991854,6,11,1,0,1
4991874,6,11,1,0,1
4991894,10,19,1,0,1
4991914,10,19,1,0,1
4991934,13,25,1,0,1
4991954,13,25,1,0,1
4991974,15,31,1,0,0
4991994,15,31,1,0,0
4992014,18,35,1,0,0
4992034,18,35,1,0,0
4992054,2,3,1,0,1
4992074,2,3,1,0,1
4992094,4,7,1,0,0
4992114,4,7,1,0,0
4992134,4,7,1,0,0
4992154,7,13,1,0,0
4992174,7,13,1,0,0
4992194,9,19,1,0,0
4992214,9,19,1,0,0
4992234,12,25,1,0,0
4992254,12,25,1,0,0
4992274,15,31,1,0,0
4992294,15,31,1,0,0
4992314,18,37,1,0,0
4992334,18,37,1,0,0
4992354,1,3,1,0,0
4992374,1,3,1,0,0
4992394,5,9,1,0,1
4992414,5,9,1,0,1
4992434,5,9,1,0,1
