Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
4983613,0,0,0,0,0.0
4983633,0,0,0,0,0.0
4983653,0,0,0,0,0.0
4983673,0,0,0,0,0.0
4983693,0,0,0,0,0.0
4983713,0,0,0,0,0.0
4983733,0,0,0,0,0.0
4983753,0,0,0,0,0.0
4983773,0,0,0,0,0.0
4983793,0,0,0,0,0.0
4983813,0,0,0,0,0.0
4983833,0,0,0,0,0.0
4983853,0,0,0,0,0.0
4983873,0,0,0,0,0.0
4983893,0,0,0,0,0.0
4983913,0,0,0,0,0.0
4983933,0,0,0,0,0.0
4983953,0,0,0,0,0.0
4983973,0,0,0,0,0.0
4983993,0,0,0,0,0.0
4984013,0,0,0,0,0.0
4984033,0,0,0,0,0.0
4984053,0,0,0,0,0.0
4984073,0,0,0,0,0.0
4984093,0,0,0,0,0.0
4984113,0,0,0,0,0.0
4984133,0,0,0,0,0.0
4984153,0,0,0,0,0.0
4984173,0,0,0,0,0.0
4984193,0,0,0,0,0.0
4984213,0,0,0,0,0.0
4984233,0,0,0,0,0.0
4984253,0,0,0,0,0.0
4984273,0,0,0,0,0.0
4984293,0,0,0,0,0.0
4984313,0,0,0,0,0.0
4984333,0,0,0,0,0.0
4984353,0,0,0,0,0.0
4984373,0,0,0,0,0.0
4984393,0,0,0,0,0.0
4984413,0,0,0,0,0.0
4984433,0,0,0,0,0.0
4984453,0,0,0,0,0.0
4984473,0,0,0,0,0.0
4984493,0,0,0,0,0.0
4984513,0,0,0,0,0.0
4984533,0,0,0,0,0.0
4984553,0,0,0,0,0.0
4984573,0,0,0,0,0.0
4984593,0,0,0,0,0.0
4984613,0,0,0,0,0.0
4984633,0,0,0,0,0.0
4984653,0,0,0,0,0.0
4984673,0,0,0,0,0.0
4984693,0,0,0,0,0.0
4984713,0,0,0,0,0.0
4984733,0,0,0,0,0.0
4984753,0,0,0,0,0.0
4984773,0,0,0,0,0.0
4984793,0,0,0,0,0.0
4984813,0,0,0,0,0.0
4984833,0,0,0,0,0.0
4984853,0,0,0,0,0.0
4984873,0,0,0,0,0.0
4984893,0,0,0,0,0.0
4984913,0,0,0,0,0.0
4984933,0,0,0,0,0.0
4984953,0,0,0,0,0.0
4984973,0,0,0,0,0.0
4984993,0,0,0,0,0.0
4985013,0,0,0,0,0.0
4985033,0,0,0,0,0.0
4985053,0,0,0,0,0.0
4985073,0,0,0,0,0.0
4985093,0,0,0,0,0.0
4985113,0,0,0,0,0.0
4985133,0,0,0,0,0.0
4985153,0,0,0,0,0.0
4985173,0,0,0,0,0.0
4985193,0,0,0,0,0.0
4985213,0,0,0,0,0.0
4985233,0,0,0,0,0.0
4985253,0,0,0,0,0.0
4985273,0,0,0,0,0.0
4985293,0,0,0,0,0.0
4985313,0,0,0,0,0.0
4985333,0,0,0,0,0.0
4985353,0,0,0,0,0.0
4985373,0,0,0,0,0.0
4985393,0,0,0,0,0.0
4985413,0,0,0,0,0.0
4985433,0,0,0,0,0.0
4985453,0,0,0,0,0.0
4985473,0,0,0,0,0.0
4985493,0,0,0,0,0.0
4985513,0,0,0,0,0.0
4985533,0,0,0,0,0.0
4985553,0,0,0,0,0.0
4985573,0,0,0,0,0.0
4985593,0,0,0,0,0.0
4985613,0,0,0,0,0.0
4985633,0,0,0,0,0.0
4985653,0,0,0,0,0.0
4985673,0,0,0,0,0.0
4985693,0,0,0,0,0.0
4985713,0,0,0,0,0.0
4985733,0,0,0,0,0.0
4985753,0,0,0,0,0.0
4985773,0,0,0,0,0.0
4985793,0,0,0,0,0.0
4985813,0,0,0,0,0.0
4985833,0,0,0,0,0.0
4985853,0,0,0,0,0.0
4985873,0,0,0,0,0.0
4985893,0,0,0,0,0.0
4985913,0,0,0,0,0.0
4985933,0,0,0,0,0.0
4985953,0,0,0,0,0.0
4985973,0,0,0,0,0.0
4985993,0,0,0,0,0.0
4986013,0,0,0,0,0.0
4986033,0,0,0,0,0.0
4986053,0,0,0,0,0.0
4986073,0,0,0,0,0.0
4986093,0,0,0,0,0.0
4986113,0,0,0,0,0.0
4986133,0,0,0,0,0.0
4986153,0,0,0,0,0.0
4986173,0,0,0,0,0.0
4986193,0,0,0,0,0.0
4986213,0,0,0,0,0.0
4986233,0,0,0,0,0.0
4986253,0,0,0,0,0.0
4986273,0,0,0,0,0.0
4986293,0,0,0,0,0.0
4986313,0,0,0,0,0.0
4986333,0,0,0,0,0.0
4986353,0,0,0,0,0.0
4986373,0,0,0,0,0.0
4986393,0,0,0,0,0.0
4986413,0,0,0,0,0.0
4986433,0,0,0,0,0.0
4986453,0,0,0,0,0.0
4986473,0,0,0,0,0.0
4986493,0,0,0,0,0.0
4986513,0,0,0,0,0.0
4986533,0,0,0,0,0.0
4986553,0,0,0,0,0.0
4986573,0,0,0,0,0.0
4986593,0,0,0,0,0.0
4986613,0,0,0,0,0.0
4986633,0,0,0,0,0.0
4986653,0,0,0,0,0.0
4986673,0,0,0,0,0.0
4986693,0,0,0,0,0.0
4986713,0,0,0,0,0.0
4986733,0,0,0,0,0.0
4986753,0,0,0,0,0.0
4986773,0,0,0,0,0.0
4986793,0,0,0,0,0.0
4986813,0,0,0,0,0.0
4986833,0,0,0,0,0.0
4986853,0,0,0,0,0.0
4986873,0,0,0,0,0.0
4986893,0,0,0,0,0.0
4986913,0,0,0,0,0.0
4986933,0,0,0,0,0.0
4986953,0,0,0,0,0.0
4986973,0,0,0,0,0.0
4986993,0,0,0,0,0.0
4987013,0,0,0,0,0.0
4987033,0,0,0,0,0.0
4987053,0,0,0,0,0.0
4987073,0,0,0,0,0.0
4987093,0,0,0,0,0.0
4987113,0,0,0,0,0.0
4987133,0,0,0,0,0.0
4987153,0,0,0,0,0.0
4987173,0,0,0,0,0.0
4987193,0,0,0,0,0.0
4987213,0,0,0,0,0.0
4987233,0,0,0,0,0.0
4987253,0,0,0,0,0.0
4987273,0,0,0,0,0.0
4987293,0,0,0,0,0.0
4987313,0,0,0,0,0.0
4987333,0,0,0,0,0.0
4987353,0,0,0,0,0.0
4987373,0,0,0,0,0.0
4987393,0,0,0,0,0.0
4987413,0,0,0,0,0.0
4987433,0,0,0,0,0.0
4987453,0,0,0,0,0.0
4987473,0,0,0,0,0.0
4987493,0,0,0,0,0.0
4987513,0,0,0,0,0.0
4987533,0,0,0,0,0.0
4987553,0,0,0,0,0.0
4987573,0,0,0,0,0.0
4987593,0,0,0,0,0.0
4987613,0,0,0,0,0.0
4987633,0,0,0,0,0.0
4987653,0,0,0,0,0.0
4987673,0,0,0,0,0.0
4987693,0,0,0,0,0.0
4987713,0,0,0,0,0.0
4987733,0,0,0,0,0.0
4987753,0,0,0,0,0.0
4987773,0,0,0,0,0.0
4987793,0,0,0,0,0.0
4987813,0,0,0,0,0.0
4987833,0,0,0,0,0.0
4987853,0,0,0,0,0.0
4987873,0,0,0,0,0.0
4987893,0,0,0,0,0.0
4987913,0,0,0,0,0.0
4987933,0,0,0,0,0.0
4987953,0,0,0,0,0.0
4987973,0,0,0,0,0.0
4987993,0,0,0,0,0.0
