Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
4980218,0,0,0,0,0.0
4980238,0,0,0,0,0.0
4980258,0,0,0,0,0.0
4980278,0,0,0,0,0.0
4980298,0,0,0,0,0.0
4980318,0,0,0,0,0.0
4980338,0,0,0,0,0.0
4980358,0,0,0,0,0.0
4980378,0,0,0,0,0.0
4980398,0,0,0,0,0.0
4980418,0,0,0,0,0.0
4980438,0,0,0,0,0.0
4980458,0,0,0,0,0.0
4980478,0,0,0,0,0.0
4980498,0,0,0,0,0.0
4980518,0,0,0,0,0.0
4980538,0,0,0,0,0.0
4980558,0,0,0,0,0.0
4980578,0,0,0,0,0.0
4980598,0,0,0,0,0.0
4980618,0,0,0,0,0.0
4980638,0,0,0,0,0.0
4980658,0,0,0,0,0.0
4980678,0,0,0,0,0.0
4980698,0,0,0,0,0.0
4980718,0,0,0,0,0.0
4980738,0,0,0,0,0.0
4980758,0,0,0,0,0.0
4980778,0,0,0,0,0.0
4980798,0,0,0,0,0.0
4980818,0,0,0,0,0.0
4980838,0,0,0,0,0.0
4980858,0,0,0,0,0.0
4980878,0,0,0,0,0.0
4980898,0,0,0,0,0.0
4980918,0,0,0,0,0.0
4980938,0,0,0,0,0.0
4980958,0,0,0,0,0.0
4980978,0,0,0,0,0.0
4980998,0,0,0,0,0.0
4981018,0,0,0,0,0.0
4981038,0,0,0,0,0.0
4981058,0,0,0,0,0.0
4981078,0,0,0,0,0.0
4981098,0,0,0,0,0.0
4981118,0,0,0,0,0.0
4981138,0,0,0,0,0.0
4981158,0,0,0,0,0.0
4981178,0,0,0,0,0.0
4981198,0,0,0,0,0.0
4981218,0,0,0,0,0.0
4981238,0,0,0,0,0.0
4981258,0,0,0,0,0.0
4981278,0,0,0,0,0.0
4981298,0,0,0,0,0.0
4981318,0,0,0,0,0.0
4981338,0,0,0,0,0.0
4981358,0,0,0,0,0.0
4981378,0,0,0,0,0.0
4981398,0,0,0,0,0.0
4981418,0,0,0,0,0.0
4981438,0,0,0,0,0.0
4981458,0,0,0,0,0.0
4981478,0,0,0,0,0.0
4981498,0,0,0,0,0.0
4981518,0,0,0,0,0.0
4981538,0,0,0,0,0.0
4981558,0,0,0,0,0.0
4981578,0,0,0,0,0.0
4981598,0,0,0,0,0.0
4981618,0,0,0,0,0.0
4981638,0,0,0,0,0.0
4981658,0,0,0,0,0.0
4981678,0,0,0,0,0.0
4981698,0,0,0,0,0.0
4981718,0,0,0,0,0.0
4981738,0,0,0,0,0.0
4981758,0,0,0,0,0.0
4981778,0,0,0,0,0.0
4981798,0,0,0,0,0.0
4981818,0,0,0,0,0.0
4981838,0,0,0,0,0.0
4981858,0,0,0,0,0.0
4981878,0,0,0,0,0.0
4981898,0,0,0,0,0.0
4981918,0,0,0,0,0.0
4981938,0,0,0,0,0.0
4981958,0,0,0,0,0.0
4981978,0,0,0,0,0.0
4981998,0,0,0,0,0.0
4982018,0,0,0,0,0.0
4982038,0,0,0,0,0.0
4982058,0,0,0,0,0.0
4982078,0,0,0,0,0.0
4982098,0,0,0,0,0.0
4982118,0,0,0,0,0.0
4982138,0,0,0,0,0.0
4982158,0,0,0,0,0.0
4982178,0,0,0,0,0.0
4982198,0,0,0,0,0.0
4982218,0,0,0,0,0.0
4982238,0,0,0,0,0.0
4982258,0,0,0,0,0.0
4982278,0,0,0,0,0.0
4982298,0,0,0,0,0.0
4982318,0,0,0,0,0.0
4982338,0,0,0,0,0.0
4982358,0,0,0,0,0.0
4982378,0,0,0,0,0.0
4982398,0,0,0,0,0.0
4982418,0,0,0,0,0.0
4982438,0,0,0,0,0.0
4982458,0,0,0,0,0.0
4982478,0,0,0,0,0.0
4982498,0,0,0,0,0.0
4982518,0,0,0,0,0.0
4982538,0,0,0,0,0.0
4982558,0,0,0,0,0.0
4982578,0,0,0,0,0.0
4982598,0,0,0,0,0.0
4982618,0,0,0,0,0.0
4982638,0,0,0,0,0.0
4982658,0,0,0,0,0.0
4982678,0,0,0,0,0.0
4982698,0,0,0,0,0.0
4982718,0,0,0,0,0.0
4982738,0,0,0,0,0.0
4982758,0,0,0,0,0.0
4982778,0,0,0,0,0.0
4982798,0,0,0,0,0.0
4982818,0,0,0,0,0.0
4982838,0,0,0,0,0.0
4982858,0,0,0,0,0.0
4982878,0,0,0,0,0.0
4982898,0,0,0,0,0.0
4982918,0,0,0,0,0.0
4982938,0,0,0,0,0.0
4982958,0,0,0,0,0.0
4982978,0,0,0,0,0.0
4982998,0,0,0,0,0.0
4983018,0,0,0,0,0.0
4983038,0,0,0,0,0.0
4983058,0,0,0,0,0.0
4983078,0,0,0,0,0.0
4983098,0,0,0,0,0.0
4983118,0,0,0,0,0.0
4983138,0,0,0,0,0.0
4983158,0,0,0,0,0.0
4983178,0,0,0,0,0.0
4983198,0,0,0,0,0.0
4983218,0,0,0,0,0.0
4983238,0,0,0,0,0.0
