Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
5604442,1,1,1,0,0
5604462,1,1,1,0,0
5604482,3,7,1,0,0
5604502,3,7,1,0,0
5604522,6,13,1,0,0
5604542,6,13,1,0,0
5604562,9,19,1,0,0
5604582,9,19,1,0,0
5604602,12,25,1,0,0
5604622,12,25,1,0,0
5604642,12,25,1,0,0
5604662,15,31,1,0,0
5604682,15,31,1,0,0
5604702,19,37,1,0,1
5604722,19,37,1,0,1
5604742,2,3,1,0,1
5604762,2,3,1,0,1
5604782,5,9,1,0,1
5604802,5,9,1,0,1
5604822,8,15,1,0,1
5604842,8,15,1,0,1
5604862,11,21,1,0,1
5604882,11,21,1,0,1
5604902,13,27,1,0,0
5604922,13,27,1,0,0
5604942,13,27,1,0,0
5604962,17,33,1,0,1
5604982,17,33,1,0,1
5605002,1,1,1,0,1
5605022,1,1,1,0,1
5605042,3,7,1,0,0
5605062,3,7,1,0,0
5605082,7,13,1,0,1
5605102,7,13,1,0,1
5605122,10,19,1,0,1
5605142,10,19,1,0,1
5605162,12,25,1,0,0
5605182,12,25,1,0,0
5605202,12,25,1,0,0
5605222,16,31,1,0,1
5605242,16,31,1,0,1
5605262,18,35,1,0,0
5605282,18,35,1,0,0
5605302,1,1,1,0,0
5605322,1,1,1,0,0
5605342,4,7,1,0,0
5605362,4,7,1,0,0
5605382,7,15,1,0,1
5605402,7,15,1,0,1
5605422,9,19,1,0,0
5605442,9,19,1,0,0
5605463,12,25,1,0,0
5605482,12,25,1,0,0
5605502,12,25,1,0,0
5605522,15,31,1,0,0
5605542,15,31,1,0,0
5605562,18,37,1,0,0
5605582,18,37,1,0,0
5605602,2,3,1,0,1
5605622,2,3,1,0,1
5605642,5,9,1,0,1
5605662,5,9,1,0,1
5605682,8,15,1,0,1
5605702,8,15,1,0,1
5605722,11,21,1,0,1
5605742,11,21,1,0,1
5605762,11,21,1,0,1
5605782,14,27,1,0,1
5605802,14,27,1,0,1
5605822,17,33,1,0,1
5605842,17,33,1,0,1
5605862,20,39,1,0,1
5605882,20,39,1,0,1
5605902,3,5,1,0,1
5605922,3,5,1,0,1
5605942,6,11,1,0,0
5605962,6,11,1,0,0
5605982,10,19,1,0,1
5606002,10,19,1,0,1
5606022,10,19,1,0,1
5606042,13,25,1,0,0
5606062,13,25,1,0,0
5606082,16,31,1,0,1
5606102,16,31,1,0,1
5606122,18,35,1,0,0
5606142,18,35,1,0,0
5606162,1,1,1,0,0
5606182,1,1,1,0,0
5606202,4,7,1,0,0
5606222,4,7,1,0,0
5606242,7,13,1,0,0
5606262,7,13,1,0,0
5606282,10,19,1,0,0
5606302,10,19,1,0,0
5606323,11,25,1,0,4294967295
5606342,11,25,1,0,4294967295
5606362,11,25,1,0,4294967295
5606382,15,31,1,0,0
5606402,15,31,1,0,0
5606423,18,39,1,0,0
5606443,18,39,1,0,0
5606462,2,5,1,0,0
5606483,2,5,1,0,0
5606503,6,11,1,0,1
5606522,6,11,1,0,1
5606542,10,19,1,0,1
5606562,10,19,1,0,1
5606583,12,25,1,0,0
5606603,12,25,1,0,0
5606623,12,25,1,0,0
5606643,16,31,1,0,1
5606663,16,31,1,0,1
5606682,20,39,1,0,1
5606702,20,39,1,0,1
5606723,2,5,1,0,0
5606743,2,5,1,0,0
5606763,6,11,1,0,0
5606782,6,11,1,0,0
5606802,10,19,1,0,1
5606822,10,19,1,0,1
5606843,12,25,1,0,0
5606862,12,25,1,0,0
5606883,12,25,1,0,0
5606902,16,31,1,0,0
5606922,16,31,1,0,0
5606942,20,39,1,0,1
5606962,20,39,1,0,1
5606982,2,5,1,0,0
5607002,2,5,1,0,0
5607022,6,11,1,0,1
5607042,6,11,1,0,1
5607062,9,19,1,0,0
5607082,9,19,1,0,0
5607102,9,19,1,0,0
5607122,12,23,1,0,0
5607142,12,23,1,0,0
5607162,15,29,1,0,0
5607182,15,29,1,0,0
5607202,18,35,1,0,0
5607222,18,35,1,0,0
5607242,0,1,1,0,0
5607262,0,1,1,0,0
5607282,3,7,1,0,0
5607302,3,7,1,0,0
5607322,6,15,1,0,0
5607342,6,15,1,0,0
5607362,9,19,1,0,0
5607382,9,19,1,0,0
5607402,9,19,1,0,0
5607422,12,25,1,0,0
5607442,12,25,1,0,0
5607462,16,31,1,0,1
5607482,16,31,1,0,1
5607502,19,37,1,0,1
5607522,19,37,1,0,1
5607542,2,3,1,0,1
5607562,2,3,1,0,1
5607582,5,9,1,0,1
5607602,5,9,1,0,1
5607622,8,15,1,0,1
5607642,8,15,1,0,1
5607662,11,21,1,0,1
5607682,11,21,1,0,1
5607702,11,21,1,0,1
5607722,14,27,1,0,1
5607742,14,27,1,0,1
5607762,17,33,1,0,1
5607782,17,33,1,0,1
5607802,20,39,1,0,1
5607822,20,39,1,0,1
5607842,3,5,1,0,1
5607862,3,5,1,0,1
5607882,6,11,1,0,1
5607902,6,11,1,0,1
5607922,9,17,1,0,1
5607942,9,17,1,0,1
5607962,10,19,1,0,0
5607982,10,19,1,0,0
5608002,10,19,1,0,0
5608022,12,23,1,0,0
5608042,12,23,1,0,0
5608062,14,27,1,0,0
5608082,14,27,1,0,0
5608102,16,31,1,0,0
5608122,16,31,1,0,0
5608142,18,35,1,0,0
5608162,18,35,1,0,0
5608182,20,39,1,0,1
5608202,20,39,1,0,1
5608222,1,3,1,0,0
5608242,1,3,1,0,0
5608262,3,7,1,0,0
5608282,3,7,1,0,0
5608302,6,13,1,0,0
5608322,6,13,1,0,0
5608342,10,19,1,0,1
5608362,10,19,1,0,1
5608382,10,19,1,0,1
5608402,12,23,1,0,1
5608422,12,23,1,0,1
5608442,14,27,1,0,1
5608462,14,27,1,0,1
5608482,17,33,1,0,1
5608502,17,33,1,0,1
5608522,20,39,1,0,1
5608542,20,39,1,0,1
5608562,2,5,1,0,0
5608582,2,5,1,0,0
5608602,5,9,1,0,1
5608622,5,9,1,0,1
5608642,8,15,1,0,1
5608662,8,15,1,0,1
5608682,10,19,1,0,1
5608702,10,19,1,0,1
5608722,10,19,1,0,1
5608742,12,25,1,0,0
5608762,12,25,1,0,0
5608782,15,29,1,0,1
5608802,15,29,1,0,1
5608822,18,35,1,0,1
5608842,18,35,1,0,1
5608862,19,39,1,0,0
5608882,19,39,1,0,0
5608902,1,1,1,0,0
5608922,1,1,1,0,0
5608942,3,5,1,0,0
5608962,3,5,1,0,0
5608982,5,9,1,0,0
5609002,5,9,1,0,0
5609022,7,13,1,0,0
5609042,7,13,1,0,0
5609062,8,17,1,0,0
5609082,8,17,1,0,0
5609102,8,17,1,0,0
5609122,10,21,1,0,0
5609142,10,21,1,0,0
5609162,12,25,1,0,0
5609182,12,25,1,0,0
5609202,14,29,1,0,0
5609222,14,29,1,0,0
5609242,16,33,1,0,0
5609262,16,33,1,0,0
5609282,19,39,1,0,0
5609302,19,39,1,0,0
5609322,2,3,1,0,1
5609342,2,3,1,0,1
5609362,4,7,1,0,1
5609382,4,7,1,0,1
5609402,7,13,1,0,1
5609422,7,13,1,0,1
5609442,9,17,1,0,1
5609462,9,17,1,0,1
5609482,9,17,1,0,1
5609502,11,21,1,0,1
5609522,11,21,1,0,1
5609542,14,27,1,0,1
5609562,14,27,1,0,1
5609582,16,31,1,0,0
5609602,16,31,1,0,0
5609622,19,37,1,0,1
5609642,19,37,1,0,1
5609662,1,1,1,0,1
5609682,1,1,1,0,1
5609702,3,5,1,0,1
5609722,3,5,1,0,1
5609742,6,11,1,0,0
5609762,6,11,1,0,0
5609782,8,17,1,0,0
5609802,8,17,1,0,0
5609822,8,17,1,0,0
5609842,10,19,1,0,0
5609862,10,19,1,0,0
5609882,12,23,1,0,0
5609902,12,23,1,0,0
5609922,14,27,1,0,0
5609942,14,27,1,0,0
5609962,16,31,1,0,0
5609982,16,31,1,0,0
5610002,18,37,1,0,0
5610022,18,37,1,0,0
5610042,0,1,1,0,0
5610062,0,1,1,0,0
5610082,2,5,1,0,0
5610102,2,5,1,0,0
5610122,4,9,1,0,0
5610142,4,9,1,0,0
5610162,8,15,1,0,1
5610182,8,15,1,0,1
5610202,8,15,1,0,1
5610222,10,19,1,0,1
5610242,10,19,1,0,1
5610262,12,23,1,0,1
5610282,12,23,1,0,1
5610302,14,27,1,0,1
5610322,14,27,1,0,1
5610342,16,31,1,0,1
5610362,16,31,1,0,1
5610382,19,37,1,0,1
5610402,19,37,1,0,1
5610422,0,1,1,0,0
5610442,0,1,1,0,0
5610462,4,7,1,0,1
5610482,4,7,1,0,1
5610502,6,11,1,0,1
5610522,6,11,1,0,1
5610542,6,11,1,0,1
5610562,9,17,1,0,1
5610582,9,17,1,0,1
5610602,11,21,1,0,1
5610622,11,21,1,0,1
5610642,13,27,1,0,0
5610662,13,27,1,0,0
5610682,15,31,1,0,0
5610702,15,31,1,0,0
5610722,17,35,1,0,0
5610742,17,35,1,0,0
5610762,19,37,1,0,0
5610782,19,37,1,0,0
5610802,2,3,1,0,1
5610822,2,3,1,0,1
5610842,4,9,1,0,0
5610862,4,9,1,0,0
5610882,6,13,1,0,0
5610902,6,13,1,0,0
5610922,6,13,1,0,0
5610942,8,17,1,0,0
5610962,8,17,1,0,0
5610982,10,21,1,0,0
5611002,10,21,1,0,0
5611022,12,25,1,0,0
5611042,12,25,1,0,0
5611062,14,29,1,0,0
5611082,14,29,1,0,0
5611102,16,33,1,0,0
5611122,16,33,1,0,0
5611142,19,37,1,0,1
5611162,19,37,1,0,1
5611182,2,3,1,0,1
5611202,2,3,1,0,1
5611222,4,7,1,0,1
5611242,4,7,1,0,1
5611262,7,13,1,0,1
5611282,7,13,1,0,1
5611302,7,13,1,0,1
5611322,10,19,1,0,1
5611342,10,19,1,0,1
5611362,12,25,1,0,0
5611382,12,25,1,0,0
5611402,15,29,1,0,1
5611422,15,29,1,0,1
5611442,17,33,1,0,1
5611462,17,33,1,0,1
5611482,19,37,1,0,1
5611502,19,37,1,0,1
5611522,0,1,1,0,0
5611542,0,1,1,0,0
5611562,4,7,1,0,1
5611582,4,7,1,0,1
5611602,6,13,1,0,0
5611622,6,13,1,0,0
5611642,6,13,1,0,0
5611662,8,15,1,0,0
5611682,8,15,1,0,0
5611702,10,19,1,0,0
5611722,10,19,1,0,0
5611742,12,23,1,0,0
5611762,12,23,1,0,0
5611782,14,27,1,0,0
5611802,14,27,1,0,0
5611822,15,31,1,0,0
5611842,15,31,1,0,0
5611862,18,37,1,0,0
5611882,18,37,1,0,0
5611902,0,1,1,0,0
5611922,0,1,1,0,0
5611942,2,5,1,0,0
5611962,2,5,1,0,0
5611982,5,11,1,0,0
5612002,5,11,1,0,0
5612022,5,11,1,0,0
5612042,9,17,1,0,1
5612062,9,17,1,0,1
5612082,11,21,1,0,1
5612102,11,21,1,0,1
5612122,13,25,1,0,1
5612142,13,25,1,0,1
5612162,16,31,1,0,1
5612182,16,31,1,0,1
5612202,19,37,1,0,1
5612222,19,37,1,0,1
5612242,1,1,1,0,1
5612262,1,1,1,0,1
5612282,4,7,1,0,1
5612302,4,7,1,0,1
5612322,6,11,1,0,1
5612342,6,11,1,0,1
5612362,6,11,1,0,1
5612382,9,17,1,0,1
5612402,9,17,1,0,1
5612422,11,21,1,0,1
5612442,11,21,1,0,1
5612462,14,27,1,0,1
5612482,14,27,1,0,1
5612502,16,33,1,0,0
5612522,16,33,1,0,0
5612542,18,37,1,0,0
5612562,18,37,1,0,0
5612582,20,39,1,0,0
5612602,20,39,1,0,0
5612622,2,5,1,0,4294967295
5612642,2,5,1,0,4294967295
5612662,5,9,1,0,0
5612682,5,9,1,0,0
5612702,5,9,1,0,0
5612722,7,13,1,0,0
5612742,7,13,1,0,0
5612762,8,19,1,0,0
5612782,8,19,1,0,0
5612802,11,23,1,0,0
5612822,11,23,1,0,0
5612842,14,29,1,0,0
5612862,14,29,1,0,0
5612882,16,33,1,0,0
5612902,16,33,1,0,0
5612922,18,37,1,0,0
5612942,18,37,1,0,0
5612962,2,3,1,0,1
5612982,2,3,1,0,1
5613002,4,7,1,0,1
5613022,4,7,1,0,1
5613042,4,7,1,0,1
5613062,7,13,1,0,1
5613082,7,13,1,0,1
5613102,10,19,1,0,1
5613122,10,19,1,0,1
5613142,12,23,1,0,1
5613162,12,23,1,0,1
5613182,15,29,1,0,1
5613202,15,29,1,0,1
5613222,18,35,1,0,1
5613242,18,35,1,0,1
5613262,0,1,1,0,0
5613282,0,1,1,0,0
5613302,4,7,1,0,1
5613322,4,7,1,0,1
5613342,4,7,1,0,1
5613362,7,13,1,0,1
5613382,7,13,1,0,1
5613402,10,19,1,0,1
5613422,10,19,1,0,1
5613442,12,25,1,0,0
5613462,12,25,1,0,0
5613482,15,31,1,0,0
5613502,15,31,1,0,0
5613522,18,35,1,0,0
