Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
5603291,0,0,0,0,0.0
5603311,0,0,0,0,0.0
5603331,0,0,0,0,0.0
5603351,0,0,0,0,0.0
5603371,0,0,0,0,0.0
5603391,0,0,0,0,0.0
5603411,0,0,0,0,0.0
5603431,0,0,0,0,0.0
5603451,0,0,0,0,0.0
5603471,0,0,0,0,0.0
5603491,0,0,0,0,0.0
5603511,0,0,0,0,0.0
5603531,0,0,0,0,0.0
5603551,0,0,0,0,0.0
5603571,0,0,0,0,0.0
5603591,0,0,0,0,0.0
5603611,0,0,0,0,0.0
5603631,0,0,0,0,0.0
5603651,0,0,0,0,0.0
5603671,0,0,0,0,0.0
5603691,0,0,0,0,0.0
5603711,0,0,0,0,0.0
5603731,0,0,0,0,0.0
5603751,0,0,0,0,0.0
5603771,0,0,0,0,0.0
5603791,0,0,0,0,0.0
5603811,0,0,0,0,0.0
5603831,0,0,0,0,0.0
5603851,0,0,0,0,0.0
5603871,0,0,0,0,0.0
5603891,0,0,0,0,0.0
5603911,0,0,0,0,0.0
5603931,0,0,0,0,0.0
5603951,0,0,0,0,0.0
5603971,0,0,0,0,0.0
5603991,0,0,0,0,0.0
5604011,0,0,0,0,0.0
5604031,0,0,0,0,0.0
5604051,0,0,0,0,0.0
5604071,0,0,0,0,0.0
5604091,0,0,0,0,0.0
5604111,0,0,0,0,0.0
5604131,0,0,0,0,0.0
5604151,0,0,0,0,0.0
5604171,0,0,0,0,0.0
5604191,0,0,0,0,0.0
5604211,0,0,0,0,0.0
5604231,0,0,0,0,0.0
5604251,0,0,0,0,0.0
5604271,0,0,0,0,0.0
5604291,0,0,0,0,0.0
5604311,0,0,0,0,0.0
5604331,0,0,0,0,0.0
5604351,0,0,0,0,0.0
5604371,0,0,0,0,0.0
5604391,0,0,0,0,0.0
5604411,0,0,0,0,0.0
5604431,0,0,0,0,0.0
5604451,0,0,0,0,0.0
5604471,0,0,0,0,0.0
5604491,0,0,0,0,0.0
5604511,0,0,0,0,0.0
5604531,0,0,0,0,0.0
5604551,0,0,0,0,0.0
5604571,0,0,0,0,0.0
5604591,0,0,0,0,0.0
5604611,0,0,0,0,0.0
5604631,0,0,0,0,0.0
5604651,0,0,0,0,0.0
5604671,0,0,0,0,0.0
5604691,0,0,0,0,0.0
5604711,0,0,0,0,0.0
5604731,0,0,0,0,0.0
5604751,0,0,0,0,0.0
5604771,0,0,0,0,0.0
5604791,0,0,0,0,0.0
5604811,0,0,0,0,0.0
5604831,0,0,0,0,0.0
5604851,0,0,0,0,0.0
5604871,0,0,0,0,0.0
