Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfCandInn,sensorFilter.surfClear,sensorFilter.surfN,sensorFilter.surfOffset
5602379,0,0.0,0.0,1.0617027282714844,0.6249269843101501,0,0.0
5602399,0,0.0,0.0,1.0617027282714844,0.6249269843101501,0,0.0
5602419,0,0.0,0.0,0.0004185613652225584,0.6219301819801331,0,0.0
5602439,0,0.0,0.0,0.0004185613652225584,0.6219301819801331,0,0.0
5602459,0,0.0,0.0,0.969683825969696,0.6239829063415527,0,0.0
5602479,0,0.0,0.0,0.969683825969696,0.6239829063415527,0,0.0
5602499,0,0.0,0.0,1.6786335706710815,0.6249794960021973,0,0.0
5602519,0,0.0,0.0,1.6786335706710815,0.6249794960021973,0,0.0
5602539,0,0.0,0.0,1.3165791034698486,0.6249771118164062,0,0.0
5602559,0,0.0,0.0,1.3165791034698486,0.6249771118164062,0,0.0
5602579,0,0.0,0.0,1.2327674627304077,0.6249834895133972,0,0.0
5602599,0,0.0,0.0,1.2327674627304077,0.6249834895133972,0,0.0
5602619,0,0.0,0.0,1.2327674627304077,0.6249834895133972,0,0.0
5602639,0,0.0,0.0,1.3148161172866821,0.6249390244483948,0,0.0
5602659,0,0.0,0.0,1.3148161172866821,0.6249390244483948,0,0.0
5602679,0,0.0,0.0,1.2039943933486938,0.6249411702156067,0,0.0
5602699,0,0.0,0.0,1.2039943933486938,0.6249411702156067,0,0.0
5602719,0,0.0,0.0,1.9757806062698364,0.6259406805038452,0,0.0
5602739,0,0.0,0.0,1.9757806062698364,0.6259406805038452,0,0.0
5602759,0,0.0,0.0,0.10159910470247269,0.622994065284729,0,0.0
5602779,0,0.0,0.0,0.10159910470247269,0.622994065284729,0,0.0
5602799,0,0.0,0.0,1.5068594217300415,0.6249977946281433,0,0.0
5602819,0,0.0,0.0,1.5068594217300415,0.6249977946281433,0,0.0
5602839,0,0.0,0.0,1.500443696975708,0.6249997615814209,0,0.0
5602859,0,0.0,0.0,1.500443696975708,0.6249997615814209,0,0.0
5602879,0,0.0,0.0,1.5037269592285156,0.6249467730522156,0,0.0
5602899,0,0.0,0.0,1.5037269592285156,0.6249467730522156,0,0.0
5602919,0,0.0,0.0,1.5037269592285156,0.6249467730522156,0,0.0
5602939,0,0.0,0.0,0.7699838280677795,0.6239505410194397,0,0.0
5602959,0,0.0,0.0,0.7699838280677795,0.6239505410194397,0,0.0
5602979,0,0.0,0.0,0.056657057255506516,0.6219525337219238,0,0.0
5602999,0,0.0,0.0,0.056657057255506516,0.6219525337219238,0,0.0
5603019,0,0.0,0.0,0.1621595025062561,0.6219536662101746,0,0.0
5603039,0,0.0,0.0,0.1621595025062561,0.6219536662101746,0,0.0
5603059,0,0.0,0.0,0.8456780314445496,0.6230018734931946,0,0.0
5603079,0,0.0,0.0,0.8456780314445496,0.6230018734931946,0,0.0
5603099,0,0.0,0.0,0.8180590867996216,0.6229997873306274,0,0.0
5603119,0,0.0,0.0,0.8180590867996216,0.6229997873306274,0,0.0
5603139,0,0.0,0.0,1.6673635244369507,0.6239999532699585,0,0.0
5603159,0,0.0,0.0,1.6673635244369507,0.6239999532699585,0,0.0
5603179,0,0.0,0.0,1.6673635244369507,0.6239999532699585,0,0.0
5603199,0,0.0,0.0,0.8823385834693909,0.6229466795921326,0,0.0
5603219,0,0.0,0.0,0.8823385834693909,0.6229466795921326,0,0.0
5603239,0,0.0,0.0,0.373963862657547,0.6219455599784851,0,0.0
5603259,0,0.0,0.0,0.373963862657547,0.6219455599784851,0,0.0
5603279,0,0.0,0.0,3.3402037620544434,0.6249452829360962,0,0.0
5603299,0,0.0,0.0,3.3402037620544434,0.6249452829360962,0,0.0
5603319,0,0.0,0.0,0.5692625641822815,0.6220013499259949,0,0.0
5603339,0,0.0,0.0,0.5692625641822815,0.6220013499259949,0,0.0
5603359,0,0.0,0.0,0.25939860939979553,0.6210030317306519,0,0.0
5603379,0,0.0,0.0,0.25939860939979553,0.6210030317306519,0,0.0
5603399,0,0.0,0.0,3.006601095199585,0.6240035891532898,0,0.0
5603419,0,0.0,0.0,3.006601095199585,0.6240035891532898,0,0.0
5603439,0,0.0,0.0,2.524362802505493,0.6240026950836182,0,0.0
5603459,0,0.0,0.0,2.524362802505493,0.6240026950836182,0,0.0
5603479,0,0.0,0.0,2.524362802505493,0.6240026950836182,0,0.0
5603499,0,0.0,0.0,6.650256633758545,0.6269515156745911,0,0.0
5603519,0,0.0,0.0,6.650256633758545,0.6269515156745911,0,0.0
5603539,0,0.0,0.0,0.6783848404884338,0.6229534149169922,0,0.0
5603559,0,0.0,0.0,0.6783848404884338,0.6229534149169922,0,0.0
5603579,0,0.0,0.0,1.3397973775863647,0.6239503622055054,0,0.0
5603599,0,0.0,0.0,1.3397973775863647,0.6239503622055054,0,0.0
5603619,0,0.0,0.0,0.05875132232904434,0.620002806186676,0,0.0
5603639,0,0.0,0.0,0.05875132232904434,0.620002806186676,0,0.0
5603659,0,0.0,0.0,2.2505457401275635,0.6240024566650391,0,0.0
5603679,0,0.0,0.0,2.2505457401275635,0.6240024566650391,0,0.0
5603699,0,0.0,0.0,0.5264195799827576,0.6220039129257202,0,0.0
5603719,0,0.0,0.0,0.5264195799827576,0.6220039129257202,0,0.0
5603739,0,0.0,0.0,0.5264195799827576,0.6220039129257202,0,0.0
5603759,0,0.0,0.0,0.18607781827449799,0.6209467053413391,0,0.0
5603779,0,0.0,0.0,0.18607781827449799,0.6209467053413391,0,0.0
5603799,0,0.0,0.0,5.596527576446533,0.6259419918060303,0,0.0
5603819,0,0.0,0.0,5.596527576446533,0.6259419918060303,0,0.0
5603839,0,0.0,0.0,2.01016902923584,0.6239438056945801,0,0.0
5603859,0,0.0,0.0,2.01016902923584,0.6239438056945801,0,0.0
5603879,0,0.0,0.0,3.360954999923706,0.6250013113021851,0,0.0
5603899,0,0.0,0.0,3.360954999923706,0.6250013113021851,0,0.0
5603919,0,0.0,0.0,2.98276686668396,0.6250026226043701,0,0.0
5603939,0,0.0,0.0,2.98276686668396,0.6250026226043701,0,0.0
5603959,0,0.0,0.0,1.4740492105484009,0.6240010261535645,0,0.0
5603979,0,0.0,0.0,1.4740492105484009,0.6240010261535645,0,0.0
5603999,0,0.0,0.0,1.4740492105484009,0.6240010261535645,0,0.0
5604019,0,0.0,0.0,0.6463780999183655,0.6230010390281677,0,0.0
5604039,0,0.0,0.0,0.6463780999183655,0.6230010390281677,0,0.0
5604059,0,0.0,0.0,0.6646443605422974,0.6229463815689087,0,0.0
5604079,0,0.0,0.0,0.6646443605422974,0.6229463815689087,0,0.0
