Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
5604111,0.0,0.0,0.0,0,0
5604131,0.0,0.0,0.0,0,0
5604151,0.0,0.0,0.0,0,0
5604171,0.0,0.0,0.0,0,0
5604191,0.0,0.0,0.0,0,0
5604211,0.0,0.0,0.0,0,0
5604231,0.0,0.0,0.0,0,0
5604251,0.0,0.0,0.0,0,0
5604271,0.0,0.0,0.0,0,0
5604291,0.0,0.0,0.0,0,0
5604311,0.0,0.0,0.0,0,0
5604331,0.0,0.0,0.0,0,0
5604351,0.0,0.0,0.0,0,0
5604371,0.0,0.0,0.0,0,0
5604391,0.0,0.0,0.0,0,0
5604411,0.0,0.0,0.0,0,0
5604431,0.0,0.0,0.0,0,0
5604451,0.0,0.0,0.0,0,0
5604471,0.0,0.0,0.0,0,0
5604491,0.0,0.0,0.0,0,0
5604511,0.0,0.0,0.0,0,0
5604531,0.0,0.0,0.0,0,0
5604551,0.0,0.0,0.0,0,0
5604571,0.0,0.0,0.0,0,0
5604591,0.0,0.0,0.0,0,0
5604611,0.0,0.0,0.0,0,0
5604631,0.0,0.0,0.0,0,0
5604651,0.0,0.0,0.0,0,0
5604671,0.0,0.0,0.0,0,0
5604691,0.0,0.0,0.0,0,0
5604711,0.0,0.0,0.0,0,0
5604731,0.0,0.0,0.0,0,0
5604751,0.0,0.0,0.0,0,0
5604771,0.0,0.0,0.0,0,0
5604791,0.0,0.0,0.0,0,0
5604811,0.0,0.0,0.0,0,0
5604831,0.0,0.0,0.0,0,0
5604851,0.0,0.0,0.0,0,0
5604871,0.0,0.0,0.0,0,0
5604891,0.0,0.0,0.0,0,0
5604911,0.0,0.0,0.0,0,0
5604931,0.0,0.0,0.0,0,0
5604951,0.0,0.0,0.0,0,0
5604971,0.0,0.0,0.0,0,0
5604991,0.0,0.0,0.0,0,0
5605011,0.0,0.0,0.0,0,0
5605031,0.0,0.0,0.0,0,0
5605051,0.0,0.0,0.0,0,0
5605071,0.0,0.0,0.0,0,0
5605091,0.0,0.0,0.0,0,0
5605111,0.0,0.0,0.0,0,0
5605131,0.0,0.0,0.0,0,0
5605151,0.0,0.0,0.0,0,0
5605171,0.0,0.0,0.0,0,0
5605191,0.0,0.0,0.0,0,0
5605211,0.0,0.0,0.0,0,0
5605231,0.0,0.0,0.0,0,0
5605251,0.0,0.0,0.0,0,0
5605271,0.0,0.0,0.0,0,0
5605291,0.0,0.0,0.0,0,0
5605311,0.0,0.0,0.0,0,0
5605331,0.0,0.0,0.0,0,0
5605351,0.0,0.0,0.0,0,0
5605371,0.0,0.0,0.0,0,0
5605391,0.0,0.0,0.0,0,0
5605411,0.0,0.0,0.0,0,0
5605431,0.0,0.0,0.0,0,0
5605451,0.0,0.0,0.0,0,0
5605471,0.0,0.0,0.0,0,0
5605491,0.0,0.0,0.0,0,0
5605511,0.0,0.0,0.0,0,0
5605531,0.0,0.0,0.0,0,0
5605551,0.0,0.0,0.0,0,0
5605571,0.0,0.0,0.0,0,0
5605591,0.0,0.0,0.0,0,0
5605611,0.0,0.0,0.0,0,0
5605631,0.0,0.0,0.0,0,0
5605651,0.0,0.0,0.0,0,0
5605671,0.0,0.0,0.0,0,0
5605691,0.0,0.0,0.0,0,0
5605711,0.0,0.0,0.0,0,0
5605731,0.0,0.0,0.0,0,0
5605751,0.0,0.0,0.0,0,0
5605771,0.0,0.0,0.0,0,0
5605791,0.0,0.0,0.0,0,0
5605811,0.0,0.0,0.0,0,0
5605831,0.0,0.0,0.0,0,0
5605851,0.0,0.0,0.0,0,0
5605871,0.0,0.0,0.0,0,0
5605891,0.0,0.0,0.0,0,0
5605911,0.0,0.0,0.0,0,0
5605931,0.0,0.0,0.0,0,0
5605951,0.0,0.0,0.0,0,0
5605971,0.0,0.0,0.0,0,0
5605991,0.0,0.0,0.0,0,0
5606011,0.0,0.0,0.0,0,0
5606031,0.0,0.0,0.0,0,0
5606051,0.0,0.0,0.0,0,0
5606071,0.0,0.0,0.0,0,0
5606091,0.0,0.0,0.0,0,0
5606111,0.0,0.0,0.0,0,0
5606131,0.0,0.0,0.0,0,0
5606151,0.0,0.0,0.0,0,0
5606171,0.0,0.0,0.0,0,0
5606191,0.0,0.0,0.0,0,0
5606211,0.0,0.0,0.0,0,0
5606231,0.0,0.0,0.0,0,0
5606251,0.0,0.0,0.0,0,0
5606271,0.0,0.0,0.0,0,0
5606291,0.0,0.0,0.0,0,0
5606311,0.0,0.0,0.0,0,0
5606331,0.0,0.0,0.0,0,0
5606351,0.0,0.0,0.0,0,0
5606371,0.0,0.0,0.0,0,0
5606391,0.0,0.0,0.0,0,0
5606411,0.0,0.0,0.0,0,0
5606431,0.0,0.0,0.0,0,0
5606451,0.0,0.0,0.0,0,0
5606471,0.0,0.0,0.0,0,0
5606491,0.0,0.0,0.0,0,0
5606511,0.0,0.0,0.0,0,0
5606531,0.0,0.0,0.0,0,0
5606551,0.0,0.0,0.0,0,0
5606571,0.0,0.0,0.0,0,0
5606591,0.0,0.0,0.0,0,0
5606611,0.0,0.0,0.0,0,0
5606631,0.0,0.0,0.0,0,0
5606651,0.0,0.0,0.0,0,0
5606671,0.0,0.0,0.0,0,0
5606691,0.0,0.0,0.0,0,0
5606711,0.0,0.0,0.0,0,0
5606731,0.0,0.0,0.0,0,0
5606751,0.0,0.0,0.0,0,0
5606771,0.0,0.0,0.0,0,0
5606791,0.0,0.0,0.0,0,0
5606811,0.0,0.0,0.0,0,0
5606831,0.0,0.0,0.0,0,0
5606851,0.0,0.0,0.0,0,0
5606871,0.0,0.0,0.0,0,0
5606891,0.0,0.0,0.0,0,0
5606911,0.0,0.0,0.0,0,0
5606931,0.0,0.0,0.0,0,0
5606951,0.0,0.0,0.0,0,0
5606971,0.0,0.0,0.0,0,0
5606991,0.0,0.0,0.0,0,0
5607011,0.0,0.0,0.0,0,0
5607031,0.0,0.0,0.0,0,0
5607051,0.0,0.0,0.0,0,0
5607071,0.0,0.0,0.0,0,0
5607091,0.0,0.0,0.0,0,0
5607111,0.0,0.0,0.0,0,0
5607131,0.0,0.0,0.0,0,0
5607151,0.0,0.0,0.0,0,0
5607171,0.0,0.0,0.0,0,0
5607191,0.0,0.0,0.0,0,0
5607211,0.0,0.0,0.0,0,0
5607231,0.0,0.0,0.0,0,0
5607251,0.0,0.0,0.0,0,0
5607271,0.0,0.0,0.0,0,0
5607291,0.0,0.0,0.0,0,0
5607311,0.0,0.0,0.0,0,0
5607331,0.0,0.0,0.0,0,0
5607351,0.0,0.0,0.0,0,0
5607371,0.0,0.0,0.0,0,0
5607391,0.0,0.0,0.0,0,0
5607411,0.0,0.0,0.0,0,0
5607431,0.0,0.0,0.0,0,0
5607451,0.0,0.0,0.0,0,0
5607471,0.0,0.0,0.0,0,0
5607491,0.0,0.0,0.0,0,0
5607511,0.0,0.0,0.0,0,0
