cf_timestamp_ms,host_monotonic_s,sensorFilter.surfBefore,sensorFilter.surfAfter,sensorFilter.surfDelta,sensorFilter.surfSign
132553,1926.131107,0.46205681562423706,0.7447191476821899,-0.2826623320579529,-1
132573,1926.150114,0.46205681562423706,0.7447191476821899,-0.2826623320579529,-1
132593,1926.170102,0.46205681562423706,0.7436474561691284,-0.28159064054489136,-1
132613,1926.190096,0.46205681562423706,0.7436474561691284,-0.28159064054489136,-1
132633,1926.210103,0.46205681562423706,0.7447191476821899,-0.2826623320579529,-1
132653,1926.230092,0.46205681562423706,0.7447191476821899,-0.2826623320579529,-1
132673,1926.250096,0.46205681562423706,0.7447191476821899,-0.2826623320579529,-1
132693,1926.271098,0.46205681562423706,0.7447191476821899,-0.2826623320579529,-1
132713,1926.290095,0.46205681562423706,0.7428880929946899,-0.2808312773704529,-1
132733,1926.310096,0.46205681562423706,0.7428880929946899,-0.2808312773704529,-1
132753,1926.330096,0.46205681562423706,0.7428880929946899,-0.2808312773704529,-1
132773,1926.350092,0.46205681562423706,0.7425808310508728,-0.28052401542663574,-1
132793,1926.371098,0.46205681562423706,0.7425808310508728,-0.28052401542663574,-1
132813,1926.390091,0.46205681562423706,0.7409378290176392,-0.2788810133934021,-1
132833,1926.410086,0.46205681562423706,0.7409378290176392,-0.2788810133934021,-1
132853,1926.430085,0.46205681562423706,0.7409378290176392,-0.2788810133934021,-1
132873,1926.450080,0.46205681562423706,0.7409378290176392,-0.2788810133934021,-1
132893,1926.470092,0.46205681562423706,0.7425982356071472,-0.28054141998291016,-1
132913,1926.490081,0.46205681562423706,0.7425982356071472,-0.28054141998291016,-1
132933,1926.510088,0.46205681562423706,0.7409378290176392,-0.2788810133934021,-1
132953,1926.530118,0.46205681562423706,0.7409378290176392,-0.2788810133934021,-1
132973,1926.550084,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
132993,1926.571080,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
133013,1926.590100,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
133033,1926.610082,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
133053,1926.630084,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
133073,1926.650077,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
133093,1926.671084,0.46205681562423706,0.7398374676704407,-0.2777806520462036,-1
133113,1926.690076,0.46205681562423706,0.7388181686401367,-0.27676135301589966,-1
133133,1926.710080,0.46205681562423706,0.7388181686401367,-0.27676135301589966,-1
133153,1926.730100,0.46205681562423706,0.7388181686401367,-0.27676135301589966,-1
133173,1926.750089,0.46205681562423706,0.7388181686401367,-0.27676135301589966,-1
133193,1926.771084,0.46205681562423706,0.7388181686401367,-0.27676135301589966,-1
133213,1926.790079,0.46205681562423706,0.7388181686401367,-0.27676135301589966,-1
133233,1926.810078,0.46205681562423706,0.7418229579925537,-0.27976614236831665,-1
133253,1926.830078,0.46205681562423706,0.7418229579925537,-0.27976614236831665,-1
133273,1926.850076,0.46205681562423706,0.7418229579925537,-0.27976614236831665,-1
133293,1926.870086,0.46205681562423706,0.7408286929130554,-0.27877187728881836,-1
133313,1926.890075,0.46205681562423706,0.7408286929130554,-0.27877187728881836,-1
133333,1926.910086,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133353,1926.930073,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133373,1926.950085,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133393,1926.970089,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133413,1926.991089,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133433,1927.010071,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133453,1927.030070,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133473,1927.050068,0.46205681562423706,0.7417965531349182,-0.27973973751068115,-1
133493,1927.071074,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133513,1927.090071,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133533,1927.110070,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133553,1927.130071,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133573,1927.150067,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133593,1927.170079,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133613,1927.190075,0.46205681562423706,0.7425547242164612,-0.2804979085922241,-1
133633,1927.210067,0.46205681562423706,0.7418150901794434,-0.2797582745552063,-1
133653,1927.230067,0.46205681562423706,0.7418150901794434,-0.2797582745552063,-1
133673,1927.250067,0.46205681562423706,0.7418150901794434,-0.2797582745552063,-1
133693,1927.270076,0.46205681562423706,0.7418150901794434,-0.2797582745552063,-1
133713,1927.290100,0.46205681562423706,0.7414266467094421,-0.2793698310852051,-1
133733,1927.310067,0.46205681562423706,0.7414266467094421,-0.2793698310852051,-1
133753,1927.330070,0.46205681562423706,0.7418150901794434,-0.2797582745552063,-1
133773,1927.350064,0.46205681562423706,0.7418150901794434,-0.2797582745552063,-1
133793,1927.370076,0.46205681562423706,0.7424964904785156,-0.28043967485427856,-1
133813,1927.390084,0.46205681562423706,0.7424964904785156,-0.28043967485427856,-1
133833,1927.410068,0.46205681562423706,0.7424964904785156,-0.28043967485427856,-1
