cf_timestamp_ms,host_monotonic_s,range.zrange,stabilizer.roll,stabilizer.pitch
135935,1929.510011,744,-2.670053243637085,2.71435284614563
135955,1929.530009,743,-2.63384747505188,2.6953577995300293
135975,1929.550008,743,-2.611259698867798,2.718607187271118
135995,1929.570014,744,-2.627751350402832,2.7148451805114746
136015,1929.590006,744,-2.6894123554229736,2.7014355659484863
136035,1929.610010,743,-2.6954360008239746,2.6927003860473633
136055,1929.630016,743,-2.6595005989074707,2.6774911880493164
136075,1929.650009,740,-2.6383187770843506,2.633782386779785
136095,1929.670015,740,-2.643911361694336,2.6079108715057373
136115,1929.690009,740,-2.666987895965576,2.5777204036712646
136135,1929.711006,745,-2.7577590942382812,2.5880773067474365
136155,1929.731007,745,-2.8062031269073486,2.6310577392578125
136175,1929.749997,740,-2.7913992404937744,2.6188433170318604
136195,1929.771004,740,-2.780308723449707,2.668785810470581
136215,1929.790006,746,-2.806340217590332,2.685115098953247
136235,1929.810007,746,-2.8259801864624023,2.696573495864868
136255,1929.830006,745,-2.840430498123169,2.7343618869781494
136275,1929.850995,745,-2.8708503246307373,2.7465567588806152
136295,1929.870998,743,-2.8905575275421143,2.7572672367095947
136315,1929.891021,743,-2.8886842727661133,2.7769181728363037
136335,1929.910016,745,-2.8892908096313477,2.7467598915100098
136355,1929.929999,745,-2.884207248687744,2.731998920440674
136375,1929.949995,745,-2.853022575378418,2.709639549255371
136395,1929.970014,742,-2.866002321243286,2.715285539627075
136415,1929.989999,742,-2.8738715648651123,2.6954872608184814
136435,1930.009999,745,-2.8219549655914307,2.6403110027313232
136455,1930.029999,745,-2.8057448863983154,2.6136059761047363
136475,1930.050007,743,-2.842649459838867,2.59621524810791
136495,1930.070016,743,-2.8622875213623047,2.605738401412964
136515,1930.089997,749,-2.8127079010009766,2.602574110031128
136535,1930.110071,749,-2.7244303226470947,2.5896639823913574
136555,1930.129991,747,-2.720404624938965,2.590056896209717
136575,1930.149990,747,-2.7690365314483643,2.6424806118011475
136595,1930.170010,745,-2.7537424564361572,2.6308281421661377
136615,1930.190020,745,-2.7584187984466553,2.6514060497283936
136635,1930.209988,745,-2.775329113006592,2.6952404975891113
136655,1930.229996,744,-2.7918429374694824,2.6890881061553955
136675,1930.249937,744,-2.7745540142059326,2.688758134841919
136695,1930.269965,741,-2.7909631729125977,2.71821665763855
136715,1930.289959,741,-2.8210318088531494,2.7207155227661133
136735,1930.309958,747,-2.8108391761779785,2.7095844745635986
136755,1930.330011,747,-2.7811598777770996,2.7099180221557617
136775,1930.349998,745,-2.806079864501953,2.707641363143921
136795,1930.369997,745,-2.875028371810913,2.6782631874084473
136815,1930.389984,745,-2.971311092376709,2.6691503524780273
136835,1930.409987,745,-3.0627808570861816,2.6548211574554443
136855,1930.430986,745,-3.1870226860046387,2.6058740615844727
136875,1930.450985,745,-3.3516998291015625,2.5697097778320312
136895,1930.470985,748,-3.466132640838623,2.61605167388916
136915,1930.489982,748,-3.5610432624816895,2.617567539215088
136935,1930.509986,748,-3.676772117614746,2.6308298110961914
136955,1930.530984,754,-3.8028318881988525,2.6975340843200684
136975,1930.550007,754,-3.889251708984375,2.7529654502868652
136995,1930.570984,753,-3.9288830757141113,2.7441887855529785
137015,1930.590998,753,-3.9619791507720947,2.7961409091949463
137035,1930.609979,755,-4.042458534240723,2.7617805004119873
137055,1930.630983,755,-4.10680627822876,2.8154642581939697
137075,1930.650980,755,-4.1424102783203125,2.9674527645111084
137095,1930.669989,755,-4.172183513641357,3.0116307735443115
137115,1930.689979,763,-4.072216987609863,2.961719512939453
137135,1930.709976,763,-4.01960563659668,2.925994634628296
137155,1930.729979,765,-3.999263048171997,2.7591910362243652
137175,1930.749993,765,-4.134332656860352,2.7435221672058105
137195,1930.769986,773,-4.195952892303467,2.8968758583068848
137215,1930.789976,773,-4.125179290771484,2.7980806827545166
