cf_timestamp_ms,host_monotonic_s,sensorFilter.flowRange,sensorFilter.flowLocal,sensorFilter.surfOffset,sensorFilter.surfCand,sensorFilter.surfClear
132552,1926.130134,0.7460000514984131,1,0.0,-0.2826623320579529,0.7454915046691895
132572,1926.149096,0.7460000514984131,1,0.0,-0.2826623320579529,0.7454915046691895
132592,1926.169101,0.7470000386238098,1,0.0,-0.28159064054489136,0.7425808310508728
132612,1926.189099,0.7440000176429749,1,0.0,-0.28159064054489136,0.7425808310508728
132632,1926.209105,0.7440000176429749,1,0.0,-0.2826623320579529,0.7456302046775818
132652,1926.229092,0.7470000386238098,1,0.0,-0.2826623320579529,0.7456302046775818
132672,1926.249093,0.7470000386238098,1,0.0,-0.2826623320579529,0.7399234175682068
132692,1926.270106,0.7470000386238098,1,0.0,-0.2826623320579529,0.7399234175682068
132712,1926.289095,0.7470000386238098,1,0.0,-0.2826623320579529,0.7399234175682068
132732,1926.309103,0.7440000176429749,1,0.0,-0.2808312773704529,0.7428880929946899
132752,1926.329094,0.7440000176429749,1,0.0,-0.2808312773704529,0.7428880929946899
132772,1926.349102,0.7440000176429749,1,0.0,-0.28052401542663574,0.7409378290176392
132792,1926.370104,0.7440000176429749,1,0.0,-0.28052401542663574,0.7409378290176392
132812,1926.389089,0.7440000176429749,1,0.0,-0.2788810133934021,0.7359570860862732
132832,1926.409098,0.7440000176429749,1,0.0,-0.2788810133934021,0.7359570860862732
132852,1926.429085,0.7440000176429749,1,0.0,-0.2788810133934021,0.7456099987030029
132872,1926.449090,0.7470000386238098,1,0.0,-0.2788810133934021,0.7456099987030029
132892,1926.469099,0.7470000386238098,1,0.0,-0.28054141998291016,0.7425982356071472
132912,1926.489087,0.7470000386238098,1,0.0,-0.28054141998291016,0.7425982356071472
132932,1926.509090,0.7440000176429749,1,0.0,-0.2788810133934021,0.7385939359664917
132952,1926.529115,0.7400000095367432,1,0.0,-0.2788810133934021,0.7385939359664917
132972,1926.549093,0.7400000095367432,1,0.0,-0.2777806520462036,0.7398374676704407
132992,1926.570089,0.7400000095367432,1,0.0,-0.2777806520462036,0.7398374676704407
133012,1926.589091,0.7400000095367432,1,0.0,-0.2777806520462036,0.7398374676704407
133032,1926.609083,0.7400000095367432,1,0.0,-0.2777806520462036,0.7388181686401367
133052,1926.629086,0.7400000095367432,1,0.0,-0.2777806520462036,0.7388181686401367
133072,1926.649083,0.7450000643730164,1,0.0,-0.2777806520462036,0.7438622117042542
133092,1926.670094,0.7450000643730164,1,0.0,-0.2777806520462036,0.7438622117042542
133112,1926.689082,0.7450000643730164,1,0.0,-0.27676135301589966,0.7386239171028137
133132,1926.709084,0.7450000643730164,1,0.0,-0.27676135301589966,0.7386239171028137
133152,1926.729114,0.7400000095367432,1,0.0,-0.27676135301589966,0.7386141419410706
133172,1926.749117,0.7400000095367432,1,0.0,-0.27676135301589966,0.7386141419410706
133192,1926.770096,0.7400000095367432,1,0.0,-0.27676135301589966,0.7436012029647827
133212,1926.789080,0.7400000095367432,1,0.0,-0.27676135301589966,0.7436012029647827
133232,1926.809083,0.7400000095367432,1,0.0,-0.27976614236831665,0.7418229579925537
133252,1926.829082,0.7400000095367432,1,0.0,-0.27976614236831665,0.7418229579925537
133272,1926.849080,0.7400000095367432,1,0.0,-0.27976614236831665,0.7418229579925537
133292,1926.869084,0.7400000095367432,1,0.0,-0.27877187728881836,0.7408286929130554
133312,1926.889078,0.7400000095367432,1,0.0,-0.27877187728881836,0.7408286929130554
133332,1926.909104,0.7430000305175781,1,0.0,-0.27973973751068115,0.7417965531349182
133352,1926.929078,0.7430000305175781,1,0.0,-0.27973973751068115,0.7417965531349182
133372,1926.949078,0.7430000305175781,1,0.0,-0.27973973751068115,0.7415279150009155
