cf_timestamp_ms,host_monotonic_s,sensorFilter.surfN,sensorFilter.surfBaroD,sensorFilter.surfCandInn,sensorFilter.surfState,sensorFilter.surfReason
132554,1926.132103,5,-0.2952728271484375,18.854001998901367,1,3
132574,1926.151106,5,-0.2952728271484375,18.854001998901367,1,3
132594,1926.171103,5,-0.2898063659667969,18.80062484741211,1,3
132614,1926.191104,5,-0.2898063659667969,18.80062484741211,1,3
132634,1926.211097,5,-0.2952728271484375,18.981700897216797,1,3
132654,1926.231089,5,-0.2952728271484375,18.981700897216797,1,3
132674,1926.251099,5,-0.20778656005859375,18.6717472076416,1,3
132694,1926.272093,5,-0.20778656005859375,18.6717472076416,1,3
132714,1926.291112,5,-0.15857315063476562,18.947397232055664,1,3
132734,1926.311119,5,-0.15857315063476562,18.947397232055664,1,3
132754,1926.331087,5,-0.15857315063476562,18.947397232055664,1,3
132774,1926.351092,5,-0.2023162841796875,18.878664016723633,1,3
132794,1926.372087,5,-0.2023162841796875,18.878664016723633,1,3
132814,1926.391098,5,-0.13123321533203125,18.70142364501953,1,3
132834,1926.411086,5,-0.13123321533203125,18.70142364501953,1,3
132854,1926.431085,5,-0.08201980590820312,19.259098052978516,1,3
132874,1926.451079,5,-0.08201980590820312,19.259098052978516,1,3
132894,1926.471081,5,-0.22418594360351562,18.987844467163086,1,3
132914,1926.491098,5,-0.22418594360351562,18.987844467163086,1,3
132934,1926.511084,5,-0.16404342651367188,18.85978889465332,1,3
132954,1926.531087,5,-0.16404342651367188,18.85978889465332,1,3
132974,1926.551080,5,-0.20778656005859375,18.966693878173828,1,3
132994,1926.572084,5,-0.20778656005859375,18.966693878173828,1,3
133014,1926.591080,5,-0.15857315063476562,18.90721321105957,1,3
133034,1926.611079,5,-0.15857315063476562,18.90721321105957,1,3
133054,1926.631082,5,-0.15857315063476562,18.90721321105957,1,3
133074,1926.651078,5,-0.2515296936035156,19.224811553955078,1,3
133094,1926.672082,5,-0.2515296936035156,19.224811553955078,1,3
133114,1926.691093,5,-0.246063232421875,19.051513671875,1,3
133134,1926.711078,5,-0.246063232421875,19.051513671875,1,3
133154,1926.731091,5,-0.2624664306640625,19.08826446533203,1,3
133174,1926.751080,5,-0.2624664306640625,19.08826446533203,1,3
133194,1926.772090,5,-0.19684600830078125,19.38616943359375,1,3
133214,1926.791093,5,-0.19684600830078125,19.38616943359375,1,3
133234,1926.811079,5,-0.19684600830078125,19.088123321533203,1,3
133254,1926.831076,5,-0.19684600830078125,19.088123321533203,1,3
133274,1926.851075,5,-0.2023162841796875,19.10076904296875,1,3
133294,1926.871078,5,-0.2023162841796875,19.10076904296875,1,3
133314,1926.891094,5,-0.2023162841796875,19.10076904296875,1,3
133334,1926.911077,5,-0.153106689453125,19.089162826538086,1,3
133354,1926.931068,5,-0.153106689453125,19.089162826538086,1,3
133374,1926.951077,5,-0.1367034912109375,19.091123580932617,1,3
133394,1926.971077,5,-0.1367034912109375,19.091123580932617,1,3
133414,1926.992074,5,-0.14763641357421875,19.2102108001709,1,3
133434,1927.011071,5,-0.14763641357421875,19.2102108001709,1,3
133454,1927.031066,5,-0.2679328918457031,19.183979034423828,1,3
133474,1927.051072,5,-0.2679328918457031,19.183979034423828,1,3
133494,1927.072072,5,-0.10389328002929688,19.18024444580078,1,3
133514,1927.091079,5,-0.10389328002929688,19.18024444580078,1,3
133534,1927.111066,5,-0.10389328002929688,19.18024444580078,1,3
133554,1927.131067,5,-0.1093597412109375,18.868186950683594,1,3
133574,1927.151070,5,-0.1093597412109375,18.868186950683594,1,3
133594,1927.171069,5,-0.12029647827148438,19.02388572692871,1,3
133614,1927.191088,5,-0.12029647827148438,19.02388572692871,1,3
133634,1927.211067,5,-0.10389328002929688,18.740638732910156,1,3
133654,1927.231067,5,-0.10389328002929688,18.740638732910156,1,3
133674,1927.251064,5,-0.05467987060546875,19.037185668945312,1,3
133694,1927.271071,5,-0.05467987060546875,19.037185668945312,1,3
133714,1927.291068,5,-0.12576675415039062,18.937164306640625,1,3
133734,1927.311062,5,-0.12576675415039062,18.937164306640625,1,3
133754,1927.331098,5,-0.1093597412109375,18.931884765625,1,3
133774,1927.351085,5,-0.1093597412109375,18.931884765625,1,3
133794,1927.371073,5,-0.19684600830078125,19.168685913085938,1,3
133814,1927.391090,5,-0.19684600830078125,19.168685913085938,1,3
133834,1927.411062,5,-0.19684600830078125,19.168685913085938,1,3
133854,1927.431064,5,-0.16950607299804688,18.935298919677734,1,3
133874,1927.451067,5,-0.16950607299804688,18.935298919677734,1,3
133894,1927.471066,5,-0.23512649536132812,18.921165466308594,1,3
133914,1927.491079,5,-0.23512649536132812,18.921165466308594,1,3
133934,1927.511064,5,-0.24059295654296875,19.02951431274414,1,3
133954,1927.531061,5,-0.24059295654296875,19.02951431274414,1,3
133974,1927.551036,5,-0.3718299865722656,19.066801071166992,1,3
133994,1927.571064,5,-0.3718299865722656,19.066801071166992,1,3
134014,1927.591076,5,-0.2898063659667969,19.165191650390625,1,3
134034,1927.611063,5,-0.2898063659667969,19.165191650390625,1,3
134054,1927.631060,5,-0.21325302124023438,19.321949005126953,1,3
134074,1927.651035,5,-0.21325302124023438,19.321949005126953,1,3
134094,1927.671064,5,-0.21325302124023438,19.20241355895996,1,3
134114,1927.691088,5,-0.21325302124023438,19.20241355895996,1,3
134134,1927.711058,5,-0.21325302124023438,19.20241355895996,1,3
134154,1927.731061,5,-0.1859130859375,19.185787200927734,1,3
134174,1927.751042,5,-0.1859130859375,19.185787200927734,1,3
134194,1927.771038,5,-0.19684600830078125,19.46920394897461,1,3
134214,1927.791062,5,-0.19684600830078125,19.46920394897461,1,3
134234,1927.811025,5,-0.22965621948242188,19.56981086730957,1,3
134254,1927.831077,5,-0.22965621948242188,19.56981086730957,1,3
134274,1927.850051,5,-0.09295654296875,19.72871208190918,1,3
